"name","address","phone","website","profileUrl","isPremiumMember"
"Versatile Global Logistics Pvt Ltd","Subidhanagar-32 ,Kathamdu,Nepal , Kathmandu, Nepal, 44600","","","https://www.freightnet.com/profile/190769.htm","No"
"S.A.N SUPPLY CHAIN SERVICE","IMADOL 4 MAHALAMI NAGARPALIKA LALITPUR  , KATHMADU, NEPAL, +977","","","https://www.freightnet.com/profile/264030.htm","No"
"IMEX CARGO AND COURIER PVT. LTD","chhetrapati-17 , kathmandu, bagmati, 44800","","","https://www.freightnet.com/profile/243801.htm","No"
"Kamana Freight Pvt.Ltd","P.O box:5154, Bank Marga, Bagbazar , Ratna pustak Distributors, Bagbazar, Kathmandu, Bagmati, Nepal, 44660","","","https://www.freightnet.com/profile/251858.htm","No"
"Giga Ventures","Thamel , Kathmandu, Nepal, 44600","","","https://www.freightnet.com/profile/213051.htm","No"
"US Cargo and Logistic P. Ltd.","Tokha 11, Kathmandu, Nepal , Kathmandu, Nepal, 44600","","","https://www.freightnet.com/profile/209761.htm","No"
"Globe Shipping & Logistics Pvt Ltd","Tinkune  , Kathmandu Nepal, Kathmandu, Nepal, 44600","","","https://www.freightnet.com/profile/157271.htm","No"
"River Edge Freight Pvt. Ltd.","Prabhu Group, Kamaladi - 28 , Kathmandu, Nepal, 44600","","","https://www.freightnet.com/profile/160195.htm","No"
"Namaste De Cargo P. Ltd.","Thamel Kathmandu Nepal , Kathmandu, Bagmati, 44601","","","https://www.freightnet.com/profile/156346.htm","No"
"victoria cargo p.ltd","paknajol chwok, thamel,, kathmandu, nepal, 0977","","","https://www.freightnet.com/profile/129856.htm","No"
"Forward Traders & Exporters P. Ltd","Bhagwatisthan, Thamel , Kathmandu, Nepal, 00977","","","https://www.freightnet.com/profile/116314.htm","No"
"SILVER STAR CARGO P. LTD.","THAMEL, KATHMANDU , THAMEL,KATHMANDU, KATHMANDU, NEPAL, 21644","","","https://www.freightnet.com/profile/113540.htm","No"
"Eagle Export","Thamel Marga,Thamel , next to kathmandu guest house, kathmandu, Nepal, 977","","","https://www.freightnet.com/profile/105697.htm","No"
"Apollo Export & Import","Thamel , Bhagawati Marga, Thamel,Kathmandu, Nepal, 977","","","https://www.freightnet.com/profile/57924.htm","No"
"Shipping Nepal Pvt. Ltd.","Nayabazar, Kathmandu , Nayabazar, Kathmandu, Kathmandu, Bagmati, 21185","","","https://www.freightnet.com/profile/128977.htm","No"
