"name","address","phone","website","profileUrl","isPremiumMember"
"New star logistics Pvt ltd","Naxal , Kathmandu Nepal, kathmandu, Nepal, 44600","+977-9801222995/6/7","http://www.thenewstarlogistics.com/","https://www.freightnet.com/profile/259851.htm","Yes"
"Namaste Cargo Nepal","Thamel Kathmandu Nepal , Kathmandu, Nepal, 44600","+977 014700720 / 9801006432","https://www.namastecargonepal.com/","https://www.freightnet.com/profile/158589.htm","Yes"
"S.Sankalpa Shipping Services pvt ltd","Naxal, Balwatar , Kathmandu, Bagmati, 44600","","","https://www.freightnet.com/profile/256604.htm","No"
"Sea Sky Cargo Service Pvt. Ltd","Ward No: 26, Dholahiti , Lalitpur, Nepal, 44600","","","https://www.freightnet.com/profile/264128.htm","No"
"Primepath Logistic Pvt. Ltd","KATHMANDU-31 , kathmandu, nepal, 44600","","","https://www.freightnet.com/profile/247168.htm","No"
"NEW YORK CARGO PVT. LTD.","Thamel 26 , Amrit Marg, Kathmandu, Bagmati, 44600","","","https://www.freightnet.com/profile/158397.htm","No"
"INDIA INTERNATIONAL GROUP NEPAL P. LTD","2nd Floor, Metro Park Building, Lazimpat, Kathmandu , KATHMANDU, NEPAL, 44660","","","https://www.freightnet.com/profile/251433.htm","No"
"Newstar Logistics Pvt. Ltd","Bhagwati Bahal-01, Naxal Kathmandu , Kathmandu, Nepal, 44600","","","https://www.freightnet.com/profile/193661.htm","No"
"Sapsu Aviation Pvt Ltd","Kathmandu Metropolitan City 9 , Sinamangal Chowk, Kathmandu, Nepal, 00977","","","https://www.freightnet.com/profile/169592.htm","No"
"Star Line Agency Pvt Ltd","Birgunj, Parsa, Nepal , Birgunj, Nepal, 00977","","","https://www.freightnet.com/profile/204905.htm","No"
"Atlantic Cargo","Post Box  7652 , Min Bhawan, Kathmandu, Nepal, 112212","","","https://www.freightnet.com/profile/2261.htm","No"
"G-Link Express Logistics Nepal (P) Ltd","New Baneswore , Kathmandu, New Baneswore, 8975 EPC2314","","","https://www.freightnet.com/profile/128310.htm","No"
"Save Himalayan Cargo Pvt. Ltd.","Thamel-27,Tridevi Marg,Kathmandu,Nepal. , Kathmandu, Bagmati, 44600","","","https://www.freightnet.com/profile/179845.htm","No"
"Attend Global pvt ltd","pulchowk , Lalitpur, Kathmandu, 44700","","","https://www.freightnet.com/profile/168175.htm","No"
"Moonlight Cargo Pvt.Ltd","Kathmandu-17,J.P Road , KATHMANDU, Kathmandu, Nepal., 44600","","","https://www.freightnet.com/profile/156393.htm","No"
"Speedtech Logistics Nepal Pvt Ltd","Mahaboudha-27 , Kathmandu, Nepal, 44600","","","https://www.freightnet.com/profile/161115.htm","No"
"ABEX Logistics","DSP Road , Near Birat Nursing Home, Biratnagar, Nepal, 56613","","","https://www.freightnet.com/profile/159914.htm","No"
"Salon","Al rayyan qatar , Doha, Qatar, 380","","","https://www.freightnet.com/profile/156080.htm","No"
"Legend Cargo Pvt Ltd","Thamel , Kathmandu, Thamel, Nepal, 00977","","","https://www.freightnet.com/profile/153269.htm","No"
"INDIA INTERNATIONAL GROUP NEPAL P. LTD","NEXT TO KUMARI BANK, PUTALISADAK, KATHMANDU , NEPAL, KATHMANDU, NEPAL, 44605","","","https://www.freightnet.com/profile/137428.htm","No"
"Sea Link Freight Pvt. Ltd","Gpo box no : 314,House no 183/7, Ambika Marg, purano Baneshwor-31, kathmandu, nepal , Kathmandu, Nepal, 44600","","","https://www.freightnet.com/profile/149605.htm","No"
"Sai Global Shipping Agency","2nd Floor, JB Tailor House , Airport Road, Tinkune, Kathmandu, Nepal, 1003","","","https://www.freightnet.com/profile/145601.htm","No"
"Prime Shipping & Clearing Co.Pvt. Ltd.","Tinkune , Kathmandu, Nepal, +977","","","https://www.freightnet.com/profile/138849.htm","No"
"Unio Exports","Chaksibari Marg-320,Thamel,Kathmandu,Nepal , Kathmandu, Nepal, 44600","","","https://www.freightnet.com/profile/134603.htm","No"
"Delta Cargo Pvt.Ltd.","P.O.Box:10118 , Bhagwanbahal,Thamel, Thamel, Kathmandu, 00977","","","https://www.freightnet.com/profile/127581.htm","No"
"Nepal Express Parcel And Logistic P. Ltd.","Airport Road , Sinamangal, Kathmandu, Nepal, 44600","","","https://www.freightnet.com/profile/128346.htm","No"
"Public Freight Pvt. Ltd.","305/28 Amritmarg, Thamel , P.O.Box 11943, Kathmandu, Bagmati,","","","https://www.freightnet.com/profile/50137.htm","No"
"GOLDCROSS CARGO PVT LTD","LAZIMPAT 601, WARD 2 , KATHMANDU, KATHMANDU, NA","","","https://www.freightnet.com/profile/114394.htm","No"
"Aryan Air Freight Pvt.Ltd.","GPO Box 19731 Chibal , Thamel , Kathmandu, Nepal, 19731","","","https://www.freightnet.com/profile/108290.htm","No"
"SILVER STAR CARGO P. LTD.","THAMEL, KATHMANDU , THAMEL,KATHMANDU, KATHMANDU, NEPAL, 21682","","","https://www.freightnet.com/profile/114032.htm","No"
"Orinetal Cargo Service (P) Ltd.","286 Thamel Marg , Kathmandu,","","","https://www.freightnet.com/profile/6268.htm","No"
"Ocean Air Express Pvt. Ltd","37/76 Munibhairav Marg , Kathmandu, nepal, 44600","","","https://www.freightnet.com/profile/111449.htm","No"
"Dynamic Freight Pvt.Ltd","gpo box 4572 kathmandu , maitighar cornar kathmandu,Nepal, Kathmandu, Nepal, 44621","","","https://www.freightnet.com/profile/84466.htm","No"
"Cargo World Pvt Ltd","Siphal , Kathmandu Nepal, kathmandu, Nepal, 977","","","https://www.freightnet.com/profile/96747.htm","No"
"Nagarjun Cargo P.Ltd.","Thamel , Kathamdnu, Nepal, 977","","","https://www.freightnet.com/profile/83601.htm","No"
"Ganesh Air Cargo P Ltd","179 Daisy Baas,(TPGS) new plaza,Putalisadak,Kathmandu , Kathmandu, Bagmati Zone, po box 3403","","","https://www.freightnet.com/profile/84148.htm","No"
"SEA SKY CARGO SERVICE (P) LTD","KHA2/82,Kuponmdole,Lalipur,(Near Campion College ) , Kathmandu, Nepal, P.O.1832","","","https://www.freightnet.com/profile/56560.htm","No"
"Starlight Express P.Ltd","Lazimpat 2 , Saraswoti Marg 504, Kathmandu, NP, 12713","","","https://www.freightnet.com/profile/3729.htm","No"
"Public Freight Pvt. Ltd.","Thamel , P.O.Box: 11943, Kathmandu, Bagmati,","","","https://www.freightnet.com/profile/12610.htm","No"
