"name","address","phone","website","profileUrl","isPremiumMember"
"Strate-G Freight Forwarding Services BV","Rooi Catootje # 14 , Willemstad, Curaçao, 00000","","","https://www.freightnet.com/profile/161741.htm","No"
"A Click Cargo Curaçao","Caracasbaaiweg 215 , Willemstad, Curacao, 00","","","https://www.freightnet.com/profile/192263.htm","No"
"New World Shipping","Ground Dove road # 1 , Point Blanche, Sint Maarten, 00000","","","https://www.freightnet.com/profile/146758.htm","No"
"Inncargo N.V.","Princess Juliana International Airport , Cargo Building, Sint Maarten (dutch and french), Netherlands Antilles, 9999xx","","","https://www.freightnet.com/profile/44578.htm","No"
"Interport Logistics Curacao","Schouwburgweg unit 5 , Willemstad, Curacao, 12345","","","https://www.freightnet.com/profile/111732.htm","No"
"Seawings nv","Maduro Plaza , Dokweg, Willemstad, Netherlands Antilles, 0000","","","https://www.freightnet.com/profile/10327.htm","No"
"Freight Management Caribbean (FMC)","Groot Davelaar 145-147 , Willemstad, Curacao, 12345","","","https://www.freightnet.com/profile/52796.htm","No"
"New World Freight Services","Goldfinch Road # 4 , Point Blanche, Netherlands Antilles,","","","https://www.freightnet.com/profile/14239.htm","No"
"Caribtrans N.V.","Soualiga Road # 25 , Philipsburg, Netherlands Antilles,","","","https://www.freightnet.com/profile/12033.htm","No"
"Miles Cargo Services N.V.","A.M. Chumaceiro Blvd # 7 , Willemstad, Netherlands Antilles,","","","https://www.freightnet.com/profile/19004.htm","No"
"LWC Curacao","Kaminda Nikkel z/n , Willemstad - Curacao, Willemstad - Curacao, Curacao, 12345","","","https://www.freightnet.com/profile/130581.htm","No"
