"name","address","phone","website","profileUrl","isPremiumMember"
"AWAY INTERNATIONAL NICARAGUA.SA","Rotonda el Periodista  2 cuadras al oeste y 6 cuadras al norte, Managua, Nicaragua, 505","+50522689080     MOBIL  505  88203028","","https://www.freightnet.com/profile/224489.htm","Yes"
"REYES GOMEZ Y CIA LTDA","MANAGUA, NICARAGUA, MANAGUA, NICARAGUA, 1000","83618220","","https://www.freightnet.com/profile/253594.htm","Yes"
"World Logístics Development S.A","128 City Road, London, EC1V 2NX , London, united kingdom, EC1V 2NX","","","https://www.freightnet.com/profile/187765.htm","No"
"Star Logistics S.A.","Km 16.8 Carretera Masaya , Res Sierras Doradas, Managua, Nicaragua, 12345","","","https://www.freightnet.com/profile/22545.htm","No"
"Lofsa","DDF la casa se los Mejia Godoy, 2c arriba y 1c al norte , Managua, Managua, 0000","","","https://www.freightnet.com/profile/192703.htm","No"
"LOGISTICA DE CARGA INTERMODAL","MANAGUA , MANAGUA, MANAGUA VILLA LIBERTAD, NICARAGUA, 00505","","","https://www.freightnet.com/profile/148694.htm","No"
"KEY SUPPLY NETWORK, S.A","COLONIA MAESTRO GABRIEL SEMAFOROS COLONIAL 1C SUR 1/2 ARRIBA , Managua, MANAGUA, 11143","","","https://www.freightnet.com/profile/153760.htm","No"
"NICAFREIGHT LTDA","Colinas de Santa Cruz, casa A-26B , Managua, Nicaragua, 00505","","","https://www.freightnet.com/profile/118851.htm","No"
"GlobalTrans Internacional","Residencial Montecristi No. 324 , Managua, Managua, 5836","","","https://www.freightnet.com/profile/14429.htm","No"
"SERVICIOS INTEGRADOS DE ADUANA Y CARGA S.A.","KM 10.5 C. NORTE ENTRADA AL CARNIC 1C. ABAJO 1/2 AL NORTE , MANAGUA, NICARAGUA, 11057","","","https://www.freightnet.com/profile/138693.htm","No"
"NICAFREIGHT LTDA","Colinas santa cruz casa A26B , managua, Nicaragua, 00505","","","https://www.freightnet.com/profile/136627.htm","No"
"Latin American Cargotrans Logistics","Las Colinas, 1a. Entrada, 100m al Lago , Managua, Managua, 14199","","","https://www.freightnet.com/profile/129831.htm","No"
"Air & Ocean Cargo Logistics","Km. 10½ carretera Norte, frente aduana central aerea 1c.norte ½c.oeste , Managua, Managua, 00505","","","https://www.freightnet.com/profile/99992.htm","No"
"AWAY INTERNATIONAL NICARAGUA S.A","Rotonda de Periodista  2 c oeste y  6  C al Norte , Plaza  Julio Martinez  2 C al este  y 6 C al Norte, Managua, Nicaragua, 505","","","https://www.freightnet.com/profile/111411.htm","No"
"SINACSA","Entrada al CARNIC 1c. al Oeste 10 vrs al norte 30 vrs Oeste. , MANAGUA, NICARAGUA, N/A","","","https://www.freightnet.com/profile/113479.htm","No"
"Servicios Logisticos de Nicaragua","Altos de la sabana Casa 100 , Managua, Managua, NIcaragua, 505","","","https://www.freightnet.com/profile/103401.htm","No"
"CHR-Teca Cargo Logistics","Ciudad Jardin F-14, Bancentro 1 C. al Lago , Managua, MGA, 00000","","","https://www.freightnet.com/profile/44980.htm","No"
"Amtra","Delicias Del Volga 1/2c. Abajo , Aptdo. 705, Managua,","","","https://www.freightnet.com/profile/4652.htm","No"
"Nicamar Shipping Agency","Zona Franca Ind. Las Mercdes , Contiguo Sucursal Bancentro, Managua,","","","https://www.freightnet.com/profile/4919.htm","No"
"Chr-Teca - Airfreight","Aeropuerto Intl. De Managua , Managua,","","","https://www.freightnet.com/profile/4920.htm","No"
"Chr-Teca","Ciudad Jardin F-14 , Bancentro 1 C. Al Lago, Managua,","","","https://www.freightnet.com/profile/5289.htm","No"
"All Ports Centroamerica","km 2-1/2 Carretera Norte, edif. Plaza Norte , Managua,","","","https://www.freightnet.com/profile/7847.htm","No"
"TGD Worldwide Group c/o Nica Transports","Centro Comercial Providencia , Camas Luna Montoya 1c. Arriba, Managua,","","","https://www.freightnet.com/profile/10429.htm","No"
