"name","address","phone","website","profileUrl","isPremiumMember"
"EL-CHARIS LOGISTICS LTD","No 52 AIRPORT ROAD AIRPORT JUNCTION BUS STOP BESIDE PRESKEN HOTEL, IKEJA LAGOS, IKEJA (M M Airport), Lagos, 01000","08034101898","https://www.elcharislogistics.com/","https://www.freightnet.com/profile/252419.htm","Yes"
"Bolbulk Cargo","36 Ajibulu Street Off International Airport Road Mofoloko Oshodi-Lagos, Ikeja, lagos, 100272","07025005522","http://www.bolbulkcargo.net/","https://www.freightnet.com/profile/252706.htm","Yes"
"AFRILINKS EXPRESS SERVICES LTD","Block B, Suite 1 Nahco Cargo Complex, Murtala Muhammed International Airport , Ikeja Lagos, Nigeria, 100001","","","https://www.freightnet.com/profile/265771.htm","No"
"Yara247 Logistics Services Limited","2 Akinola Modern Complex , Pipeline road Akinola, Aboru Iyana Ipaja, Lagos/Nigeria, 100278","","","https://www.freightnet.com/profile/256700.htm","No"
"Hullcrest Supply Chain Solutions","115 Obafemi Awolowo Way , Ikeja, Lagos, 10001","","","https://www.freightnet.com/profile/263438.htm","No"
"Abtech Shipping","Suite A 28 Hawthorn Suite ,1 Uke Street off Amadu Bello Way Garki Area 11 FCT Abuja Nigeria , Suite 10-23 Amazing Grace Plaza 34 Sule Street Mangoro Bus-Stop Agege Lagos State, Abuja I Lagos, Nigeria, 900247","","","https://www.freightnet.com/profile/263539.htm","No"
"DE FISA Express Nigeria Ltd","18 awoniyi elemo street  , Ajoa estate, Lagos Nigeria, 100263","","","https://www.freightnet.com/profile/261444.htm","No"
"LOGSERVE NIGERIA LIMITED","ROAD I CLOSE 1 FEDERAL HOUSING ESTATE  , PORTHARCOURT, Portharcourt, RIVERS/NIGERIA, +234","","","https://www.freightnet.com/profile/145117.htm","No"
"TLS TANIMOLA LOGISTICS NIG LTD","27/28 Degbuyi Safety Complex papa major Ijegun Road Lagos Nig  , 27/28 Degbuyi Safety Complex papa major Ijegun Road Lagos Nig, Alimosho, Lagos Nigeria, 100265","","","https://www.freightnet.com/profile/168646.htm","No"
"AP Logistics Cargo","Idimu Shopping Complex, 54, Ikotun/Idimu Road, Idimu, Lagos State, Ikeja, Lagos, Nigeria , Idimu, Lagos/Nigeria, 2341","","","https://www.freightnet.com/profile/146760.htm","No"
"MEGACARE LOGISTICS SOLUTIONS","#26,GOLDEN LANDMARK PLAZA ORIYOMI STREET , #26,GOLDEN LANDMARK PLAZA ORIYOMI STREET IKEJA, Lagos, Ikeja, 102031","","","https://www.freightnet.com/profile/244410.htm","No"
"SrveraGlobalConcept","International Airport Lagos , 10, SURULERE abatan street ifaiko ijaiye Lagos, Lagos, Lagos, +234","","","https://www.freightnet.com/profile/259149.htm","No"
"Sunroyal Freight System Nig.ltd","113 Wing A first floor Nahco complex  , Lagos, Lagos State Nigeria, 234","","","https://www.freightnet.com/profile/198989.htm","No"
"JetAfrique Aviation services ltd","50/52 TOYIN street ikeja  , Lagos, Lagos state Nigeria, 0234","","","https://www.freightnet.com/profile/249952.htm","No"
"cborlink logistic service limited","2/4 gogo hassan avenue,off fatai irawo street,ajao estate , 39 solomon okonkwo street,abule odu,egbeda, lagos, nigeria,","","","https://www.freightnet.com/profile/97408.htm","No"
"KWACHIRI GLOBAL CONCEPT LTD","NO.6 NASIRU AHALI SHOP ALONG KATSINA ROAD KANO , KANO, NIGERIA, 700232","","","https://www.freightnet.com/profile/181112.htm","No"
"Pseudonet Logistics","2 Ojefia Crescent, Amuwo Odofin, Belgium Plaza, Second Floor Office 2 , Amuwo-Odofin, Lagos, 102102","","","https://www.freightnet.com/profile/255461.htm","No"
"TOSFAT CONCEPTS INTERNATIONAL COMPANY LTD","1,adelabu shopping complex , Ibadan, oyo state, Ibadan, Oyo, 23402","","","https://www.freightnet.com/profile/228886.htm","No"
"MOK EXPRESS SERVICES","5 & 6 alakaso plaza thomas estate Lagos , Mandela plaza Lagos island, lagos, Nigeria, 2341","","","https://www.freightnet.com/profile/237433.htm","No"
"De-Ola’s Multi Solution Ltd","Suite 2 behind Nacho export warehouse along international ikeja Lagos  , Payment point 3 car park, Ikeja, Lagos Nigeria, 2314","","","https://www.freightnet.com/profile/252478.htm","No"
