"name","address","phone","website","profileUrl","isPremiumMember"
"Prosim insight Nig LTD","Block A, Suite 12,  Primal Tek Plaza Cele Bus Stop,  Beside Rainoil filling station off  Apapa oshodi Express, Lagos., Lagos, Nigeria, 100263","+2348184944110","","https://www.freightnet.com/profile/200775.htm","Yes"
"Washphil Intl. Freight Consult Ltd","Anlca. Secretariat, Murtala Mohammed Intl. Airport  Road Lagos  Nigeria , Ikeja, Lagos114, 1141","+2348023092181","","https://www.freightnet.com/profile/172074.htm","Yes"
"TEMI PRO RAPID LOGISTICS","Shop 001, ebute shopping complex, Ebute Ipakodo Rd, Ikorodu , Boswab plaza OPP defak filling station, promise land bus stop, Ginti, Ikorodu Lagos, Lagos, Lagos, 234","","","https://www.freightnet.com/profile/266022.htm","No"
"Peng Logistics","Badore Road, Ajah-Lekki, Lagos , Lagos, Nigeria, 105101","","","https://www.freightnet.com/profile/265081.htm","No"
"Maica logistics","Unit G09, Triangle Mall Igbera Bus- Stop, Beside ShopRite , Lagos, Nigeria, 105101","","","https://www.freightnet.com/profile/260167.htm","No"
"Cargo Speed Air Limited","153, Adetokunbo Ademola Crescent, Wuse 11, Abuja , Abuja, Nigeria, 900001","","","https://www.freightnet.com/profile/258475.htm","No"
"FORTRANS EXPRESS LOGISTICS LIMITED","2 Oloko Close, Lagos, Nigeria , Kosofe, Ketu, Lagos, 100245","","","https://www.freightnet.com/profile/256889.htm","No"
"J&V Thrive Global and Logistics Services","8 Church Street Okota Road  , Lagos, Nigeria, 100001","","","https://www.freightnet.com/profile/252729.htm","No"
"trinity international logistics","22 islamic street abranje road ikotun lagos , 16 jibowu avenue ijegun road ikotun lagos, ikotun,ikeja, lagos, 234","","","https://www.freightnet.com/profile/156151.htm","No"
"BVL AGENCY LIMITED","15b Alhaji Hussein Sunmonu Street,, Lekki Phase 1, Lagos, 101244","","","https://www.freightnet.com/profile/189862.htm","No"
"A-D Overseas Intl Ltd","41, ABU-ALFRED STREET, OBAWOLE ESTATE, IFAKO IJAIYE LAGOS.  , 41, ABU-ALFRED STREET, OBAWOLE ESTATE, IFAKO IJAIYE LAGOS., LAGOS, NIGERIA, 234","","","https://www.freightnet.com/profile/108716.htm","No"
"Jaysil Logistics and Services LTD","55 Nwaniba Road , Uyo, Akwa Ibom, 520101","","","https://www.freightnet.com/profile/246451.htm","No"
"Gidix Logistics","Alhaja Kudirat Complex  , Behind Ikorodu Park, Ibadan, Oyo, 200109","","","https://www.freightnet.com/profile/233697.htm","No"
"Priorityparcel","66 daffodil park  , Lsdpc estate phase 4, Ogba, Lagos, 101003","","","https://www.freightnet.com/profile/206017.htm","No"
"Express delivery ED","Damascus Syria  , USA, New york, USA, 4614","","","https://www.freightnet.com/profile/226845.htm","No"
"Deliverasap Technologies Inc","1 , Segun Oduwole Street, Ogudu Orioke, Lagos, Lagos, 100502","","","https://www.freightnet.com/profile/198986.htm","No"
"TRANSAFTY (D.R. MATT INTERNATIONAL SERVICES LIMITED)","3, Nwachukwu Drive, Okota, Isolo, Lagos , Isolo, Lagos/ Nigeria, 100263","","","https://www.freightnet.com/profile/201640.htm","No"
"Spade Logistics","6 Akinmorin street , okota, Lagos, 100263","","","https://www.freightnet.com/profile/201471.htm","No"
"Rate logistics cargo ventures","1 adeyemon street 7&8 bus stop along mma international airport road Ikeja Lagos Nigeria  , 13 Otasumi street Iyana Ejigbo Lagos state Nigeria, Ikeja, Lagos state Nigeria, +234","","","https://www.freightnet.com/profile/183819.htm","No"
"MonaaExpress","65 Norman Williams Street South West , Ikoyi , Lagos, Nigeria, 23401","","","https://www.freightnet.com/profile/182404.htm","No"
"Diamond Express Logistic Services","7, Adetona Street. Isheri-Ijegun , 32, Kudirat Adenekan Street, Canoe, Ejigbo, Lagos, Lagos, Nigeria, +23401","","","https://www.freightnet.com/profile/182050.htm","No"
"JP logistics","4, tincan apapa Lagos Nigeria , Apapa, Lagos, 234","","","https://www.freightnet.com/profile/181096.htm","No"
"AFRIWORK INTERNATIONAL NIGERIA ENTERPRISES LIMITED","34,KOFO ABAYOMI STREET APAPA LAGOS , APAPA, LAGOS, 23401","","","https://www.freightnet.com/profile/166474.htm","No"
"Mujib Petrleum Limited","No 1 A.A Jibrilla Avenue, unguwan Dosa Kaduna, Kaduna State, Nigeria , Kaduna, Kaduna/Nigeria, 01AA","","","https://www.freightnet.com/profile/86816.htm","No"
"Helberth Ventures","4 Anike Apena Street , Ikeja, Lagos, 100001","","","https://www.freightnet.com/profile/163040.htm","No"
"KeyGO Logistics","Riggs plaza, ogunnusi road, omole Ikeja, lagos , Ikeja, Lagos/Nigeria, 23401","","","https://www.freightnet.com/profile/160780.htm","No"
"SODNOF NIGERIA LIMITED","ROOM 113, NAHCO COMPLEX,(OPPOSITE SKYE BANK)NAHCO,MM1,IKEJA LAGOS , MM1 IKEJA, Nigeria, 100001","","","https://www.freightnet.com/profile/155385.htm","No"
"Fadees Logistics Services","5, Atunwa Street Off Unity Road , Ikeja, Lagos, Lagos, 2341","","","https://www.freightnet.com/profile/153203.htm","No"
"Ibcworldwide limited","4, Olorunoje Ajunobi Street Off ACME Ikeja Lagos Nigeria , 6,Airport Road Benin City Nigeria, Ikeja, Lagos, Nigeria, 2000 +234","","","https://www.freightnet.com/profile/150543.htm","No"
"Onasco Courier Services","34 anifowoshe street , ikeja, lagos, 23401","","","https://www.freightnet.com/profile/150496.htm","No"
"Feminik Logistics Ltd. Lagos","28 Aromire Avenue , Ikeja, Lagos State, Nigeria, 234","","","https://www.freightnet.com/profile/143950.htm","No"
"Leaders Courier Services Ltd","16 Adegbola str., Anifowoshe , Ikeja, Lagos, Nigeria, 100282","","","https://www.freightnet.com/profile/120362.htm","No"
"Obanosa AirCargo Limited","52.m.m.airport road,ikeja lagos , Ikeja, Nigeria, 23401","","","https://www.freightnet.com/profile/135356.htm","No"
"FLYING EAGLE SHIPPING LIMITED","2, AKANLAWON AJAYI, SURULERE , LAGOS, SURULERE, SAME AS ABOVE ADDRESS","","","https://www.freightnet.com/profile/42546.htm","No"
"Bendel Brothers Express Limited","52 Airport road lagos , ikeja, Lagos,Nigeria, 23401","","","https://www.freightnet.com/profile/59012.htm","No"
"DIAMONDWORTH GLOBAL ASSOCIATES LTD","11 KAARA STREET OFF OSOLO WAY, OFF M/MUHEMMED AIRPORT ROAD AJAO ESTATE , LAGOS, LAGOS, NIGERIA, 2345","","","https://www.freightnet.com/profile/45960.htm","No"
"femanuk resouces ltd","no98 adamasingba shopping complex , ayorinde street, ibadan, oyo, 23402","","","https://www.freightnet.com/profile/26559.htm","No"
"Star Courier","44 Ososlo Way , Lagos,","","","https://www.freightnet.com/profile/17776.htm","No"
"Winnas Cargo Nig Ltd","7 & 8  Bus Stop , Ajao Estate, Lagos, Oshid, 01","","","https://www.freightnet.com/profile/14256.htm","No"
"Teamdeliver Services Limited","Suite C 314, Ikeja Shopping Plaza , Mobolaji Bankanthony way, Ikeja, Lagos, 2341","","","https://www.freightnet.com/profile/14423.htm","No"
"STARTEK GLOBAL SERVICES LIMITED","NAHCO COMPLEX , MURTALA MUHAMMED INTERNATIONAL AIRPORT, IKEJA,LAGOS, LAGOS, 234-01","","","https://www.freightnet.com/profile/23189.htm","No"
"DIL COURIER SERVICES LTD","SUITE 4,NAHCO OFFICE COMPLEX, M.M.INTERNATIONAL AIRPORT CARGO VILLAGE, IKEJA, LAGOS, 23401","","","https://www.freightnet.com/profile/51337.htm","No"
"new hope global logistics","24 alamutu street iju road ifako ijaye lagos nigeria , iju, lagos/nigeria, 100001","","","https://www.freightnet.com/profile/129425.htm","No"
