"name","address","phone","website","profileUrl","isPremiumMember"
"Three Source Logistic nig ltd","9 bola ige close, asokoro , Abuja, fct, 900103","+2348087011112","https://www.3sourcelogistic.com/","https://www.freightnet.com/profile/257186.htm","Yes"
"Yourcargoworld","11 b , big sahcol car park, cargo terminal , airport , 14 b Nahco export complex , cargo terminal, intartional, Lagos State, Lagos State / Nigeria, +234","","","https://www.freightnet.com/profile/206520.htm","No"
"TOSYN CARGO AND MULTIBIZ LIMITED","GBERIGBE IKORODU, LAGOS NIGERIA  , SAHCO IMPORT WAREHOUSE, MURTALA MUHAMMED INTERNATIONAL AIRPORT CARGO TERMINAL LAGOS NIGERIA, IKEJA, LAGOS/NIGERIA, 100001","","","https://www.freightnet.com/profile/236954.htm","No"
"ValRoxx-logistics","Association Of Nigeria Customs Licensed Agent Secretariat  , Opposite Hajj Camp, Ikeja, Lagos, +2341","","","https://www.freightnet.com/profile/156046.htm","No"
"Lanre Glabal links.","23B, Sahcol complex, MMIA , 11, ore-one str., Ikotun, Ikeja, Nigeria, +234","","","https://www.freightnet.com/profile/263165.htm","No"
"Ringsco Transit and Logistics Services Limited","Plot 8 Agbo Akimolafe Street Unity Estate Egbeda Lagos State  , Plot 3 Civic Centre Road Oron Akwa Ibom State, Egbeda, Lagos, 100001","","","https://www.freightnet.com/profile/261897.htm","No"
"Ontop 36 Logistics Services","No1, Airport road , No54,Hajji camp, Lagos, Lagos, +23401","","","https://www.freightnet.com/profile/258154.htm","No"
"Precious Cargo and Logistics","Agents Secretariat, Int'l Airport road Lagos Nigeria  , Ikeja, Lagos Nigeria, 1411","","","https://www.freightnet.com/profile/258311.htm","No"
"Afrofem ventures","3 fadiya street , 3 fadiya street, Ketu, lagos ,Nogeria, 234","","","https://www.freightnet.com/profile/118052.htm","No"
"Greaterway Oceanair Logistics Nigeria Limited","11,Banjoko st,Oshodi off  Brown st, 11,Banjoko st,Oshodi  off Brown st, Oshodi, Lagos/Nigeria, +234","","","https://www.freightnet.com/profile/88908.htm","No"
"Septmax Clearing and Logistics","83 Opebi Road by Junction Bus stop , 31 Airport Road by 7 and 8 Bus Stop, Ajao Estate, Ikeja, Lagos, 100281","","","https://www.freightnet.com/profile/141669.htm","No"
"SWIPHT LOGISTICS","Assets Corp Plaza; , 21, Obafemi Awolowo way, Ikeja, Lagos, 100271","","","https://www.freightnet.com/profile/248156.htm","No"
"Kageluxlogistic limited","No. 101, Wing A, First Floor, Nahco Cargo Complex, Muhammad International Airport, Ikeja, Lagos, Nigeria , No. 101, Wing A, First Floor, Nahco Cargo Complex, Muhammad International Airport, Ikeja, Lagos, Nigeria, Lagos, Nigeria, 100271","","","https://www.freightnet.com/profile/188447.htm","No"
"3DS ROYAL EMPIRE LTD","Suite 002, Nahco Building , Murtala Muhammed Intl Airport, Ikeja, Lagos, Nigeria, +234","","","https://www.freightnet.com/profile/244032.htm","No"
"ADBLIME UNIVERSAL LIMITED","10 nusiratu lasisi street  , Isolo, Lagos, Lagos, Nigeria., 100253","","","https://www.freightnet.com/profile/140080.htm","No"
"Emyzion Cargo logistics","9, Bariyu street,, Isolo, Lagos Nigeria, 23401","","","https://www.freightnet.com/profile/129257.htm","No"
"Sunshine cargo logistics","Suite 06 second Sachol complex opposite British airways international airport ikeja Lagos State... , Ikeja, Lagos, 23401","","","https://www.freightnet.com/profile/214065.htm","No"
"Moxdilla Logistics","Suite 7, 31G railway line off Commercial Road  , Apapa, Lagos, 101251","","","https://www.freightnet.com/profile/211870.htm","No"
"LIMITLESS LOGISTICS AND PROCUREMENT SERVICES LTD","House 1 daily times estate , Satellite town, Lagos Nigeria, 23401","","","https://www.freightnet.com/profile/197195.htm","No"
"SHOLAT GLOBAL LOGISTIC CARGO & FREIGHT COMPANY","Suite 007 Nahco complex mm airport road inside cargo terminal  , Lagos, Nigeria, 10001","","","https://www.freightnet.com/profile/205851.htm","No"
"westentend int'l logistics service limited","13,agbaoku street,awosika bus-stop,opebi,ikeja,lagos. , 228B,Royal Exchange Plaza Charity,oshodi,Lagos., lagos, Lagos,Nigeria., +234","","","https://www.freightnet.com/profile/113168.htm","No"
"STAMSED NIG LTD","1 modupe street anifowoshe ikeja , lagos, nigeria, 23401","","","https://www.freightnet.com/profile/163432.htm","No"
"Baxwell Ltd","17,Muritala Mohammed Airport , Road Ajoa Lagos, Lagos, Nigeria, 234/01","","","https://www.freightnet.com/profile/114437.htm","No"
"OLANBELL NIGERIA LIMITED","NAHCO COMPLEX, MMIA AIRPORT ROAD  , Ikeja, Lagos, 234","","","https://www.freightnet.com/profile/210066.htm","No"
"HM Logistics Company Limited","11 Oduduwa Way , Ikeja GRA, Lagos, Lagos, 101222","","","https://www.freightnet.com/profile/213156.htm","No"
"M. O GLOBAL  & CARGO LOGISTICS","44 MAKINDE STREET MAFOLUKU OSHODI  , 10 SHONEYE STREET OSHODI, LAGOS, LAGOS NIGERIA, 010","","","https://www.freightnet.com/profile/210845.htm","No"
"Southernsun International Limited","Virgo Block, Eleganza Plaza Apapa Lagos Nigeria , GAT Nnamdi Azikiwe International Airport (ABV), Apapa, Lagos State, 900108","","","https://www.freightnet.com/profile/196011.htm","No"
"Sunroyal Freight System NIG Ltd","113 first floor, wing A, Nahco Cargo complex, IKEJA, Lagos Nigeria  , Lagos, Nigeria, 100001","","","https://www.freightnet.com/profile/187102.htm","No"
"OSKIBA LINKS NIGERIA LIMITED","5, ADIO-SHOMADE STREET , PAPA-AJAO Mushin, Nigeria,","","","https://www.freightnet.com/profile/171132.htm","No"
"SHAV ONE LIMITED","11, Hakim One Momoh Close. Off Audu street, By second , Second Junction Bus Stop, Governors Road, Ikotun, Lagos, Nigeria, +234","","","https://www.freightnet.com/profile/47172.htm","No"
"PAKISGOLD GLOBAL INVESTMENTS LIMITED","45 BERKLEY STREET , OFF MOLONEY STREET, IKOYI, LAGOS/NIGERIA, 234","","","https://www.freightnet.com/profile/170587.htm","No"
"Kholone Global Logistics LLC","NO 3 OLU ONI CLOSE , OPPOSITE IKEJA CITY MALL, IKEJA, Lagos, 100281","","","https://www.freightnet.com/profile/157284.htm","No"
"BG GLOBAL LOGISTICS","206, Ikorodu Road, Palmgrove, Lagos. , Lagos, LAGOS/NIGERIA, 100211","","","https://www.freightnet.com/profile/168692.htm","No"
"provic cargo","71, salami street maforluku oshodi lagos , 183, faan complex nahco airpor ikeja lagos, ikeja, lagos, 234","","","https://www.freightnet.com/profile/133158.htm","No"
