"name","address","phone","website","profileUrl","isPremiumMember"
"Venant Logistics Nigeria limited","18 DARKAR ROAD APAPA GRA APAPA LAGOS , lagos, Lagos, 01234","","","https://www.freightnet.com/profile/247775.htm","No"
"Adam Logistics Limited company","40 Makurdi road benue nigeria  , 10 Ahamadu bello way ilorin nigeria, ILORN, Kwara nigeria, 1234","","","https://www.freightnet.com/profile/259861.htm","No"
"Far Global Shipping company","18, Awoniyi elemo street, Off M/M Int'l Airport Road, Lagos, Nigeria, 100263","","","https://www.freightnet.com/profile/258643.htm","No"
"RUGAB Dynamic logistics company","No 2 Asa Afariogun street ajao along MM Airport , Lagos, Lagos, Nigeria, 123","","","https://www.freightnet.com/profile/252851.htm","No"
"Sahel Trading and Logistics Company Nigeria Limited","238 Rijiyar Zaki Arewa, Off Gwarzo Road, Kano , Kano, Kano, 700105","","","https://www.freightnet.com/profile/257866.htm","No"
"Sahel Trading and Logistics Company Nigeria Limited","238 Rijiyar Zaki Arewa, Off Gwarzo Road, Kano , Kano, Kano, 700105","","","https://www.freightnet.com/profile/257865.htm","No"
"STANDOUTIMPORTANDEXPORTCOMPANY","GOMBE BUBA SHANGO OPP.NIMC OFFICE , GOMBE -GOMBE, NIGERIA / GOMBE STATE, 760251","","","https://www.freightnet.com/profile/254045.htm","No"
"HERMON DEW GLOBAL TRANSPORT & LOGISTICS","11b, ADENIYI Adefioye St. Kilo Surulere, Lagos , Surulere, Lagos, +234","","","https://www.freightnet.com/profile/244875.htm","No"
"ENGEL AGRO TRADE AND LOGISTICS","SHOP 117 GRACELAND SHOPPING MALL , OWERRI, Imo, 083","","","https://www.freightnet.com/profile/244338.htm","No"
"Alkanawy Travels and Tours LTD","229 , Giwa street, Kano, KANO, 064","","","https://www.freightnet.com/profile/237147.htm","No"
"E-Speed Limited","No 9 Dutse Street  , War College Estate, Abuja, Nigeria, 900103","","","https://www.freightnet.com/profile/232684.htm","No"
"ADCagrics Nig Ltd","5 Opunu Igando Lagos Nigeria , Lagos, Nigeria, 100001","","","https://www.freightnet.com/profile/231287.htm","No"
"Dan-inji multilinks LTD","No.4 Bilkisu plaza Daura  , Nasarawa Sabon Gari Daura, Daura, Katsina, 0011","","","https://www.freightnet.com/profile/210731.htm","No"
"Global export and import Limited","Murtala Muhammed International Airport , Ikeja, Lagos/Nigeria, 100272","","","https://www.freightnet.com/profile/188650.htm","No"
"Starlink Global & Ideal Limited","106/108 Apapa-Oshodi Expressway, Isolo, Lagos. , Lagos, Lagos/Nigeria, +234","","","https://www.freightnet.com/profile/168835.htm","No"
"Ogolord International Limited","11 Prince Doyin Adeeso Street Off Isuti Road By Olukanmi Bus Stop, Egan Igando, Lagos Nigeria , Lagos, Nigeria, 23401","","","https://www.freightnet.com/profile/111275.htm","No"
