"name","address","phone","website","profileUrl","isPremiumMember"
"Seyincorl International Services Ltd","27, Mafoluku road,mafoluku, oshodi, Same as above, Lagos, Lagos, 102214","+2348066404890 ,+2348023065769","","https://www.freightnet.com/profile/255133.htm","Yes"
"Cargo And Logistics Express Ltd","NAHCO AVAINCE , MURTALA MOHAMMED INT'L AIRPORT ROAD, IKEJA, Lagos, 102213","+2348035543809","","https://www.freightnet.com/profile/250378.htm","Yes"
"Iklin Courier service limited","16 biola fadayomi Street , Ojota, Lagos, 400001","+2348032106773","","https://www.freightnet.com/profile/261610.htm","Yes"
"Supreme Express Global Logistics Ltd","Suite 102 Sahco glass house Muritala Mohammed international airport lagos, No 1 obasijuade street Abule egba lagos, Ikeja, Lagos, 100010","+2348138768018","","https://www.freightnet.com/profile/214970.htm","Yes"
"ENNYDAM EXPRESS LOGISTICS SERVICES","MAGNET SHOPPING COMPLEX. 525 Agege motor road, Ladipo bus stop beside Majok Filling Station, Oshodi, Lagos State, Nigeria., Ikeja, Lagos, Nigeria, 23401","+2348021166995","http://www.ennydamexplog.com/","https://www.freightnet.com/profile/60608.htm","Yes"
"City cargo clearing and forwarding Ltd","27 fatade road baruwa ipaja Ayobo Lagos Nigeria , Alimosho, Lagos Nigeria, +234","+2349135911554","","https://www.freightnet.com/profile/262331.htm","Yes"
"MULTIMODAL FORWARDING AGENCY LTD","95, OKOTA ROAD, VIA OSHODI-APAPA, EXPRESSWAY, CELE B/STOP, OKOTA LAGOS, LAGOS, LAGOS, NIGERIA, 23401","+2347060509565, +2347056763502","http://www.multimodalforwarding.com/","https://www.freightnet.com/profile/161192.htm","Yes"
"JJM GLOBAL","Ground floor, FAAN Nacho Complex,, Ikeja, Lagos, 23401","+2348034636312","http://www.jjmgloballtd.com/","https://www.freightnet.com/profile/245100.htm","Yes"
"BIM CARGO LOGISTICS","OFFICE ADDRESS: 7, OKEOWO STREET, LIASU ROAD, OPERATION BASE: SAHCOL EXPORT SHED, BESIDE DHL INSIDE NAHCO, BEFORE INTERNATIONAL AIRPOT, IKOTUN, LAGOS/NIGERIA, 23401","08038590638","","https://www.freightnet.com/profile/263459.htm","Yes"
"Eagle Eyes Shipping Limited","2nd floor,No 10 Industrial road, off apapa/oshodi expressway, trinity bus stop, olodi/apapa , Lagos, same, Lagos, Lagos, 01","+234-08023226807, +234-1-9028922221","http://www.eagleeyesshipping.com/","https://www.freightnet.com/profile/45563.htm","Yes"
"Technologistics Solutions Ltd","2 Ogunbiyi Street, Oshodi, Oshodi, Lagos, 234","+234-8023191243","http://www.tlogistics-solutions.com/","https://www.freightnet.com/profile/3047.htm","Yes"
"NELLOSUN NIGERIA LIMITED","1ST FLOOR, 22, SADIKU STREET OFF INDUSTRIAL ROAD, BY TRINITY BUS STOP, OLODI-APAPA, LAGOS, 23401","+2347081891892  +2348181412243","https://www.nellosun.co/","https://www.freightnet.com/profile/54885.htm","Yes"
"Accomplished Logistics Services ltd.","Nahco Export seat,Hajj & cargo terminal,Murtalla muhammed international,Airport. Lagos Nigeria., ikeja, lagos Nigeria., 23401","+2348028426721/+2347035139928","","https://www.freightnet.com/profile/98908.htm","Yes"
"Eleclat Nigeria Limited","22 Joy Avenue, Ajao Estate, Lagos/Nigeria, 100263","+234 8128349756","https://eleclat.com.ng/","https://www.freightnet.com/profile/257176.htm","Yes"
"ANCHOR FREIGHT SOLUTIONS LTD","142 N.P.A Commercial Building National 2ND Floor, Second Gate Bus Stop, Tincan Island Port, Apapa, Lagos, Nigeria, 101252","+2349161328461","http://www.anchorfreight.com.ng/","https://www.freightnet.com/profile/261150.htm","Yes"
"TIGMY LOGISTICS &MOBILE AUTOS INTL LTD","8, AYODELE STREET MAFOLUKU , OSHODI, LAGOS, 100261","08067299933","http://www.tigmylogistics.com/","https://www.freightnet.com/profile/257233.htm","Yes"
"WADOYE NIGERIA LIMITED","KM 9, LAGOS-IBADAN EXPRESSWAY, MAGBORO, LAGOS, 110115","+234 805 727 5102","http://www.wadoye.com/","https://www.freightnet.com/profile/141407.htm","Yes"
