"name","address","phone","website","profileUrl","isPremiumMember"
"SWIFTZ LOGISTICS LIMITED","LAGOS FERRY TERMINAL, FEDERAL LOWCOST ESTATE, IKORODU, LAGOS, 23401","08161427026,08106985400","","https://www.freightnet.com/profile/265646.htm","Yes"
"Emyzion Cargo & Logistics","25, Adekunle Akala st Ajao Estate. Off International airport road , Lagos, Lagos, Nigeria, 4460","","","https://www.freightnet.com/profile/264206.htm","No"
"Virgin Emu Import & Exports Limited","34 Asanjo Way , Sangotedo, Lagos, 023401","","","https://www.freightnet.com/profile/187690.htm","No"
"Horlasarf multi ventures ltd","Promise land avenue off elebu oluyole extension Ibadan , Ibadan, Oyo, 23402","","","https://www.freightnet.com/profile/255501.htm","No"
"The havilah maritime services limited","Number 37, Warehouse road , Apapa, Lagos state/Nigeria, 101251","","","https://www.freightnet.com/profile/245329.htm","No"
"ASOG GENERAL SERVICES LTD","5 IBIKUNLE STREET, APAPA LAGOS , APAPA, LAGOS,NIGERIA, 101251","","","https://www.freightnet.com/profile/249611.htm","No"
"Emma247 logistics Nigeria limited","Suite 184 faan complex nahco/sahco shed, muritala Mohammed airport ikeja lagos, Nigeria  , Ikeja, Lagos, 100271","","","https://www.freightnet.com/profile/225065.htm","No"
"Chi-Adonia Global Nig","No 5 Tomoloju Estate, Yaya Abatan Road by Aguda roundabout, Ogba lagos , Oluwole motor pack, Oluwole Lagos Island Nig, Lagos, Lagos, 234","","","https://www.freightnet.com/profile/237673.htm","No"
"BARISOM LOGISTICS SERVICES LIMITED","17, liverpool road, GRA apapa, apapa, lagos/nigeria, 101254","","","https://www.freightnet.com/profile/209769.htm","No"
"Cvet Global Investments Services Ltd","Suite A1,Business Centre Block,Igbobi Onipanu, Lagos , Suite A1 Business Centre Block,Igbobi Onipanu,Lagos, Igbobi Onipanu, Lagos/Nigeria, +234","","","https://www.freightnet.com/profile/234314.htm","No"
": - Natalia Marine Services Ltd.","23, Adele Road By Cameroon Junction, Apapa, Lagos, Nigeria. , lagos, nigeria, 23401","","","https://www.freightnet.com/profile/228115.htm","No"
"Witech Digital Services","Funtua sokoto road , Funtua, Nigeria, 9889","","","https://www.freightnet.com/profile/228001.htm","No"
"IBANIT SERVICES LTD","5 National Supply Road , Off BEWAC Junction, Port Harcourt, Rivers State Nigeria, 00234","","","https://www.freightnet.com/profile/97272.htm","No"
"greatmoovas","9, sado street omorogbe bdpa, benin edo state , benin, Nigeria, 300001","","","https://www.freightnet.com/profile/224284.htm","No"
"GLOHFANECK Frieght & Logistics Ltd","1st Floor Charter House, Anifalaje Akobo , Ibadan, Oyo, 200111","","","https://www.freightnet.com/profile/182583.htm","No"
"FALCON RUSH LOGISTICS","RM 3 NAHCO COMPLES EXTENSION, M M I AIRPORT, IKEJA, LAGOS. , 14 AYODELE FANOIKI STREET ISHERI-MAGODO LAGOS, Ikeja, LAGOS / NIGERIA, 100472","","","https://www.freightnet.com/profile/213249.htm","No"
"JUMMY LOGISTICS NIG LTD","C9PC+R9F, Creek Road, Apapa Quays 102272, Lagos , LAGOS, NIEGRIA, 100001","","","https://www.freightnet.com/profile/213184.htm","No"
"Flysafe International Logistics Ltd","59 International airport road Ikeja lagos , 59 International airport road Ikeja lagos, Ikeja, Lagos/nigeria01/, 01/234","","","https://www.freightnet.com/profile/208951.htm","No"
"Terms Vogue Services Limited","Hajj Camp, Sahco Complex, Cargo Terminal Muritala Muhammed International Airport Road , Ikeja, Lagos, 23401","","","https://www.freightnet.com/profile/202036.htm","No"
"RAJ PROJECT GLOBAL NIG LTD","1, Scorpion Block, Eleganza Plaza , Wharf Rd, Apapa, Lagos/ Nigeria, 23401","","","https://www.freightnet.com/profile/181460.htm","No"
"Polons MULTINATIONAL SERVICES LIMITED","9 East West Road Rumuodara , Port Harcourt, Rivers, 084","","","https://www.freightnet.com/profile/199558.htm","No"
"KKU GLOBAL LINKS LTD","N0 168 Eastern Bypass Unguwa Uku Kano , Kano, Kano Nigeria, 999999","","","https://www.freightnet.com/profile/193625.htm","No"
