"name","address","phone","website","profileUrl","isPremiumMember"
"Oluwanishola transport service","6 gomek abo-malu amowo odofin , Ogota, Lagos, 100001","","","https://www.freightnet.com/profile/185631.htm","No"
"GMT Haulage and Distribution Limited","36 irede road, abule oshu, waterside, ojo-Lagos , ojo, Lagos, 23401","","","https://www.freightnet.com/profile/252708.htm","No"
"HAMAL INTEGRATED SERVICES LIMITED","1 Odunsi Street Badagry Express Way Mebamu, Iyana Ishasi Lagos  , Iyana Ishasi, Lagos Nigeria, 3","","","https://www.freightnet.com/profile/255726.htm","No"
"Flyxpres Limited","PLOT1 BLK128 MARWA BUS STOP, LEKKI EXPRESSWAY , Lekki, Lagos, 101245","","","https://www.freightnet.com/profile/253246.htm","No"
"Youngshollex Nigeria enterprise","Orile , Oluti, Lagos, Lagos nigeria, 100011","","","https://www.freightnet.com/profile/207818.htm","No"
"GEE CAPACITY LOGISTICS SERVICES","60 FASHINRO STREET, Mazamaza, Amuwo- Odofin, Amuwo, Lagos, +234","","","https://www.freightnet.com/profile/206374.htm","No"
"V. Okwueze Nig Ltd","4 Okarki , Port-Harcourt, Rivers, +234","","","https://www.freightnet.com/profile/190659.htm","No"
"Osoyemi logistics","Reliable tipper garage majidun ikorodu lagos state  , Majidun ikorodu lagos state, Ikorodu, Lagos Nigeria, 234","","","https://www.freightnet.com/profile/174526.htm","No"
"ABG Logistics","6,Oduntan Lane , Isabo, Abeokuta, Ogun, 23439","","","https://www.freightnet.com/profile/170440.htm","No"
"PAKMAIL SERVICES LIMITED","5 Fashade Close Oregun , Ikeja, Lagos/Nigeria, 9595","","","https://www.freightnet.com/profile/22180.htm","No"
