"name","address","phone","website","profileUrl","isPremiumMember"
"BE-DA Logistics","Kachanichki Pat 56, Vizbegovo , Skopje, North Macedonia, 1000","","","https://www.freightnet.com/profile/262776.htm","No"
"BETASPED","Lazar Dimitrov 27 , Skopje, MACEDONIA,","","","https://www.freightnet.com/profile/6637.htm","No"
"Maktrend","Boris Trajkovski 280a , Skopje, Skopje, 1000","","","https://www.freightnet.com/profile/259757.htm","No"
"SKOPJESPED","st. , 164 no.46 "" , /, Skopje, Macedonia, 1000","","","https://www.freightnet.com/profile/133728.htm","No"
"EMS-German Balkan Logistics Skopje","Dimitrije Cupovski 22a  1/008 , Skopje, Macedonia, 1000","","","https://www.freightnet.com/profile/156032.htm","No"
"NAVICO SHIPPING","Kiril i Metodij, No 50, floor 6, Skopje, Macedonia , Skopje, Macedonia, 1000","","","https://www.freightnet.com/profile/151457.htm","No"
"KAV-KOMERC Petar DOOEL","Zapaden Bulevar 15 , Kavadarci, Kavadarci, 1430","","","https://www.freightnet.com/profile/142364.htm","No"
"Sigma Logistics Ltd","Pero Nakov bb , Skopje, Macedonia, 1000","","","https://www.freightnet.com/profile/108517.htm","No"
"TIR International Freight Forwarders Ltd","XV-ti Korpus str. no. 2 , Skopje, 1000","","","https://www.freightnet.com/profile/19592.htm","No"
"INTERTRANS-KOMERC MM Done DOOEL","ul.Braka Miladinovi , KRIVA PALANKA, MACEDONIA, 1330","","","https://www.freightnet.com/profile/54401.htm","No"
"Transcont Ltd","Str. Venjamin Madjukovski , No 4-3 / 2, Skopje, Macedonia, 1000","","","https://www.freightnet.com/profile/12222.htm","No"
"T.D.Inter Sokol Kompani D.O.O.E.L","Ul.Zanzores Br.30 , Skopje, Macedonia, 1000","","","https://www.freightnet.com/profile/1941.htm","No"
"A.D.Fersped","Naroden  Front Br.17 , Skopje, Macedonia, 1000","","","https://www.freightnet.com/profile/3643.htm","No"
"Euro Lines dooel","Avnoj 46-1/9 , Skopje, 1000","","","https://www.freightnet.com/profile/4197.htm","No"
"Kon-Trans Shipping","Mitohadzivasilev Str. 50 , Skopje, Macedonia, 1000","","","https://www.freightnet.com/profile/5333.htm","No"
"KOSTRADE","Kosta Sahov 6/16 , Skopje,","","","https://www.freightnet.com/profile/7578.htm","No"
"A L I K I  Doo Bitola","Partizanska 87/11 , Bitola, 7000","","","https://www.freightnet.com/profile/12603.htm","No"
"FOR TRANS","JANE SANDANSKI 34/2/14 , SKOPJE, SKOPJE, 1000","","","https://www.freightnet.com/profile/18087.htm","No"
"Silvester95","ul.Gavril Konstantinovic 2b , Skopje, 1000","","","https://www.freightnet.com/profile/19133.htm","No"
"Eurotrans 2000","Zapaden Bulevar bb , Industrial area, Kavadarci, 1430","","","https://www.freightnet.com/profile/20824.htm","No"
