"name","address","phone","website","profileUrl","isPremiumMember"
"Accelerator AS","Lahaugmoveien 11 , Skjetten, Norge, 2013","","","https://www.freightnet.com/profile/198201.htm","No"
"Scanway-Shipping AS","P.O.Box 333 ,  Vollsveien 13, Lysaker, Norway, 1366","","","https://www.freightnet.com/profile/198008.htm","No"
"Jacsped as","Trollaasveien 8 , Trollaasen, Norway, 1414","","","https://www.freightnet.com/profile/162832.htm","No"
"ScanAm Transport (Norway) A.S.","Airfreight Agent's Centre , Gardermoen Naeringspark, Gardermoen, 2065","","","https://www.freightnet.com/profile/19576.htm","No"
"Grieg Logistics KS","PO Box 234 , Sentrum, Bergen, 5804","","","https://www.freightnet.com/profile/874.htm","No"
"Scanway Shipping A.S.","P O Box 333 , Lysaker, 1326","","","https://www.freightnet.com/profile/16246.htm","No"
"Cargo Linea AS","Frydenbergveien 48 , P.O. Box 556, Okern, Oslo,","","","https://www.freightnet.com/profile/8630.htm","No"
"GMC Shipping AS","Bekhuskaien , P.O. Box 7021, Sentrum, Stavanger, 4004","","","https://www.freightnet.com/profile/13249.htm","No"
"Oslo Shipping Logistics AS","10th. Bldg , Filipstadkaia, Oslo,","","","https://www.freightnet.com/profile/6569.htm","No"
"B.Iversen Spedisjon AS","PIR II, NR 1 , Trondheim, Norway, 7010","","","https://www.freightnet.com/profile/50262.htm","No"
"Haukedal Transport & Spedisjon As","P.O.Box 90 Nyborg , Hjortlandsveien 1, Bergen, N-5871","","","https://www.freightnet.com/profile/1196.htm","No"
"Albatross Logistikk (Logistics) AS","P.O. Box 249 , Industriveien 1, Skedsmokorset, N-2021","","","https://www.freightnet.com/profile/10627.htm","No"
"Beta Shipping Moss AS","Karl Johansgate 6B (3rd Floor) , Oslo, 0154","","","https://www.freightnet.com/profile/11346.htm","No"
"OK Shipping","Kai 3 , Kristiansand, 4617","","","https://www.freightnet.com/profile/15134.htm","No"
"KVLR Logistics","Stoperiveien 23 , Larvik, Vestfold, 3267","","","https://www.freightnet.com/profile/16997.htm","No"
"Fellestransport AS","Postboks 213 , Alnabru, Oslo, 0614","","","https://www.freightnet.com/profile/18935.htm","No"
