"name","address","phone","website","profileUrl","isPremiumMember"
"AL BEDAYA LOGISTICS SPC","MUSCAT, 60 HAY AL MINA, MUSCAT, MUSCAT, 114","00968 72415554","https://albedayalogistics.com/","https://www.freightnet.com/profile/257070.htm","Yes"
"UPM INTL","AL AMERAT PHASE 6, MUSCAT, MUSCAT/OMAN, 112","+96896300082","https://upminternational.com/","https://www.freightnet.com/profile/257303.htm","Yes"
"Al Muntaha Business LLC","M567 Business Centre, Al Khuwair, Sultanate Of Oman, Alhuwair, Muscat, 112","+96896663517 / operations@muntahalogistics.com","https://muntahalogistics.com/","https://www.freightnet.com/profile/255052.htm","Yes"
"Burning Star Global Investment","Al seeb area, Muscat, Oman, 121","00968-91349867","","https://www.freightnet.com/profile/256679.htm","Yes"
"Bhacker Haji Abdullatiff Fazul LLC","P.O. Box 1068, Ruwi - 112, Muscat, Oman, P.O. Box 1068, Ruwi - 112","00968 99886026","","https://www.freightnet.com/profile/206716.htm","Yes"
"Al Barwani Logistics","Muscat, Oman, Al Seeb, Muscat, Oman, 111","+968 71182964","https://www.albarwanilogistics.com/","https://www.freightnet.com/profile/256583.htm","Yes"
"Otrailers Logistics Solutions LLC","Ghala Industrial Area , Muscat, Muscat, 113","","","https://www.freightnet.com/profile/262228.htm","No"
"green ways shipping llc","Darsait , Muscat, Muscat, oman, 114","","","https://www.freightnet.com/profile/244288.htm","No"
"Empire Express Aviation","Galkacyo main rd  , Salalah, Salalah, N/a","","","https://www.freightnet.com/profile/260603.htm","No"
"Best Shipping and investment spc","po box 1235, pc 100 , po box 1235, pc 100, MUTTRAH, Muscat, 100","","","https://www.freightnet.com/profile/256748.htm","No"
"AL BAZ SHIPPING SERVICES","P.C: 111, P.O. Box 1661 Office Suite No: C223,  1st floor, Muscat Airport, Cargo Terminal Building  Seeb, Seeb, Oman, 1661","","","https://www.freightnet.com/profile/259663.htm","No"
"AL MAS CARGO","Door No:6, WADI KABIR, Muscat, Oman. , Muscat, Oman, 1030","","","https://www.freightnet.com/profile/107601.htm","No"
"LLK Express","Muscat  , Muscat, Muscat, 100","","","https://www.freightnet.com/profile/253425.htm","No"
"North Muscat Transport & Service LLC","P.o.Box : 112,, Muscat, Oman, 111","","","https://www.freightnet.com/profile/252690.htm","No"
"Ocean world logistics","Muscat , Sohar, Muscat, Muscat, 112","","","https://www.freightnet.com/profile/245761.htm","No"
"Majan Shipping & Transport Co., LLC","PC114 , Jibroo, Muscat, Oman, 1527","","","https://www.freightnet.com/profile/187753.htm","No"
"Sea Box International LLC","No. 302, Trade Center Building , Ruwi, Muscat, Sultanate of Oman, 1610","","","https://www.freightnet.com/profile/246660.htm","No"
"Millennium Shipping Services L.L.C","P.O Box 1602 , P.C, 130, Muscat, Sultanate of Oman, 130","","","https://www.freightnet.com/profile/246588.htm","No"
