"name","address","phone","website","profileUrl","isPremiumMember"
"Dropdex Logistics","Shop no #S57, Zain Shopping Mall , Karachi, Block 14 Block 2 PECHS, Karachi, Karachi, Pakistan, 75300","","","https://www.freightnet.com/profile/265425.htm","No"
"GP Logistics Transport and Cargo","Port qasim karachi , Port qasim karachi, karachi, pakistan, 75020","","","https://www.freightnet.com/profile/265961.htm","No"
"WISE FREIGHT SERRVICES","KASHMIR MALL KASHMIR ROAD  , NEAR ZEESHAN COLONY, SIALKOT, PAKISTAN, 51310","","","https://www.freightnet.com/profile/248815.htm","No"
"Infinity Logistixs","18-325 Abbot Road Sialkot , Sialkot ,Pakistan, Sialkot, Punjab, 51310","","","https://www.freightnet.com/profile/262719.htm","No"
"Global Agencies Management","D-213 DMCHS Siraj ud Daula Road, Karachi , D-213 DMCHS Siraj ud Daula Road, Karachi, Karachi, Pakistan, 74600","","","https://www.freightnet.com/profile/261834.htm","No"
"MANORA ENTERPRISES PVT LTD.","3RD FLOOR, BAHRIA COMPLEX III,  LALAZAR, M.T. KHAN ROAD, Kemari, sindh, 74000","","","https://www.freightnet.com/profile/261523.htm","No"
"Creative Dynamic Services Provider (SMC) Pvt Ltd","Plot No 190/A, A/2, Almas Heights, Suit No 113, 1st Floor P.E.C.H.S Society, Block-6, Karachi, Sindh, 75400","","","https://www.freightnet.com/profile/205981.htm","No"
"Sunrise traders co","124/A, 34/1, Housing Society , Sanghar, Pakistan, 68100","","","https://www.freightnet.com/profile/257830.htm","No"
"combined freight (pvt) ltd","Suite #1-2Q, Flat G-2/A, Park View Towers, Block 6, PECHS, Karachi 75400, Pakistan , Suite #1-2Q, Flat G-2/A, Park View Towers, Block 6, PECHS, Karachi 75400, Pakistan, karachi, pakistan, 75350","","","https://www.freightnet.com/profile/231815.htm","No"
"CARGO PLUS PVT LTD. [International Freight Forwarder]","Head Office Near H.B.L (S.I.E) Shahab Pura Ugoki (UK) Road,  Sialkot Pakistan.  , Branch Offices: Lahore, Islamabad, Karachi, Faisalabad, Sialkot, Pakistan, 51310","","","https://www.freightnet.com/profile/150711.htm","No"
"Marshall Packers and Movers","Adnan plaza G -10 markaz , Abbottabad, Pakistan, 4400","","","https://www.freightnet.com/profile/254959.htm","No"
"HAWK SHIPPINGS PVT LTD","OFFICE NO. 11, 1ST FLOOR, CITY CENTER, SADAR, RAWALPINDI 46000 , CITY CENTER, SADAR, Rawalpindi, PUNJAB, 46000","","","https://www.freightnet.com/profile/215003.htm","No"
"Air Cargo - National Logistics Corporation (NLC)","Headquarters NLC, Harding Rd, Rawalpindi, Punjab 46000 , Rawalpindi, Punjab, Pakistan, 46000","","","https://www.freightnet.com/profile/249602.htm","No"
"oceanlinkers","jail road 73 tajarcade opp services hospital  , lahore, pakistan, 54000","","","https://www.freightnet.com/profile/250250.htm","No"
"Raza.co","Pahar Pur layyah Punjab Pakistan , Multan Pakistan, Layyah, Pakistan, Kts","","","https://www.freightnet.com/profile/247500.htm","No"
"Chudhary interprisess","Service road shakriyal rawalpindi , Shakriyal, Pakistan, 46000","","","https://www.freightnet.com/profile/241291.htm","No"
"MYC Logistics","u-6 pechs block 6 , karachi, Pakistan, 75400","","","https://www.freightnet.com/profile/240301.htm","No"
"Kerry Freight Pakistan PVT LTD","P 47 1st Floor Chenab Market Madina Town Faisalabad Pakistan  , Faisalabad, Pakistan, 38000","","","https://www.freightnet.com/profile/237462.htm","No"
"Air Indus","HG9 A & B, Lahdhi Industrial Area,, Karachi, Pakistan, 75500","","","https://www.freightnet.com/profile/236435.htm","No"
"M brak traders","St #2 MILLAT CHOWK FAISALABAD  , Faisalabad, Pakistan, 48000","","","https://www.freightnet.com/profile/232699.htm","No"
"PCS Logistics (PVT) Ltd","7-O block 6  , pechs, KARACHI, pakistan, 75400","","","https://www.freightnet.com/profile/231273.htm","No"
"AL Nafe Enterprises","Multan Pakistan , Shah Rukh na Salam colony Multan, Multan, Punjab, 60000","","","https://www.freightnet.com/profile/228379.htm","No"
"Excel Freight Systems (Pvt) Ltd","8/1 Habib Ullah Road. (Off) Davis Road. , Lahore, Pakistan, 54000","","","https://www.freightnet.com/profile/214996.htm","No"
"Elclassicoproducts","30 , Islamabad, Islamabad, 44000","","","https://www.freightnet.com/profile/226893.htm","No"
"TELEXMOVE LAHORE","PL, OFFICE 11 SIDDQUIE TRADE CENTER LAHORE , Lahore, Punjab, 54000","","","https://www.freightnet.com/profile/178174.htm","No"
"Kz Traders","Multan , Multan, Multan, Pakistan, +92","","","https://www.freightnet.com/profile/207188.htm","No"
"alfie cargo","shenzhen , shenzhen, shenzhen, china, 350000","","","https://www.freightnet.com/profile/210923.htm","No"
"Islamabad International Freight Forwarders","H 257 street 6 H13/3 , Islamabad, Islamabad, Pakistan, 44000","","","https://www.freightnet.com/profile/206624.htm","No"
"Jabir-online","chaklala scheme 3 Rawalpindi Pakistan  , Sarai Kharbuza Road near Royal Future Foundation School tarnol islamabad, Rawalpindi, Pakistan, 46000","","","https://www.freightnet.com/profile/206437.htm","No"
"Stm International","Office#8A First Floor Ettehad Center,Blue Area,Islamabad , Same, Islamabad, Pakistan, 44000","","","https://www.freightnet.com/profile/197958.htm","No"
"Air Touch Courier & Cargo Services","UGF-4/B, Empress Tower, 46-Empress Road, Lahore, PUNJAB, 54000","","","https://www.freightnet.com/profile/180208.htm","No"
"Sk Logistics Pakistan","street 15 h no 921 , g 11-1 islamabad, G 11, PAKISTAN, 46000","","","https://www.freightnet.com/profile/172235.htm","No"
"Inter-Fret Consolidtoea (Pvt) Ltd","151-B, Street No: 4, Railway Officers Colony , Walton Cantt, Cant, Punjab, 54000","","","https://www.freightnet.com/profile/144149.htm","No"
"Focus Shipping Agencies","Suite# 104 1st Floor Progressive Square, Nursery Main Shahra-e-Faisal,, Karachi, Pakistan, 74560","","","https://www.freightnet.com/profile/171364.htm","No"
"MA LOGISTICS PVT LTD","Office No.306, 3rd Floor , Ali Plaza, Ghauri Town Phase-5, Islamabad, Pakistan, PAKISTAN, 44000","","","https://www.freightnet.com/profile/141741.htm","No"
"Prime Cargo International","ghulam centre ugo ki road sialkot pakistan , ghulam centre ugo ki road sialkot pakistan, ghulam centre, punjab pakistan, 51310","","","https://www.freightnet.com/profile/53559.htm","No"
"Logistic Xperts","Office # 13, I-8 Markaz, Islamabad , Islamabad, Pakistan, 44000","","","https://www.freightnet.com/profile/132735.htm","No"
"Gold wide international logistics co.,ltd.","ADD:1902#,19F,BLOCK B,2018 SOUTH SECURITIES BUILDING,JIANSHE ROAD, LUOHU DISTRICT,SHENZHEN,CHINA , SHENZHEN, CHINA, 518000","","","https://www.freightnet.com/profile/116075.htm","No"
"international freight services","unit no 01 mehboh building , airport Islamabad, rawalpindi, pakistan, 4600","","","https://www.freightnet.com/profile/128552.htm","No"
"ati logistics","103 c phase 7 dha karachi , 103 c phase 7 dha karachi, karachi, pakistan, 75500","","","https://www.freightnet.com/profile/110449.htm","No"
"Rayyan  Aviation Services","Office No 1 Street  No 18 Fizaia  Colony , Islamabad Highway, Rawalpindi, 44000","","","https://www.freightnet.com/profile/9714.htm","No"
"AL-SIDDIQ CONSILIDATORS (PVT) LTD","Main Shahrah -e- Faisal,Opp.Airport Police Station, Karachi-Pakistan , shah Faisal, Karachi,Pakistan, 75230","","","https://www.freightnet.com/profile/106871.htm","No"
"Elelctive Cargo Services","Shahabpura Road, Sialkot 51310,, Sialkot, Punjab, 51310","","","https://www.freightnet.com/profile/113503.htm","No"
"asljdk","jdklj , kljdkl, jkljd, jkljl, jkdjjdkl","","","https://www.freightnet.com/profile/115590.htm","No"
"Tajmahal Cargo","Mughal Plaza , Kutchery Road, Sialkot, Punjab/Pakistan, 51310","","","https://www.freightnet.com/profile/63112.htm","No"
"EMKAY LOGISTIC","Suite#702 , Business Plaza, Karachi, Pakistan, 74500","","","https://www.freightnet.com/profile/90344.htm","No"
"sujammi logestics","ROOM NO 208  , ANUM EMPIRE SHARA E FAISAL, karachi, pakistan, 74000","","","https://www.freightnet.com/profile/60848.htm","No"
"Trans air cargo","shahab center ogoki road sialkot pakistan , Sialkot, Pakistan, 51310","","","https://www.freightnet.com/profile/108222.htm","No"
"FREIGHT LINES SHIPPING SERVICES Pvt Ltd Lahore Pakistan","LG 34 gohar Center Wahdat Road Lahore , Lahore, Pakistan, 54700","","","https://www.freightnet.com/profile/107581.htm","No"
"Gerry's International (Pvt.) Ltd. RSP of FedEx Trade Networks Transport & Brokerage Inc.","20-A, Queens Road, Near Ganga Ram Hospital Lahore Pakistan , Lahore, Punjab, 54000","","","https://www.freightnet.com/profile/89588.htm","No"
"Atlanta Cargo","Suit 19 Hamza St.1 Herbanspura Morr Herbanspura Lahore-Pakistan , Lahore, Pakistan, 54840","","","https://www.freightnet.com/profile/86806.htm","No"
"Agilent Services","Off#1, First Floor, Saad Building, Opp. Shaheen Cargo Complex, Islamabad Airport , Islamabad, Pakistan, 44000","","","https://www.freightnet.com/profile/100116.htm","No"
