"name","address","phone","website","profileUrl","isPremiumMember"
"Asiatrans International Express & Logistics","P NO 1-1 B BLOCK 6  P.E.C.H.S  Karachi, Pakistan , KARACHI, Sindh, 75000","","","https://www.freightnet.com/profile/166159.htm","No"
"Fast Express Courier & Shipping","Office # E8, 5th Floor, Ocean Centre, Edulji Dinshaw Road, Kharadar, Karachi, Pakistan, 740000","","","https://www.freightnet.com/profile/256216.htm","No"
"Interloop Limited","1km Khirrianwala Jaranwala Road , FAISLABAD, 37630","","","https://www.freightnet.com/profile/242799.htm","No"
"Sale Goods","Post office chak no 12 BC chak no 28BC Tehsil and District , Bahawalpur, Punjab, 63100","","","https://www.freightnet.com/profile/246381.htm","No"
"Sea Net Shipping and Logistics","House# D-213, DMCHS, Siraj Ud Daula Road,  Karachi, Pakistan , , Pakistan, 78400","","","https://www.freightnet.com/profile/44622.htm","No"
"SMARTEX INTERNATIONAL","Zeeshan colony near passport office  , Kashmir road, Sialkot, PUNJAB, 51310","","","https://www.freightnet.com/profile/239387.htm","No"
"Green box Pvt Ltd","Plot # 244, Sector 6 – A, Next to Alamgir Institute, Mehran Town, Korangi. Karachi – Pakistan. , Karachi, Pakistan, 74900","","","https://www.freightnet.com/profile/215960.htm","No"
"Zawa logistics","DHA Karacho , Karachi, Sundh, 74500","","","https://www.freightnet.com/profile/196255.htm","No"
"IMA PAKISTAN","Suite No. 201, Business and Finance Centre, I.I Chundrigar Road, Karachi, Pakistan , Sadar, Pakistan, 75400","","","https://www.freightnet.com/profile/150467.htm","No"
"RRS Worldwide Courier","Office # 02-03 Allama Iqbal Market Near PTCL Exchange Opp Brain net Office , Sialkot, Pakistan, 51310","","","https://www.freightnet.com/profile/156265.htm","No"
"FAST HAWK WORLD WIDE COURIER","FAST HAWK WORLD WIDE COURIER Office # R-07 Basement Afzal Plaza 2 Near Mazzeo, Shahabpura Sialkot-51310 PAKISTAN, Tel: +92-52-325-1726 Cell: 0300-712-5100 , SIALKOT, Punjab, 51310","","","https://www.freightnet.com/profile/149023.htm","No"
"3A's Logistics Pakistan","Suite# T-14 & T-15, 3rd Floor, Mateen Shopper's Gallery, Karachi, Pakistan, 75100","","","https://www.freightnet.com/profile/141143.htm","No"
"A.J.Worldwide Services Inc.","39-C/D, BLOCK-6, P.E.C.H.S. KARACHI, PAKISTAN , 501, Penhom Avenue, unit 8 secaucus, nj 07094, KARACHI, PAKISTAN, 75400","","","https://www.freightnet.com/profile/136381.htm","No"
"AS LOGISTICS","Suit # C-322, National auto plaza Marston Road  , Saddar, Karachi, Pakistan, 74000","","","https://www.freightnet.com/profile/105520.htm","No"
"Cargo Crystal (Pvt) Ltd.","Suit # 111, Business Arcade, Block :6, P.E.C.H.S. , shahra-e faisal., Karachi, Pakistan, 75400","","","https://www.freightnet.com/profile/86958.htm","No"
"Care Exprss","Kutchery Road , Near Shahid AUTO, Punjav, Pakistan, 51310","","","https://www.freightnet.com/profile/87649.htm","No"
"AEROEXPRESS","SUIT NO 7&8 BLOCK B, SHAMS PLAZA, NORTH NAZIMABAD KARACHI , SINDH, PAKISTAN, 74700","","","https://www.freightnet.com/profile/60481.htm","No"
