"name","address","phone","website","profileUrl","isPremiumMember"
"Kaikobad Pestanjee Kakalia","3, Ground Floor, Nadir House I I Chundrigar Rd, Karachi, Sindh, 74000","03008248923","http://kpkakalia.com/","https://www.freightnet.com/profile/262032.htm","Yes"
"CARGO LOGISTICS EXPRESS","FC-19 1st Floor Techno City Mall, Hasrat Mohani Road , Karachi, Pakistan, 74000","","","https://www.freightnet.com/profile/57582.htm","No"
"Khurram Enterprises","218 Sunny Plaza Hasrat Mohani Road , Karachi, Pakistan, 75000","","","https://www.freightnet.com/profile/202752.htm","No"
"Ocean World Cargo","812 Uni Center, I I Chundrigar Road, Karachi , Karachi, Pakistan, 75500","","","https://www.freightnet.com/profile/151369.htm","No"
"Essani group of companies (copyright)","office no g7-g8 hussain trade center , new challi karachi, karachi, sindh, 74800","","","https://www.freightnet.com/profile/194689.htm","No"
"EG LOGISTICS","B-1, 2nd Floor, 23-C, 27th Street, Tauheed Commercial, Phase 5 Extension, D.H.A. , Karachi, Sindh, 75500","","","https://www.freightnet.com/profile/157243.htm","No"
"Paradise International Logistics","59-First Floor Farooq Center Mcloed Road Lahore , Lahore, Punjab/Pakistan, 54000","","","https://www.freightnet.com/profile/144208.htm","No"
"MISHAL INTERNATIONAL","Dar House 1-A Golding Road Queens Road Lahore, Pakistan , Lahore, Punjab, 54000","","","https://www.freightnet.com/profile/148970.htm","No"
"J&A INTERNATIONAL","3RD FLOOR 311-C HASRAT MOHANI ROAD , SR-II I.I.CHUNDRIGAR ROAD KARACHI, KARACHI, PAKISTAN, 74000","","","https://www.freightnet.com/profile/139656.htm","No"
"Subhanallah Agencies","4/13 Arkay Square Shahra-e-liaquat karachi Pakistan , Karachi, Pakistan, 74000","","","https://www.freightnet.com/profile/136202.htm","No"
"Vclear","5E State Life Building No 4 , Shahrah-e-Liaquat, Karachi, Sindh, 74000","","","https://www.freightnet.com/profile/105818.htm","No"
"Transocean International Pvt Ltd","Head Office: Hajvairy Mansion, 3rd Floor, 22-B West Blue Area P.O Box 1920, Islamabad, Pakistan , Islamabad (Capital), Pakistan, 44000","","","https://www.freightnet.com/profile/103218.htm","No"
"SHEERAZ SHIPPING SERVICES","OFFICE BO 613 6TH FLOOR UNI PLAZA KARACHI , 75600, KARACHI, PAKISTAN, 75600","","","https://www.freightnet.com/profile/98284.htm","No"
"Khurram Enterprises & Packers","Opp. Shaheen Cargo Complex Islamabad International Airport , Rawalpindi, Pakistan, 46000","","","https://www.freightnet.com/profile/95098.htm","No"
"Naushad Enterprises","525, 5th  Floor, Sunny Plaza   , Hasrat Mohani Road, Karachi, PAKISTAN, 74200","","","https://www.freightnet.com/profile/18588.htm","No"
"Prime Linkers Customs Brokerage","Shop No LG 1 Lahore Trade Centre Brandreth Road / Railway Road , Lahore, Pakistan, 54000","","","https://www.freightnet.com/profile/89330.htm","No"
"raza brothers (pvt) ltd","R-K.SQUARE ROOM NO-38-A,38,40.10TH FLOOR.SHAHRAH- , E-LIAQUATE KARACHI.PAKISTAN, sader, i i Chandigarh road, 74000","","","https://www.freightnet.com/profile/58410.htm","No"
"H. I. INTERNATIONAL","Suite # 07-08, 2nd Floor, Sattar Chamber, West Wharf Road, Karachi., Sindh, 74500","","","https://www.freightnet.com/profile/24196.htm","No"
"Funfa  International","Plat # 3, 3rd Floor, Muslilam Colony, Near Finance Trade Centre, Karachi, Sindh, 74400","","","https://www.freightnet.com/profile/52988.htm","No"
"Mumtaz Logistics International","Suit # 704, 7th Floor, Uni Centre , I. I. Chundrigar Road, Karachi, Sindh, 74000","","","https://www.freightnet.com/profile/22395.htm","No"
"Loyal Agencies","Saeed Building, Opposite Custom House , Nabha Road, Lahore, 54000","","","https://www.freightnet.com/profile/23615.htm","No"
"Maazan International","karachi and Isb/Rwp , www.maazan-intl.com, Karachi and Isb, pakistan, 44000","","","https://www.freightnet.com/profile/127170.htm","No"
