"name","address","phone","website","profileUrl","isPremiumMember"
"Chibs International Logistics","1008, 10th Floor Progressive Square, PECHS Block 6 main Shahrah-e-Faisal, Karachi, Pakistan, 74000","00923324666503","http://chibs-intl.com/","https://www.freightnet.com/profile/172610.htm","Yes"
"concord logistic international","17 F Block 06 PECHS Karaachi, Lahore, Karachi, Sindh, 75100","+923181381381","http://www.concordlogistic.com.pk/","https://www.freightnet.com/profile/255443.htm","Yes"
"Ocean Voyage Logistics","D 52, Block 4, Gulshan - e - Iqbal Karachi, Pakistan , Karachi, Pakistan, 74600","+92-330-8586457","https://www.ovlpk.com/","https://www.freightnet.com/profile/256693.htm","Yes"
"Easy Export & Logistics Pvt Ltd","Baldia Town, Sector B, Baldia Town, Sindh, 75760","0092 308 2194400","http://www.easyexports.com/","https://www.freightnet.com/profile/245588.htm","Yes"
"Zest Logistics","OFFICE NO.307, 3rd FLOOR,SHAHEEN CENTRE, LIBERTYMARKET GULBER III, Lahore, OFFICE NO.307, 3rd FLOOR,SHAHEEN CENTRE, LIBERTYMARKET GULBER III, Lahore, Lahore, pakistan, 54000","04235753092","https://: www.zestlogistics.com.pk","https://www.freightnet.com/profile/263427.htm","Yes"
"M.R Group Pakistan","Suite 1206-1210 12th Floor Chapal Plaza, Hasrat Mohani Road Karachi, Karachi, Sindh, 74600","+923337761218","http://www.mrgrouppk.com/","https://www.freightnet.com/profile/161396.htm","Yes"
"AIR & OCEAN LOGISTICS PAKISTAN","Room No. 413, 4th Floor, Almas Heights PECHS, Block # 2 Plot # 190-A/1 Karachi-75400, Pakistan, Room No. 413, 4th Floor, Almas Heights PECHS, Block # 2 Plot # 190-A/1 Karachi-75400, Pakistan, KARACHI, PAKISTAN, 75400","03332244521","","https://www.freightnet.com/profile/261807.htm","Yes"
"Black Sea Shipping & Logistics","Office No. 21, Yousaf Plaza, Opp. PMC, Defence Road, SIALKOT, Punjab, 51310","+923316641323","http://www.bssl.com.pk/","https://www.freightnet.com/profile/260444.htm","Yes"
"FM Freight Logistics","Office No 7/29 7th Floor Arkay Square Building Shahrah e Liaquat Road Karachi, Saddar, Karachi, Pakistan, 74700","+923062413291","https://www.fmfreightlogistics.com/","https://www.freightnet.com/profile/244467.htm","Yes"
"PAKLINK SHIPPING SERVICES","SUITE 803 8TH FLOOR BUSINESS PLAZA,   MUMTAZ HASSAN ROAD, KARACHI, PAKISTAN, 74000","+922132441333","","https://www.freightnet.com/profile/258264.htm","Yes"
"Atlantic Pacific Logistics","73, Faqeerabad # near Yahya Masjid, Peshawar, Khyber Pakhtunkhwa / Pakistan, 25000","+923455344453","http://www.apl-pk.com/","https://www.freightnet.com/profile/249291.htm","Yes"
"Sea & Sky Agency Private Limited","DB-31, Cantonment Mall, Gulshan e Jamal, Rashid Minhas Road, Karachi, Pakistan, 74700","+923129900009","https://www.seaandsky.agency/","https://www.freightnet.com/profile/262288.htm","Yes"
"A&A Cargo Transport","Suite# 701, 7th Floor, Roshan Trade Center, Shaheed-E-Millat Road, Karachi – Pakistan, KARACHI, PAKISTAN, 75500","34918922-23","http://www.aacargotransport.com/","https://www.freightnet.com/profile/262130.htm","Yes"
"Combined Freight (pvt) ltd","Suite #1-2Q, Flat G-2/A, Park View Towers, Block 6, PECHS, Karachi 75400, Pakistan, Karachi, Pakistan, 75350","+923202429990","http://www.combinedfreight.com/","https://www.freightnet.com/profile/231683.htm","Yes"
"Nisa Shipping Line","Office # 1007, 10th Floor, K.S. Tower,, New Challi, Pakistan, 74209","03482208326","http://www.nisashippingline.com/","https://www.freightnet.com/profile/256172.htm","Yes"
"INS SHIPPING & LOGISTICS","Off#5/20 5th Floor Arkay Square Ext, New Chali Shahrah-e-Liaquat, KARACHI, SINDH, 74700","+922132422993","http://www.inslogistic.com/","https://www.freightnet.com/profile/116037.htm","Yes"
"Land Star Shipping","House No.45K, Ground Floor No.001, Raazi Road, P.E.C.H.S, BLK 6, Karachi, Pakistan, 75300","+923202000171","","https://www.freightnet.com/profile/264127.htm","Yes"
"Wise Freight services","Wise freight services Kashmir mall Kashmir road, Sialkot, Pakistan, 51310","+923228710531","","https://www.freightnet.com/profile/253290.htm","Yes"
"SIRAJCARGO","Office No. 306, 3rd Floor, Hassan Shopping Mall, Peoples Colony No.1, Faisalabad, Punjab, 38000","+ 92 41 8556001","http://www.sirajcargo.com/","https://www.freightnet.com/profile/97903.htm","Yes"
"Excel Freight Systems (Pvt.) Limited","8/1 Habibullah Road, Lahore, Punjab, 54000","+924236369626","https://www.excelfrt.com/","https://www.freightnet.com/profile/242271.htm","Yes"
"Welcome Shipping Aids Pvt. Ltd.","Ground Floor Old Saudi Arabian Airline Building AFU import Airport, Air Freight Unit Import Airport, Karachi, Sindh, 75530","+922134577771","https://welcomeshipping.com/","https://www.freightnet.com/profile/156095.htm","Yes"
"FREIGHT LINK","House A-420, Gulshan Block 1, House A-420, Gulshan Block 1, Karachi, PAKISTAN, 75300","+923350135460","http://www.freightlink.com.pk/","https://www.freightnet.com/profile/253415.htm","Yes"
"Multi Sea Marine Logistics","HBL Bank, 9JH8+3X, Badiana, Sialkot, Punjab, Sialkot - Pasrur Rd. , Badiana, Sialkot, Punjab, Sialkot - Pasrur Rd., Sialkot, Punjab, Pakistan, P.O. Box 51410","","","https://www.freightnet.com/profile/253343.htm","No"
"Rightway Logistics - RWL","103-A 2nd floor Commercial Plaza,  Central Park housing Scheme, 31 KM Ferozepur road  Lahore – Pakistan, Lahore, Punjab, 54000","","","https://www.freightnet.com/profile/231228.htm","No"
"MTAH SHIPPING SMC PVT LTD","PLOT NO.A-7, OFFICE NO. 508, 5TH FLOOR AL-HAYAT CHAMBERS, Block-7/8, K.C.H.S.U., off Shahrah e Faisal road,  Karachi. , KARACHI, PAKISTAN, 747000","","","https://www.freightnet.com/profile/248364.htm","No"
"Ocudi Shipping","Tariq Road , Bahria Town Tower, Karachi, Karachi West, 74800","","","https://www.freightnet.com/profile/261822.htm","No"
"ALPHA FREIGHT SOLUTIONS LIMITED","124 City Road, London EC1V 2NX , London, —, EC1V 2NX","","","https://www.freightnet.com/profile/265669.htm","No"
"Western Shipping Agencies","Suite # 1002, 10th Floor, Uni Center , I.I. Chundrigar Road, Karachi, Sind, 74000","","","https://www.freightnet.com/profile/20374.htm","No"
"NOWAL SHIPS & LOGISTICS","OFFICE # 3 1ST FLOOR BUILDING # 22-C DHA KARACHI , OFFICE # 3 1ST FLOOR BUILDING # 22-C DHA KARACHI, KARACHI, PAKISTAN, 74200","","","https://www.freightnet.com/profile/265665.htm","No"
"Auspicious Logistics","316 3rd Floor Mashriq Center  , Block 14 Gulshan e Iqbal, Karachi, Pakistan, 75300","","","https://www.freightnet.com/profile/250013.htm","No"
"VR TRADE LINKERS","FLAT NO 113, GROUND FLOOR, BHAYANI , SUN VIEW APPARTMENT, GULSHAN-E-, Karachi, pakistan, 75400","","","https://www.freightnet.com/profile/265358.htm","No"
"Crystal Cargo Services","office # 5/20, CAESAR'S TOWER , MAIN SHAHRA-E FAISAL, Karachi, Pakistan, 75350","","","https://www.freightnet.com/profile/142939.htm","No"
"Allied Shipping Agency","Suite # G-6, Ground Floor, Davis Hytes, Davis Road, Lahore. , Lahore, Pakistan, 54000","","","https://www.freightnet.com/profile/265363.htm","No"
"Cargoflex Global Logistics","Malir karachi , Karachi, pakistan, 75080","","","https://www.freightnet.com/profile/261493.htm","No"
"SilkBridge Logistics","Offce# 402, 4th Floor, Progressive Square , P.E.C.H.S. BLOCK 06, Karachi, Pakistan, 75300","","","https://www.freightnet.com/profile/264605.htm","No"
"Macter Worldwide Logistics","Suite # 705, 7th Floor, Business Plaza, Mumtaz Hassan Road, Off. I.I. Chundrigar Road, Karachi – Pakistan., Karachi, Pakistan, 74400","","","https://www.freightnet.com/profile/257249.htm","No"
"Seabond Shipping Line","Plot No 12-J,Suit -104,1st floor PECHS,Karachi Pakistan , Karachi, Pakistan, 74000","","","https://www.freightnet.com/profile/248061.htm","No"
"OPAL FREIGHT","Office # 29 & 34,Aiwan-e-Tijarat Building , Nicol Road, KARACHI, SINDH, 74000","","","https://www.freightnet.com/profile/247250.htm","No"
"MF LOGISTICS SMC PRIVATE LIMITED","PLOT U61, BLOCK # 6, PECHS , KARACHI, pakistan, 74500","","","https://www.freightnet.com/profile/265084.htm","No"
"Vigotrans Logistics","suit 205 , 206, karachi, Sind/Pakistan, 75400","","","https://www.freightnet.com/profile/263523.htm","No"
"Fast Track & Associates","Chowk Kotli Behram, Al-Madina Market , Sialkot, Pakistan, 51310","","","https://www.freightnet.com/profile/184298.htm","No"
"General Maritime (Pvt) Ltd","Suite # 102, 1st Floor, Progressive Plaza , Beaumont Road, Civil Line, Karachi-75530, Karachi, Pakistan, 75530","","","https://www.freightnet.com/profile/257811.htm","No"
"FREIGHTCARE SHIPPING & LOGISTICS","ROOM 107, 1ST FLOOR, PLOT N0.12-J PECHS  , karachi, sindh, 74000","","","https://www.freightnet.com/profile/219484.htm","No"
"AS Services International","Office # 05,Tajbagh Housing Society , Lahore, Pakistan, 42000","","","https://www.freightnet.com/profile/261224.htm","No"
"South Asia Shipping & Logistics","The Forum Clifton, Karachi  , Karachi, Karachi, Pakistan, 7400","","","https://www.freightnet.com/profile/264542.htm","No"
"A.A LOGISTIC & TRADERS","Room#113, 1st Floor, Sunny Plaza, Hasrat Mohani Road , Karachi, Pakistan, 75340","","","https://www.freightnet.com/profile/264222.htm","No"
"ROYAL SHIPPING INTERNATIONAL PVT LTD","8/8 R.K Square Extention New Challi Shahare Liaqat , Shahra e liquat, KARACHI, PAKISTAN, 75300","","","https://www.freightnet.com/profile/261910.htm","No"
"ICON FREIGHT SERVICES (PVT) LTD.","Suite No. 01, 2nd Floor, Sharjah Center , 62, Shadman Market, LAHORE, PAKISTAN, 54600","","","https://www.freightnet.com/profile/158428.htm","No"
"EMA Shipping Agenceis","KARACHI , SIALKOT, LAHORE, 74000, 51310","","","https://www.freightnet.com/profile/139381.htm","No"
"Synergy Logistics Pakistan","Office no. 103, 1st Floor, Falak Corporate City, Railway Rd,  I.I Chundrigar Rd, Opp. Overseas Chamber of Commerce, Karachi, Pakistan, 74000","","","https://www.freightnet.com/profile/64255.htm","No"
"Cargo shipping and logistics","Office no: 704B, Saima Trade Tower, Block B I.I Chundrigar Rd, Saddar Karachi , karachi, pakistan, 74000","","","https://www.freightnet.com/profile/263660.htm","No"
"BESTWAY LOGISTICS PLANNERS","OFFCIE# 307 3RD FLOOR SHAHEEN CENTER LIBERTY MARKET GULGBER III LAHORE , LAHORE, PAKISTAN, 54000","","","https://www.freightnet.com/profile/263561.htm","No"
"world express cargo services","green building, near railway crossing, commissioner road, green building, near railway crossing, commissioner road, Sialkot, pakistan, 51510","","","https://www.freightnet.com/profile/152482.htm","No"
"Admire Global Logistics","Office # 307, 3rd Floor Shaheen Centre, Liberty Market Gulberg III Lahore, Pakistan , Lahore, Pakistan, 05459","","","https://www.freightnet.com/profile/263484.htm","No"
"Multiways Freight Services","Office No. 6, 2nd Floor, Javed Centre, Dubai Chowk , Allama Iqbal Town, Lahore, Punjab, 54570","","","https://www.freightnet.com/profile/9653.htm","No"
"Zest Logistics","OFFICE NO.307, 3rd FLOOR,SHAHEEN CENTRE, LIBERTYMARKET GULBER III, Lahore , OFFICE NO.307, 3rd FLOOR,SHAHEEN CENTRE, LIBERTYMARKET GULBER III, Lahore, Lahore, pakistan, 54000","","","https://www.freightnet.com/profile/263423.htm","No"
"Al Merci Dispatch Solutions","Khayaban e Amin , Lahore, Pakistan, 54000","","","https://www.freightnet.com/profile/255247.htm","No"
"Pacewell Cargo","Dar Plaza, Jamait Khana Road , Dar Plaza, Jamait Khana Road, Sialkot, Pakistan, 51310","","","https://www.freightnet.com/profile/58714.htm","No"
"Ocudi Shipping","Bilal Society , Bilal Society, Garden, Pakistan, 74550","","","https://www.freightnet.com/profile/261575.htm","No"
"ROYAL SHIPPING & LOGISTICS","Office # 102, 2nd floor, JS Bank Building, Hameed Plaza, Kashmir Road, Sialkot – Pakistan , SIALKOT, PAKISTAN, 51310","","","https://www.freightnet.com/profile/212171.htm","No"
"MARINE SERVICES INTERNATIONAL","Office # 04, 1st  Floor Al Hafeez View 67 Sir Syed Rd, Block D1 Gulberg III,  Lahore Pakistan , Sir Syed Road Gulberg 3, LAHORE, pakistan, 54660","","","https://www.freightnet.com/profile/238187.htm","No"
"Rizvi Associates","D5, Blk 11, F B Area , Gulberg, Sind, Pakistan, 74200","","","https://www.freightnet.com/profile/261818.htm","No"
"Fiza Logistics (Pvt) Ltd","UAE- PAK- CHN - GBR - USA -AUS-AFG-  , Karachi, World wide,","","","https://www.freightnet.com/profile/59839.htm","No"
"Searoute Freight","Room # 1002, 10th Floor, Uni Centre, I.I. Chundrigar Road, Karachi, Sind, 74000","","","https://www.freightnet.com/profile/24811.htm","No"
"Karachi Cargo Services (Pvt) Ltd","Fabeha Castle, 168 , Block B, Sindhi Muslim Society, Karachi, Sindh, 74400","","","https://www.freightnet.com/profile/22445.htm","No"
"Canyon Shipping & Logistics Pakistan","U-172-1, Mezzanine Floor, Ahmed Arcade Block-2, P.E.C.H.S, Karachi, Pakistan. , PECHS, Pakistan, 75400","","","https://www.freightnet.com/profile/259982.htm","No"
"FAAR LOGISTICS SERVICES PVT. LTD","5/6 MAIN JAIL ROAD GULBERG III , LAHORE, Pakistan, 56460","","","https://www.freightnet.com/profile/238309.htm","No"
"Galaxy Shipping & Logistics","Suite # 3, Mezanine Floor, 12-C, Sunset Lane-1, Phase II, Extension D.H.A.Karachi-Pakistan, Karachi, Pakistan, 75950","","","https://www.freightnet.com/profile/146705.htm","No"
"Scorpions Corporation","R-195 Saima Luxury Home , Bagh e Korangi, Karachi, Pakistan, 75210","","","https://www.freightnet.com/profile/159322.htm","No"
"GP Logistics Transport and Cargo","G-10 Markaz islamabad , G-10 Markaz islamabad, islamabad, Pakistan, 44000","","","https://www.freightnet.com/profile/261561.htm","No"
"LOYAL  AGENCIES","2 , Saeed Building, old anarkali, Lahore, Pakistan, 54000","","","https://www.freightnet.com/profile/117416.htm","No"
"Nesbolt Logistics","Block-D2 DHA EME Sector , Lahore, Pakistan, 53710","","","https://www.freightnet.com/profile/250237.htm","No"
"Elegance Shipping Services","A-97, Sector X, Sub sector X-3, Gulshan-e-Maymar , Karachi, Sindh, Pakistan, Gulshan e Maymar, Sindh, 75340","","","https://www.freightnet.com/profile/258658.htm","No"
"AIR SEA WORLDWIDE LOGISTICS PAKISTAN","House No 91-A , Block A, Karachi, Sindh, 75400","","","https://www.freightnet.com/profile/52218.htm","No"
"Haroon Traders","112 Hasan Chamber, Bohri Road, Opposite Custom House, Karachi, Pakistan , Karachi, Sindh, 75500","","","https://www.freightnet.com/profile/170309.htm","No"
"NAVISCO","A-219 PICHS, Shahrah-e-Aisha, Near Malir Cantt, Karachi, Pakistan , 310, 3rd floor Shams Chamber Shahrah-e-Liaqat, Karachi, Pakistan, KARACHI, PAKISTAN, 75230","","","https://www.freightnet.com/profile/261103.htm","No"
"Logistics Mode Pakistan","cavalry ground Lahore , Lahore, pakistan, 54200","","","https://www.freightnet.com/profile/213200.htm","No"
"Vantage Logistic Solution","Suite 202. 2nd Floor Gohar Chamber Near Duty Free Shop Shahrah-e-Faisal Karachi-Pakistan , Karachi, Sindh, 75350","","","https://www.freightnet.com/profile/259570.htm","No"
"ST Logistics","Office No.605 Falak Corporate City I.I Chundrigar Road Karachi , Karachi, Pakistan, 74800","","","https://www.freightnet.com/profile/242610.htm","No"
"Swift Global","Suite No 27, Third Floor , Landmark Plaza, Jail Road, Lahore, Pakistan, 54600","","","https://www.freightnet.com/profile/191679.htm","No"
"Logworld","Office number 9, 4th floor, trade center, business park, Gulberg Greens Gulberg Greens Block B gulberg, Islamabad , Islamabad, Pakistan, 44000","","","https://www.freightnet.com/profile/260710.htm","No"
"Allied Xpert Logistics","Suite 604 Kawish Crown Plaza Main Shahrah-e-Faisal, Karachi - Pakistan , Karachi, Sindh, 75500","","","https://www.freightnet.com/profile/14157.htm","No"
"pace logistics","AL , KHALIL, SIALKOT, PAKISTAN, 51360","","","https://www.freightnet.com/profile/258005.htm","No"
"1logistic","Suite # 808, 8th Floor , Business Plaza Mumtaz Hassan Road, Karachi, sindh, 74000","","","https://www.freightnet.com/profile/217913.htm","No"
"MULTI TRANS INTERNATIONAL","No.15, Hafiz Building , Main Jilani Street., RAWALPINDI, PUNJAB, 44500","","","https://www.freightnet.com/profile/127364.htm","No"
"Logistic  Xperts","office 13 VIP Squre Plaza I 8 Markaz Islamabad , I-8 Markaz, Pakistan, 44000","","","https://www.freightnet.com/profile/260140.htm","No"
"Alienz Group","Malir , Karachi, pakistan, 75080","","","https://www.freightnet.com/profile/260052.htm","No"
"ABT LOGISTICS","PLOT 367 , STREET 5, I-9/3, Islamabad, 44000","","","https://www.freightnet.com/profile/169141.htm","No"
"Global Venture Shipping","Mr.5/7 thanal lane Jodia bazar mithadar karadar, Karachi, Pakistan, 47600 , karachi, karachi, 05444","","","https://www.freightnet.com/profile/259539.htm","No"
"Akah Logsitics Services","Office No. C12 , 3rd Floor, Royal Avenue Building Main University Road , Karachi, pakistan, 75300","","","https://www.freightnet.com/profile/259526.htm","No"
"Akah Logsitics Services","Office No. C12 , 3rd Floor, Royal Avenue Building Main University Road , Karachi, Pakistan, 75300","","","https://www.freightnet.com/profile/259530.htm","No"
"Global Gateway Logistics","P.E.C.H.S Block 7/8 West Land Trade Center 7th Flo , karachi, Pakistan, 75300","","","https://www.freightnet.com/profile/259528.htm","No"
"INSPIRE SHIPPING","RAZZAQ COLONY MUSLIMABAD , LAHORE, PUNJAB PAKISTAN, 54000","","","https://www.freightnet.com/profile/259449.htm","No"
"Air Sea Alliance","Suite# 523, 5th Floor Shams Chamber , Shahrah-e-liaquat, Karachi, Pakistan, 74700","","","https://www.freightnet.com/profile/191670.htm","No"
"Aventis International","2nd floor, Plot No. 4 N, (1), Block 6, PECHS, Karachi 75400, Pakistan, Karachi, Sindh, 75850","","","https://www.freightnet.com/profile/182574.htm","No"
"ACUTE SHIPPING & LOGISTICS","Office # 408 - 409, 4th Floor, Pak Bait ul Qayam Building, Haqqani Chowk, Off: I. I. Chundrigar Road, Karachi, Sindh, 74000","","","https://www.freightnet.com/profile/148702.htm","No"
"NEWS Logistics","Office # 905, 9th Floor Progressive Square Sharah-e-Faisal, P.E.C.H.S. Block # 6, Karachi - Pakistan, PECHS Extension Block 6 P.E.C.H.S., Karachi, Karachi City, Sindh , Karachi, Sindh, 75300","","","https://www.freightnet.com/profile/253501.htm","No"
"ULTRA SHIPPING","GOLD POINT PLAZA , MURREE ROAD, rawalpindi, punjab, 745000","","","https://www.freightnet.com/profile/258141.htm","No"
"Freight Links Management (FLM) Pakistan","House # 16-c, Street # 3, Fazal town phase 2, VIP service road, Rawalpindi, Punjab/Pakistan, 46000","","","https://www.freightnet.com/profile/219262.htm","No"
"KARACHI GWADAR INTERNATIONAL LOGISTICS","B-10 Back anexe imperial building near PIDC house MT Khan Road karachi , mt khan road bsides DG Rangers Mess, Karachi, Sindh, 74000","","","https://www.freightnet.com/profile/258130.htm","No"
