"name","address","phone","website","profileUrl","isPremiumMember"
"S&S LOGISTICS SERVICES","BAHRIA COMPLEX II , GROUND FLOOR  , M.T KHAN ROAD KARACHI , PAKISTAN, LALAZAR, SINDH, 47044","","","https://www.freightnet.com/profile/265897.htm","No"
"COMBINED FREIGHT INTERNATIONAL","13-E Block-6, P.E.C.H.S., Shahrah-e-Faisal, Karachi.   , KARACHI, pakistan, 75000","","","https://www.freightnet.com/profile/259178.htm","No"
"HN impex","Dubai international city , Dubai international city, Dubai, Pakistan Gujranwal, 02256","","","https://www.freightnet.com/profile/228458.htm","No"
"Freight Network Pvt Ltd","off402 4th floor , Land MArk plaza, lahore, Pakistan, 54000","","","https://www.freightnet.com/profile/222276.htm","No"
"Adba Shipping Cargo Network","G-13, 1st Floor, Sattar Chambers 29, West Wharf Road , Karachi, Sindh, 07411","","","https://www.freightnet.com/profile/168898.htm","No"
"Logistics house pvt ltd","Lahore  , Karachi, sikandar malhi road, gulberg, pakistan, 54000","","","https://www.freightnet.com/profile/181149.htm","No"
"PAK SHIPPING AGENCY","Arkay Square Extention 3rd Floor Room 28 , Karachi, Pakistan, 74700","","","https://www.freightnet.com/profile/167318.htm","No"
"Pak shipping Agency","Uni Center Room No 711 7th Floor I.I.Chundrigar Road Karachi Pakistan , Same As above, Karachi-Pakistan, Pakistan, 74700","","","https://www.freightnet.com/profile/145834.htm","No"
"CONSORTIUM FOR FORWARDERS & SHIPPERS","A-159 BLOCK 12 GULISTAN-E-JOHOR , KARACHI, SINDH, 75290","","","https://www.freightnet.com/profile/144237.htm","No"
"Tracon Freight Solutions","Chaudhry House, 51 Shah Jamal , Lahore, Punjab, 54000","","","https://www.freightnet.com/profile/86897.htm","No"
