"name","address","phone","website","profileUrl","isPremiumMember"
"Makhani LLC","104 Quality Arcade  , Block 7, Karachi, Sindh, 75500","","","https://www.freightnet.com/profile/259602.htm","No"
"Total Quality Life Maintenance Associates Private Limited","12 Faisal Arcade, A39, Block 7&8, KCHSU, Shahrah e Faisal,, Karachi, Sindh, 75350","","","https://www.freightnet.com/profile/137187.htm","No"
"HZ GLOBAX","Street 3 , Lethrar Road, Kiyani Town, Islamabad, 44000","","","https://www.freightnet.com/profile/170392.htm","No"
"Shelozon Mover Packers and Logistics Pvt Ltd","Office No#2-E/1 1st Floor Puri House West Wharf Road , Bldg 5, Phase1 State Life Bldg, Jinnah Avenue,Blue Area Islamabad, Karachi, Sindh, 74000","","","https://www.freightnet.com/profile/138841.htm","No"
"Unicorn Shipping","Karachi shera-e-faisal , business Avenue, karachi, sindh, 75500","","","https://www.freightnet.com/profile/133612.htm","No"
"Silver Sea Shipping Agency","Room # 102, New Chali , Karachi , Room # 102, New Chali , Karachi, Karachi, Sindh, 75400","","","https://www.freightnet.com/profile/127489.htm","No"
"Global Logistix Syndicate Pvt. Ltd","Suite 24 Al Rehman Trade Centre , 15 Timber Road East Wharf Kemari, Karachi, Sindh, 74000","","","https://www.freightnet.com/profile/20837.htm","No"
"stalwart logistic (pvt) ltd","25 pl floor sadiq trade center lahore paksitan , lahore, paksitan, 54000","","","https://www.freightnet.com/profile/56357.htm","No"
"Global Shipping Agency","11-B, Pak Chambers , 25 West Wharf Road, Karachi, Sind, 75000","","","https://www.freightnet.com/profile/19964.htm","No"
"Clique Logistics (Pvt.) Ltd","D-71, Block-2 , Clifton, Karachi, Pakistan, 750034","","","https://www.freightnet.com/profile/65442.htm","No"
