"name","address","phone","website","profileUrl","isPremiumMember"
"Nisar & co","Fazal oil mill , Fazal oil mill, Sadiq Abad, Pakistan, 55050","","","https://www.freightnet.com/profile/247139.htm","No"
"Madina International Traders","Office 2nd Floor Rasheed Building 1091, Saddar Road Opposit Cantt G.P.O Peshawar , G.P.O Peshawar K.P.K Pakistan, Peshawar, KPK, 25000","","","https://www.freightnet.com/profile/247102.htm","No"
"Global Links","6B-6, 6th Floor, Fakhri Trade center, Shahrah-e- liaquat ,Karachi , Karachi, Pakistan, 77084","","","https://www.freightnet.com/profile/236253.htm","No"
"Optimum cargo services","P 53 54 gulf center , Qartaba chowk mozang road, Lahore, Pakistan, 54000","","","https://www.freightnet.com/profile/220699.htm","No"
"PackRight Solutions","157D, Askari5, Lahore , Lahore, Lahore, Non United States Or Canada, 54600","","","https://www.freightnet.com/profile/197180.htm","No"
"Ash hub Enterprises Importers and Exporters","2/A, Industrial Estate Multan , 15/16 Muhammad Arcade LMQ road Multan, Multan, Punjab, 60000","","","https://www.freightnet.com/profile/168788.htm","No"
"J. S. Group","Suite # 3, First Floor, Plot 10/1, Nazimabad No. 4 Karachi , Karachi, Pakistan, 74700","","","https://www.freightnet.com/profile/158020.htm","No"
"Mian Seeds","167/c Govt Housing Scheme , Renala Khurd Distt Okara, Punjab, 54000","","","https://www.freightnet.com/profile/12840.htm","No"
"Transmarine Logistic Pvt Ltd","Chapal Plaza tower , Chapal Plaza Tower, Karachi, Sindh/Pakistan, 75400","","","https://www.freightnet.com/profile/100296.htm","No"
"DARWESH ENTERPRISES (Exporter & Importer Agent)","Room #511,5th Floor Uni Tower I.I Chundrigar Road , Karachi, Pakistan, 74000","","","https://www.freightnet.com/profile/57584.htm","No"
