"name","address","phone","website","profileUrl","isPremiumMember"
"HOMEPACK FREIGHT INT'L","Malik center , Jinnah Ave, 3rd floor,  Blue Area , Islamabad, Islamabad Capital Territory, PAKISTAN, 44000","","","https://www.freightnet.com/profile/264525.htm","No"
"Unique Movers","office#2 &3 Block 8-A potohar plaza bluea area , Islamabad, Pakistan, 44000","","","https://www.freightnet.com/profile/119155.htm","No"
"Translink Movers (TLM)","Office # 6, Mezzanine Floor, Yaseen Plaza, Jinnah Avenue  , Avenue (74-West, G 7/3) Blue Area, Islamabad 44000, Pakistan., Islamabad, Pakistan, 44000","","","https://www.freightnet.com/profile/242606.htm","No"
"AG Goods Transport Company Karachi Pakistan","Plaza # 9, Office # 13, Commercial Market Bhabhra, M Block Gulberg 3 Ferozepur Road Lahore , Lahore, Punjab, 54000","","","https://www.freightnet.com/profile/233836.htm","No"
"Crescent Logistics Pakistan (Pvt) Ltd.","Suite - 718, Anum Blessing, Shahra-e-Faisal, Karachi, Pakistan , Shahra-e-Faisal, PK, 75330","","","https://www.freightnet.com/profile/198548.htm","No"
"Talal Packers and Movers in Karachi","Hoxbay oad Gate No 3 Near Khowaja Imail Hotel Goll Market Ghamkol Bulding Plot No 639 1st Folor Room, 1 Mauripur Rd, Karachi, Karachi City, Sindh 62000, Pakistan , Karachi, Pakistan, Pakistan, 62000","","","https://www.freightnet.com/profile/220728.htm","No"
"Qadri Movers And Packers","Suit # 4, 2nd Floor, Sunflower Plaza, Main Boulevard  Liberty Gulberg. , Lahore, Punjab, Pakistan, 54792","","","https://www.freightnet.com/profile/206626.htm","No"
"1 Panther Packers Pakistan","Suit no 17 , 1nd floor Gull Plaza F10 Markaz Islamabad , islamabad, pakistan, 46000","","","https://www.freightnet.com/profile/145440.htm","No"
"Movers And Packers In Lahore-Karachi-Islamabad-Pakistan","409 Land Mark Plaza Jail Road , Gulberg, Pakistan, 54600","","","https://www.freightnet.com/profile/145259.htm","No"
"TRANSHIP PACKERS & MOVERS","OFFICE NO:3, GROUND FLOOR, BASHARAT PLAZA, I-9 MARKAZ, ISLAMABAD, PAKISTAN, 44000","","","https://www.freightnet.com/profile/21342.htm","No"
"NATIONAL CARGO (PVT) LTD","ROOM NO.18,19 3rd FLOR TEXTILE , PLAZA M.A JINAH ROAD KARACHI, TOWER, PAKISTAN, 74000","","","https://www.freightnet.com/profile/120326.htm","No"
"Orison Logistics (Mover and Packers)","47 / j block 2 p.e.c.h.s. karachi , Karachi, Sindh Pakistan, 75200","","","https://www.freightnet.com/profile/107773.htm","No"
"KING ENTERPRISES","OFFICE NO 4, IST FLOOR, MEHBOOBPLAZA, OPPOSITE SHAHEEN CARGO COMPLEX, RAWALPINDI , RAWALPINDI, PAKISTAN, 46000","","","https://www.freightnet.com/profile/52599.htm","No"
"Allied International Packers & Movers","7C 18 Commercial Street , Phase 2 Ext  D H A, Karachi,","","","https://www.freightnet.com/profile/6934.htm","No"
