"name","address","phone","website","profileUrl","isPremiumMember"
"Omega Shipping Line","office no. 810 Block A Saima Trade Tower , karachi, karachi, Pakistan, 75530","","","https://www.freightnet.com/profile/142909.htm","No"
"Sea Tech Shipping & Logistics","Near F.s candino Factory  Defence Road, Sialkot Pakistan , Near F.s candino Factory  Defence Road, Sialkot Pakistan, Near F.s candino Factory  Defence Road, Sialkot Pakistan, Sialkot, 51410","","","https://www.freightnet.com/profile/262966.htm","No"
"SEA FREIGHT SYSTEM","Office No - G-10, 7th Floor , 0092 21 34550862, karachi, Pakistan, 75350","","","https://www.freightnet.com/profile/159060.htm","No"
"Abbasis International","D-15, FB Area , Block 4  , Gulberg Town,Karachi., Pakistan,","","","https://www.freightnet.com/profile/159791.htm","No"
"Oceanic Linere Pvt Ltd","Khizram@oceanicliners.com , Karachi, Pakistan, 00000","","","https://www.freightnet.com/profile/257434.htm","No"
"Multi Sea Marine","Near Askari Bank Ground Floor , Commercial street Sialkot,                           P.O. Box 51410 Punjab –Pakistan , Office 206 , 2nd floor Mona Residance Al Qusais Dubai U.A.E, Office 206 , 2nd floor Mona Residance Al Qusais Dubai U.A.E, Pakistan, Bahiana","","","https://www.freightnet.com/profile/253039.htm","No"
"Zeeshan","New nazimabad faisalabad , New nazimabad, Pakistan, 38000","","","https://www.freightnet.com/profile/232792.htm","No"
"MSM SHIPPING LINES","KARACHI PAKISTAN , KARACHI, PAKISTAN, 74200","","","https://www.freightnet.com/profile/221425.htm","No"
"MSL","MSL, I.I.C Road, Karachi , Saddar, Karachi - Pakistan, 75600","","","https://www.freightnet.com/profile/195791.htm","No"
"STANDARD LOGISTIC SERVICES","01st floor 4c, lane no, 3 Al Murtaza Commercial D.H.A. Phase VIII Karachi  Pakistan. , Contact +92 21 35246856, Karachi City town, PAKISTAN, 743000","","","https://www.freightnet.com/profile/152511.htm","No"
"Seacon Shipping","Suite # 518. 5th Floor, Haji Adam Chamber, Altaf Hussain Rd, Karach, Pakistan. , Karachi, Karachi Pakistan., 74000","","","https://www.freightnet.com/profile/141510.htm","No"
"A.S Shipping Pakistan","Arkay Square 9th Floor 9/14 New Charli , Shahrah - E - Liaquat, Karachi, Pakistan, 74000","","","https://www.freightnet.com/profile/129927.htm","No"
"pss container line","suite # 803 business center , i i chundrigare road karachi, KARACHI, SINDH, 74400","","","https://www.freightnet.com/profile/131930.htm","No"
"Emkay Line Shipping Company","Suite # 408-409 4th Floor, Business Plaza Mumtaz Hassan Road Karachi. , Karachi, Pakistan, 75580","","","https://www.freightnet.com/profile/131162.htm","No"
"Waterlink Pakistan","Clifton , Karachi, Sindh,","","","https://www.freightnet.com/profile/111888.htm","No"
"Emkay Shipping Lines","Suite 702, 7th Floor., Business Plaza, Hasrat Mohani Road, Saddar, Pakistan, 74000","","","https://www.freightnet.com/profile/98674.htm","No"
"Gateway Express Shipping Pvt Ltd","Karachi , Pakistan, Sindh, Pakistan, 75900","","","https://www.freightnet.com/profile/86629.htm","No"
"Modern Shipping Agencies (PVT) Ltd.","Suite # 102, 1st Floor, Hussain Trade Center, New Chali, Karachi, Pakistan, 74500","","","https://www.freightnet.com/profile/51703.htm","No"
"Global Maritime (Pvt) Ltd.","Eastern House 9 Timber Pond , M. A Jinnah Road Keamari, Karachi, Sind, 75620","","","https://www.freightnet.com/profile/14334.htm","No"
"DACO MARINE SERVICES PVT LTD.","SUITE NO. 9 1ST FLOOR A&K CHAMBER 14 WEST WHARF ROAD KARACHI , KARACHI, SINDH, 74000","","","https://www.freightnet.com/profile/24143.htm","No"
"FREIGHT LINES SHIPPING SERVICES LAHORE PAKISTAN","LG 34, Gohar Center Wahdat Road Lahore , Lahore, Pakistan, 54700","","","https://www.freightnet.com/profile/107610.htm","No"
"Pak International Marine Services (Pvt) Ltd.","Room No.706 7th Floor, Trade Tower , Abdullah Haroon Road, Karachi Pakistan., Saddar, pakistan, 74400","","","https://www.freightnet.com/profile/110896.htm","No"
