"name","address","phone","website","profileUrl","isPremiumMember"
"PakMovers","50 C1 Faisal Town, Lahore , Faisal Town, Pakistan, 54000","","","https://www.freightnet.com/profile/265884.htm","No"
"Al karamTraders","Christian town  , Sialkot, Pakistan, 51310","","","https://www.freightnet.com/profile/245847.htm","No"
"Seath Group of Companies","Yazman Mandi Bahawalpur Punjab Pakistan 63210 , 1, Yazman Mandi, Pakistan, 63210","","","https://www.freightnet.com/profile/234891.htm","No"
"ipack movers","Bahria Town Phase VI Block H G 7/2 Blue Area,, Islamabad, Pakistan, 44000","","","https://www.freightnet.com/profile/174812.htm","No"
"Pakistan Movers And Packers","A 274 Sector 6 Mehran Town Korangi Karac , M 76 Munir Mobile Mall Johar Chowrangi, Karachi, Sindh, 55240","","","https://www.freightnet.com/profile/156914.htm","No"
"PAKISTAN MOVERS AND PACKERS","m 76 munir mobile mall johar chowrangi karachi , A274 SECTOR 6 MEHRAN TOWN KORANGI KARACHI, Karachi, PAKISTAN, 44000","","","https://www.freightnet.com/profile/154068.htm","No"
"Packers And Movers In Pakistan","9 Land Mark Plaza Jail Road Lahore , Gulberg, Gulberg Lahore, Punjab - Pakistan, 54660","","","https://www.freightnet.com/profile/145257.htm","No"
"GHOURI LOGSITICS","I.I chundrigarh road  , R.K Square 5th floor office no. 5/14, Saddar, Sind, 74000","","","https://www.freightnet.com/profile/139222.htm","No"
"Mega Movers","Suite#610, 6th Floor Anum Estate, Shahrah-e-Faisal , Karachi, Sindh, 75350","","","https://www.freightnet.com/profile/135859.htm","No"
"HIBBARIZ Traders & LOGISITCS","shahra-e-Faisal , Karachi, Pakistan, 75400","","","https://www.freightnet.com/profile/108060.htm","No"
"Happy Movers","Suite 1 , Street 7 Zamama, Karachi, Pakistan, 44000","","","https://www.freightnet.com/profile/64129.htm","No"
"zest shipping & logestics (pvt) ltd.,","A-195 long life Banglows Ghulisan-e-Jauher , Karachi, Pakistan, 752000","","","https://www.freightnet.com/profile/117076.htm","No"
"Fast Packers & Movers","B-322, Satellite Town, Rawalpindi , Rawalpindi, Pakistan, 46000","","","https://www.freightnet.com/profile/99307.htm","No"
"Marshall Packers & Movers","Suite # 16, First Floor, Adnan Plaza, G-10 Markaz , Islamabad, Pakistan, 44000","","","https://www.freightnet.com/profile/50709.htm","No"
"Galaxy Forwarders","Block 6-B, First floor, F-6 Markaz, Super Market, Islamabad, Pakistan, 44000","","","https://www.freightnet.com/profile/61757.htm","No"
"Global Express Logistics","L-596, Block 1 , Clifton, Clifton, Pakistan, 75600","","","https://www.freightnet.com/profile/57555.htm","No"
"Tranship Packers & Movers","No 9 Block-E , Super Market, Islamabad,","","","https://www.freightnet.com/profile/5978.htm","No"
"Mehmood Goods Transport Company","463-A, Hawksbay Truck Stand , Hawksbay Road, Karachi, Sind, 74400","","","https://www.freightnet.com/profile/11682.htm","No"
"Pemcon Private Limited","S-48, Mauripur Road , Gulbai, S.I.T.E, Karachi, 75400","","","https://www.freightnet.com/profile/13566.htm","No"
"Crown Movers Worldwide","1/1/-K, Pechs , Block-6, Shahra-E-Faisal, Karachi, Sind, 75400","","","https://www.freightnet.com/profile/21937.htm","No"
