"name","address","phone","website","profileUrl","isPremiumMember"
"Logicargo Panama","Condado del Rey, Calle Toscana, Panama, Panama, N/A","+507 6949 6303","http://www.logicargopanama.com/","https://www.freightnet.com/profile/157853.htm","Yes"
"OMEGA INTERNATIONAL CARGO","VIA ISRAEL, PLAZA SUNSET STRIP, CIUDAD DE PANAMA, PANAMA, 00000","3952911","http://www.tucargaexpressnama.com/","https://www.freightnet.com/profile/193774.htm","Yes"
"Transtainer Panama","Panamá Pacifico , Panama, Panama, 507","","","https://www.freightnet.com/profile/264185.htm","No"
"PANAMA FLETE Y SERVICIOS DE CARGA","PANAMA , AVE MEXICO, Edif Britania, PANAMA, 0000","","","https://www.freightnet.com/profile/208055.htm","No"
"IB FORWARDING PANAMA, S.A.","Colon Free Zone, Panama , Email: erincon@interborders.com, Colon Free Zone, Panama, Colon, 1428","","","https://www.freightnet.com/profile/237647.htm","No"
"TLC - Transporte Logistico Centroamericano","Centro Comercial Interplaza , Oficina 607, Colon, Panama, -","","","https://www.freightnet.com/profile/162617.htm","No"
"CARGA LANDOS, S.A.","COFRISA 8, LOCAL 7 COLON FREE ZONA , COLON FREE ZONE, PANAMA, 00673","","","https://www.freightnet.com/profile/136296.htm","No"
"TRANSWAYS LOGISTICS","SUITE NO. 15, 4TH FLOOR , AL HAFEEZ VIEW SIR SYED ROAD, GULBERG III, PUNJAB / PAKISTAN, 54000","","","https://www.freightnet.com/profile/250433.htm","No"
"ULOG PANAMA","Panama Pacifico , International Business Park, Panama, Panama,","","","https://www.freightnet.com/profile/129998.htm","No"
"OMEGA INTERNATIONAL CARGO CORP","CALLE 31 CON AV MEXICO Y BALBOA  , EDIF DMD PB, CIUDAD DE PANAMA, PANAMA, 00000","","","https://www.freightnet.com/profile/120289.htm","No"
"U-Logistics SA","CALLE 50 CON 54 ESTE , EDF. FRONTENAC, PISO 1, PANAMA, PANAMA, 0000","","","https://www.freightnet.com/profile/193585.htm","No"
"CARGA LANDOS, S.A.","Cofrisa Building Nº8, Office 7, Colon Free Zone , Colon, Panama, 0302-00673","","","https://www.freightnet.com/profile/109197.htm","No"
"MARLIN LOGISTICS","53th East St. Marbella , World Trade Center, PANAMA CITY, PANAMA, 0832","","","https://www.freightnet.com/profile/167416.htm","No"
"SUPER CARGO, S.A.","Rabdolph Avenue, Block 16A-16B, France Field , Colón Free Zone, Colón, Panama, 0302-00747","","","https://www.freightnet.com/profile/49846.htm","No"
"Integral logistics cargo","CALLE 50 WORLD TRADE CENTER , PANAMA, PANAMA, 2450-25","","","https://www.freightnet.com/profile/132019.htm","No"
"EUROMUNDO LOGISTICS","Terrazas del Rey torre 200 apto 7a condado del rey , Panama, Panamá, 0194","","","https://www.freightnet.com/profile/219685.htm","No"
"BM CARGO PANAMA, CORP","COSTA DEL ESTE, OFICENTRO DEL ESTE LOCAL 12, LOCAL 12, PANAMA, Panamá, Panamá , LOCAL 12, PARQUE LEFEVRE, PANAMA, 7110","","","https://www.freightnet.com/profile/218956.htm","No"
"Asesorìa de Logìstica y Distribuciòn","Patricia Guzman de Talbot / Colon Free Zone, France Field , Colon, Panama, Panama,","","","https://www.freightnet.com/profile/101499.htm","No"
"EX WORKS LOGISTICS","Calle 53, Edif World Trade Center, Piso 1. , Panama, Panama, 12345","","","https://www.freightnet.com/profile/148313.htm","No"
"J-Mar Logistics, Inc.","Calle 4ta Parque Lefevre y Via España , Panama, Panama, 507","","","https://www.freightnet.com/profile/50424.htm","No"
"Geofreight Int´l","calle J La Gloria, Bethania , Panama City, Panama, 0823-02379","","","https://www.freightnet.com/profile/16199.htm","No"
"CARGO LOGISTIC SOLUTION","AVE RAMON ARIAS , EDIFICIO ROPARDI, PANAMA, PANAMA, NA","","","https://www.freightnet.com/profile/145195.htm","No"
"UNIK TRASPORT & LOGISTIC SOLUTIONS","COLON FREE ZONE , PANAMA CITY, PANAMA, PANAMA, 0834-01459","","","https://www.freightnet.com/profile/98737.htm","No"
"Cargo","PH Siglo XXI , panama, panama, n/a","","","https://www.freightnet.com/profile/155421.htm","No"
"PTY CONSOLIDATORS INC.","PANAMA CITY , PANAMA, PANAMA, 0808","","","https://www.freightnet.com/profile/148922.htm","No"
"Mercury Panama","Colon Free Zone , France Field, Colon, Colon, 000125","","","https://www.freightnet.com/profile/137762.htm","No"
"First Logistics Services SA","Calle 5ta ave 2da, France Field , Zona Libre de Colon, Colon, Panama, 0301-00955","","","https://www.freightnet.com/profile/130289.htm","No"
"CARGO BOX","COLON FREE ZONE , COLON, PANAMA, NOCODE","","","https://www.freightnet.com/profile/135813.htm","No"
"M3 International Logistics Corp","Calle 4ta Parque Lefevre Edif Vendo Plaza Local 1 , PANAMA CITY, PANAMA, Panama, PANAMA, 00000","","","https://www.freightnet.com/profile/135120.htm","No"
"Capital Pacifico, S.A.","France Field , Colon Free Zone, Colon, Panama, 320100","","","https://www.freightnet.com/profile/53311.htm","No"
"Aimar Group","Parque Sur, Edificio Flexspace 2 bodega 12 y 13 , Ave Domingo Diaz (Via Aeropuerto), Panama, Panama, pa-salessupport4@aimargroup.com","","","https://www.freightnet.com/profile/91448.htm","No"
"ZEUS WORLDWIDE SERVICES, S.A.","Bella Vista , Panama, Panama, 507","","","https://www.freightnet.com/profile/128829.htm","No"
"Multimodal Logistics Corp.","Obarrio Calle 53 Panama , France Field Calle 4ta, entre ave 3 y 4, Colon, Panama, entrega general","","","https://www.freightnet.com/profile/88197.htm","No"
"Sea Cargo Logistics Panama S.A","Obarrio, Calle 60 Este , Edificio Obarrio 60, Ciudad de Panama, Panama, 00000","","","https://www.freightnet.com/profile/111181.htm","No"
"LASPIN MARITIME SERVICE INC","36 street an Peru av, Arboix building second floor, ofc 16 , PANAMA CITY, Republic of Panama, 1428","","","https://www.freightnet.com/profile/119966.htm","No"
"Aerocapsa logistics.","Calle 17 Cofrisa 7 Bodega 1 , Zona Libre de Colon, Colon, Panama, 52553","","","https://www.freightnet.com/profile/83692.htm","No"
"INTERNATIONAL BUSINESS LOGISTICS S.A.","Edificio 204 Of. 2A5 Corregimiento de Cristobal , France field Calle 5 Av. 5, Colon, Panama, 0000","","","https://www.freightnet.com/profile/58269.htm","No"
"OCEANICA INTERCONTINENTAL, INC","Edificio Cofrisa 7, local 2 , Al lado de Washington, Colon, Panama, 587","","","https://www.freightnet.com/profile/118727.htm","No"
"ETERNITY INTL FREIGHT FORWARDER","Colon Free Zone, France Field , Panama City, Edif. Century Tower, piso 12 ofic 1215, Panama, Panama, 00000","","","https://www.freightnet.com/profile/56625.htm","No"
"O & D CARGO MARINE","Av. Ricardo J. Alfaro , Century Tower, piso 19 ofic 1903, Panamá, Panamá, 14601","","","https://www.freightnet.com/profile/112342.htm","No"
"AMST MULTIMODAL","Calle 39 Bella Vista, Edificio Tarraco, Piso 7 , PANAMA, PANAMA, NONE","","","https://www.freightnet.com/profile/84473.htm","No"
"Transpana","Panamerican Corporate Center Galera 9122 oficina 6 , Panamá Pacifico- Howard, Panama, Panama, 507","","","https://www.freightnet.com/profile/105253.htm","No"
