"name","address","phone","website","profileUrl","isPremiumMember"
"Express Freight Management PNG","PO Box 3398, Malaita Street, Lae, Morobe, 411","+6754723822","http://www.expressfreight.com/","https://www.freightnet.com/profile/113010.htm","Yes"
"Hi-Lift Company Limited","Napa Napa Road,, Port Moresby, Papua New Guinea, 830","","","https://www.freightnet.com/profile/256414.htm","No"
"DMSL LOGISTICS","PROFESSIONAL HAUS, 5TH STREET, SUITE 10 , LAE, PAPUA NEW GUINEA, 411","","","https://www.freightnet.com/profile/163403.htm","No"
"Freight Web","PO Box 182, Port Moresby , National Captipal District, Port Moresby, NCD, 121","","","https://www.freightnet.com/profile/171369.htm","No"
"OCEANIA LOGISTIC SERVICES","GORDON RIDGE,  5 MILE , PORT MORESBY, PAPUA NEW GUINEA, 211","","","https://www.freightnet.com/profile/189450.htm","No"
"A&G Logistics Ltd","PO Box 182, Port Moresby , National Captipal District, Port Moresby, NCD, 121","","","https://www.freightnet.com/profile/171750.htm","No"
"Super Sky Travel services","P.O. BOX 5239,BOROKO -NATIONAL CAPITAL DISTRICT , SEC 492, LOT 03-TALAPIA STREET -HOHOLA, Port Moresby, Papua New Guinea, 675/121","","","https://www.freightnet.com/profile/170229.htm","No"
"Raim Agency Services","PO Box 6542 Boroko , Port Moresby, N.C.D, Port Moresby, Papua New Guinea, 111","","","https://www.freightnet.com/profile/161386.htm","No"
"Sky Pacific Cargo Limited","Samos Street  , Lae, Lae, Morobe Province, Po Box 3210","","","https://www.freightnet.com/profile/142468.htm","No"
"MBL  TRANS PNG","TOP TOWN , HAUS TISA ROOM 17, LAE, PAPUA NEW GUINEA, PG","","","https://www.freightnet.com/profile/139384.htm","No"
"Wantok Cargo Express","Boroko , National Capital District, Port Moresby,Papua New Guinea, 7665","","","https://www.freightnet.com/profile/116645.htm","No"
"Freight Project Solution","P O Box 860 Lae, PNG , Lae 411, Morobe Province, 411","","","https://www.freightnet.com/profile/113196.htm","No"
"Express Freight Management-Fiji","C/- PO Box 54 , Lautoka, Fiji, 01","","","https://www.freightnet.com/profile/113021.htm","No"
"Express Freight Management","Po Box 137 , Kabua Cres, Konedobu, Port Moresby,","","","https://www.freightnet.com/profile/2783.htm","No"
"C & Air Freight (PNG)","Lot 9 Section 83, Gordons , P.O.BOX 555, PORT MORESY, NCD, 121","","","https://www.freightnet.com/profile/105393.htm","No"
