"name","address","phone","website","profileUrl","isPremiumMember"
"BE LOGISTICS EAS","General diaz y 14 de Mayo , Asuncion, Paraguay, 1205","+595976204471","http://www.belogistics.com.py/","https://www.freightnet.com/profile/203717.htm","Yes"
"ParcelGo Logistics","No 6, Itesiwaju community, Tipper garage , omi adio, Oyo, 20002","","","https://www.freightnet.com/profile/265745.htm","No"
"Jumbo cargo services","Calle 13 de junio C/ Mangoty , felipe toledo casi mayor bullo 909, Luque, Asuncion, +59599 562230","","","https://www.freightnet.com/profile/135082.htm","No"
"Conexxion Cargo S.R.L.","Venecia casi Adolfo Fleitas , Paraguay, Latin America, 2610","","","https://www.freightnet.com/profile/118206.htm","No"
"Airmar Cargo S.A.","Avda. Artigas 4141  , Asuncion, Paraguay, sales@airmarcargo.com.py","","","https://www.freightnet.com/profile/252388.htm","No"
"JC Business","Díaz de Solís 1736 , Asunción, Central, 0000","","","https://www.freightnet.com/profile/158718.htm","No"
"Americana Shipping Group S.A.","34 Curuguateños Nº 213 , Asuncion, Central, 1111","","","https://www.freightnet.com/profile/62477.htm","No"
"SFC EUROAMERICAN CONSULTING S.A.","AYOLAS N° 451 ENTRE ESTRELLA Y OLIVA  , ASUNCION, CENTRAL, 1224","","","https://www.freightnet.com/profile/143790.htm","No"
"Alfa Trading S.A","Cerro Corá 829 e/ Tacuary y EE.UU. , Asunción, Paraguay, 1209","","","https://www.freightnet.com/profile/157529.htm","No"
"IHARA CO.","Avenida Carlos Antonio Lopez 150, Edificio Panorama II, piso 6 ap 608 , Ciudad del Este, Alto Parana, 70000","","","https://www.freightnet.com/profile/135202.htm","No"
"Wave logistics","Herrera 195 - floor 11 , Asuncion, Asuncion, 0001","","","https://www.freightnet.com/profile/120238.htm","No"
"MASTERLINE LOGISTICS PARAGUAY S.R.L.","Av. Boggiani 5832 between Alas Paraguayas and R.I.6 Boquerón – 2nd Floor Asunción, Paraguay - South America , Asuncion, Paraguay, 1111","","","https://www.freightnet.com/profile/131535.htm","No"
"Overseas Paraguay SA","Ayolas 1560 c/ Roma(4ta proyectada) , Asunción, Paraguay, 1260","","","https://www.freightnet.com/profile/118427.htm","No"
"TRANSWAY S.A","Estrella 692 Casi O\\\\\\\'Leary , Edificio Lider IV, Piso 9, Oficina 98, ASUNCION, PARAGUAY, PARAGUAY","","","https://www.freightnet.com/profile/98296.htm","No"
"Overseas Paraguay","Ayolas 1560 , , Asuncion,","","","https://www.freightnet.com/profile/54374.htm","No"
"UNICARGO LOGISTICS S.R.L.","Soldado Ovelar 119 , Zona Sur, Fernando de la Mora, Paraguay, 119","","","https://www.freightnet.com/profile/95116.htm","No"
"Consorcio Aviation","Juan de Salazar 795 esquina Washington Edificio ITASA 1er piso , Asuncion, Central, 1408","","","https://www.freightnet.com/profile/82030.htm","No"
"Consorcio Cargo & Logistics SRL","Juan de Salazar 795 , Torre ITASA 1er Piso, Asuncion, Central, 00000","","","https://www.freightnet.com/profile/56500.htm","No"
"L.. A.  Palumbo V. & Cía. SRL.","Colon 173 - Of. 3 , P.O. Box 731, Asunción,","","","https://www.freightnet.com/profile/8311.htm","No"
"Pluscargo Paraguay","Building Keader IV , Star 692 3 Piso Ofic. 35, Assumption,","","","https://www.freightnet.com/profile/17096.htm","No"
"Obrajes Del Paraguay S.a.","Av. Cedro No. 229 , Asuncion, Central, 595 21","","","https://www.freightnet.com/profile/19761.htm","No"
"AcGroup Paraguay S.R.L.","Rca. de Siria 695 esq. San Francisco , Asuncion, Central, 1441","","","https://www.freightnet.com/profile/117986.htm","No"
