"name","address","phone","website","profileUrl","isPremiumMember"
"AHC LOGISTIC PERU S.A.C","CALLE LAS ACACIAS 110 OF. 101  URB. JUAN INGUNZA VIPOL - CALLAO - PERU, AV. LA MARINA NRO. 1039 INT. 501 URB. BENJAMIN DOIG LOSSIO ET. UNO PROV. CONST. DEL CALLAO - PROV. CONST. DEL CALLAO - LA PERLA, CALLAO, PERU, 07041","51 991071087","http://www.ahclogistic.com/","https://www.freightnet.com/profile/150203.htm","Yes"
"Team Peruvian Cargo SAC","Calle Cesar Lopez Rojas 183, Int. 1106, San Miguel, Lima, Lima 32","+51981237911","http://www.teamperuviancargo.com/","https://www.freightnet.com/profile/117952.htm","Yes"
"GLOBAL LOGISTICS HUB S.A.C.","CAL.PRINCIPAL MZA. Q LOTE. 6 URB. LOS ALAMOS PROV. CONST. DEL CALLAO - PROV. CONST. DEL CALLAO - CALLAO , CALLAO, CALLAO, 07036","","","https://www.freightnet.com/profile/264790.htm","No"
"FREIGHT AND CUSTOMS GLOBAL SAC","Jiron Felipe Pinglo Alva 438, Carmen De La Legua , Callao, Callao, 07006","","","https://www.freightnet.com/profile/262123.htm","No"
"HBC INTERNATIONAL FREIGHT FORWARDERS S.A.C.","Av. Venezuela # 2147 Dpto. 04, Bellavista - Callao - PERU , 1,00000.00, Callao, 051","","","https://www.freightnet.com/profile/93456.htm","No"
"CORPORACION APERTURE LOGISTICS S.A.C.","PASEO DE LA REPUBLICA 5711 , MIRAFLORES, LIMA / PERU, L18","","","https://www.freightnet.com/profile/143652.htm","No"
"Americana Shipping Group","PASAJE MARTIR OLAYA 129 , Ofic. 1905, Lima, Peru, 33 15023","","","https://www.freightnet.com/profile/170524.htm","No"
"CLP CARGO & ADUANA S.A.C.","Av. La Marina 622 Dpto. 202 La Perla, Callao, Peru , Callao, Lima, Callao 04","","","https://www.freightnet.com/profile/222531.htm","No"
"CORPORACION APERTURE LOGISTICS S.A.C.","AV. PASEO DE LA REPUBLICA 5711 , MIRAFLORES, LIMA, PERU, 15074","","","https://www.freightnet.com/profile/250070.htm","No"
"KADEF LOGISTICS S.A.C.","AV. NARANJAL 487 2DO PISO LOS OLIVOS , LIMA, PERU, 15304","","","https://www.freightnet.com/profile/231309.htm","No"
"Novotrans Logística y Carga SAC","calle Carolina Freyre 149 Urb, Pando IV etapa San Miguel, calle Carolina Freyre , calle Carolina Freyre 149 Urb, Pando IV, Lima, 15087","","","https://www.freightnet.com/profile/256865.htm","No"
"TSALACH LOGISTICA Y ADUANA SAC","Mz. J2 lot. 01 Urb. Los Portales del Aeropuerto – Callao-Perú  , CALLAO, CALLAO, CALLAO 01","","","https://www.freightnet.com/profile/170173.htm","No"
"Advanced Logistics Group S.A.C","Av. La Marina 3131 Of.209 , CHANCAY, CALLAO, San Miguel,Lima, 32","","","https://www.freightnet.com/profile/12470.htm","No"
"D'CARGO TRADE PERU SAC","Av. Cusco Mz A Lote 2 - 2do Piso Urb. San Juan Masias , Lima, Callao, 06","","","https://www.freightnet.com/profile/107675.htm","No"
"Fastmark Logistics SAC","Calle Carlos Gonzales 267 , Lima, Lima,","","","https://www.freightnet.com/profile/64356.htm","No"
"MANDO LOGISTICS","LOS ROSALES 106 OF. 702  BELLAVISTA , CALLAO, CALLAO, 02","","","https://www.freightnet.com/profile/189976.htm","No"
"AN GLOBAL SERVICES SAC","CALLE MANUEL PEZET 477 URB LOS LIBERTADORES  , SAN MARTIN DE PORRES, LIMA, LIMA, LIMA 15108","","","https://www.freightnet.com/profile/230461.htm","No"
"HEPA LOGISTICS SAC","AV. DEL PACIFICO NRO. 135 DPTO. 502 INT. E7 URB. MARANGA LIMA - LIMA - SAN MIGUEL , SAN MIGUEL, PERU, 15086","","","https://www.freightnet.com/profile/242564.htm","No"
"CGLOGISTICS S.A.C","Av, Javier Prado Este 1184 , San Isidro, LIMA, LIMA, 15072","","","https://www.freightnet.com/profile/239071.htm","No"
"SCL - Shipping Logistics & Consulting SAC","CALLE GERMAN SCHREIBER 276 SAN ISIDRO , Lima, Peru, 27","","","https://www.freightnet.com/profile/151868.htm","No"
"KGS Business Group SAC","Jr. Los Amautas Nº 324 Urb Zarate , Las Huacas Nº 291 Urb. zarate, Urbanizacion Zarate, San Juan de Lurigancho, Lima 36","","","https://www.freightnet.com/profile/13755.htm","No"
"HAMILOGEX GLOBAL TRADE SAC","AV BOLIVAR 526 PUEBLO LIBRE - LIMA  , LOS ALMENDROS MZ B LOTE 6 CASTILLA PIURA, LIMA, LIMA, 51","","","https://www.freightnet.com/profile/192834.htm","No"
"KRONOS GLOBAL BROKERAGE PERU SAC","AV. Saenz Peña 164 Oficina 117A , Callao, PERU, 07001","","","https://www.freightnet.com/profile/235661.htm","No"
"NEW WORLD FORWARDING LOGISTICS SAC","Av Elmer Faucett S/n CAC of 212 A  , Callao 01, callao, Peru, 01","","","https://www.freightnet.com/profile/235669.htm","No"
"Transtotal","Lima, Perú , San Isidro, peru, 1-43","","","https://www.freightnet.com/profile/226636.htm","No"
"Asesoria & Negocios del Peru SAC","Av. Oscar R. Benavides 4525 Of. 23 , Urb. La Colonial, Callao, Callao, 07006","","","https://www.freightnet.com/profile/12507.htm","No"
"MANDO LOGISTICS SAC","Av. Petit Thouars 3632-A , San Isidro, Lima, 15073","","","https://www.freightnet.com/profile/212352.htm","No"
"Convector Cargo SAC","Av. Emilio Cavenecia No. 175 , Miraflores, Lima, Lima, Lima18","","","https://www.freightnet.com/profile/49753.htm","No"
"BIZ LOGISTICS PERU","Av. De Los Precursores 1192 Of. 201 Centro Empresarial, San Miguel , Lima, Perú, Lima 32","","","https://www.freightnet.com/profile/136190.htm","No"
