"name","address","phone","website","profileUrl","isPremiumMember"
"TRIEAGLE LOGISTICS INC.","1501 Victoria Bldg., UN Avenue, Ermita, Manila, Philippines, 1000","+63 2 8359 0313","https://www.trieaglelogistics.com/","https://www.freightnet.com/profile/265968.htm","Yes"
"Cargoship Incorporated","Unit 1918 CityLand Herrera Tower, Makati City, Salcedo Village, 1227","09162802573","http://cargoshipinc.com/","https://www.freightnet.com/profile/198694.htm","Yes"
"CADANO CARGO TRANSPORT SERVICES INC","Unit 403/404/405 CYA Building No. 282 EDSA Extension Pasay City, Metro Manila, Philippines, 1301","632-88547227","http://www.cadanocargo.com/","https://www.freightnet.com/profile/57433.htm","Yes"
"WRV Logistics Consultancy Inc.","No. 2 Saint Claire St. Santiago Subdivision, Sta. Monica, Novaliches, Quezon City, Quezon City, Philippines, 1117","09158076328","http://www.wrvlogicon.com/","https://www.freightnet.com/profile/158923.htm","Yes"
"Topbox Cargo Handling Services","blk 2 lot 9 , Primavida Residence's, Pag Asa II, Imus, 4103","","","https://www.freightnet.com/profile/258702.htm","No"
"MTBS CARGO LOGISTICS SERVICES","Unit 434 Grand Central Residences  , #298 Edsa Cor. Sultan Street Brgy HighwayHills, Mandaluyong City, Philippines, 1550","","","https://www.freightnet.com/profile/193524.htm","No"
"CUSTOMS BROKERAGE PHILIPPINES AND LOGISTICS INC.","333 Juan Luna Street , Manila, Philippines, 1006","","","https://www.freightnet.com/profile/261990.htm","No"
"Ariel P. Pomarca Customs Brokerage","B9 L4 Rockwell Classic Homes, Toclong , Kawit, Cavite, 4104","","","https://www.freightnet.com/profile/170829.htm","No"
"AEROWORLD LOGISTICS PHILS INC","UNIT 1D, SAMPAGUITA CIRCLE, SALVADOR ESTATE, BRGY SAN ISIDRO, 1700, philippines, PARANAQUE CITY","","","https://www.freightnet.com/profile/259380.htm","No"
"H&CO. INTERNATIONAL LOGISTICS CORP.","Unit 604 6th Flr. CYA LAND AND PROPERTIES INC. Brgy.75 No.282 EDSA cr.celle ext. Pasay 1300, Philippines , PARANAQUE, National Capital Region, 1600","","","https://www.freightnet.com/profile/246358.htm","No"
"ERTH LINER CARGO EXPRESS CO.","ROOM 611 EQUITABLE CENTER BUILDING 262 JUAN LUNA BINONDO MANILA , MANILA, PHILIPPINES, 1006","","","https://www.freightnet.com/profile/145784.htm","No"
"SHIPKO CUSTOMS BROKERAGE","BLK 1 LOT 57 PH 3 GREENSBOROUGH SUBD. BRGY. SABANG , DASMARINAS CITY, PHILIPPINES, 4114","","","https://www.freightnet.com/profile/251982.htm","No"
"Bernadine M. Laquibla-Customs Broker","Unit 307 The Centennial Bldg., 375 Escolta St., Binondo, Manila, Philippines, 1006","","","https://www.freightnet.com/profile/140709.htm","No"
"JPEX CARGO SERVICES","Satellite Office: Room 415, MBI Bldg. Plaza, Sta Cruz Manila , Registered Office: 46 Tanguile St. Marikina Heights, Marikina City, Manila, Philippines, 7012","","","https://www.freightnet.com/profile/166783.htm","No"
"NCE CUSTOMS BROKERAGE","324 First United Building Corporation  , Escolta, Manila, NCR, 1006","","","https://www.freightnet.com/profile/127102.htm","No"
"Trade professional Services","Room 212 Femii bldg A. Soriano st. Intramuros manila , Manila, Philippines, 1116","","","https://www.freightnet.com/profile/235992.htm","No"
"VSA CUSTOMS BROKERAGE","UNIT 802 CINTILEY CONDOMINIUM 1278 JOSE ABAD SANTOS CORNER PADRE ALGUE STS.   , METRO MANILA, STA. CRUZ, PHILIPPINES, 1012","","","https://www.freightnet.com/profile/17660.htm","No"
"Mancon logistics Services Inc","B18 L40 Kelly St., Valle Verde , Langkaan2, Dasmarinas, Cavite, 4114","","","https://www.freightnet.com/profile/189242.htm","No"
"PJN Customs Brokerage","Unit 305 Rodriguez St. Balut Tondo , Manila, EAS, 1013","","","https://www.freightnet.com/profile/142974.htm","No"
"H&CO International Logistics Corporation","282 CYA LAND BLDG. 6TH Flr. Unit 603 EDSA Extension cor. P. Celle St. , Pasay City, Metro Manila, 1300","","","https://www.freightnet.com/profile/198692.htm","No"
"Trade-Manila Customs Brokerage Inc.","Unit 303 The Centennial Bldg. , 375 Escolta St., Binondo, Manila, Philippines, 1006","","","https://www.freightnet.com/profile/204389.htm","No"
"DJCM CUSTOMS BROKERAGE","RAFAEL RABAYA ROAD , TALISAY CITY, CEBU, PHILIPPINES, 6045","","","https://www.freightnet.com/profile/183617.htm","No"
"BOUNDPH CUSTOMS & TRADE SOLUTIONS","DR 10 MGU 2 BLG COR NOVA TIERRA & GUADALUPE VILL LANANG , DAVAO CITY, PHILIPPINES, 8000","","","https://www.freightnet.com/profile/150623.htm","No"
"NPC3Logistics Services","RM 301-A VVS Building Multi National Avenue Paranaque City , Paranaque City, Philipinnes, 1700","","","https://www.freightnet.com/profile/185867.htm","No"
"ISACPH CUSTOM BROKERAGE FREIGHT FORWARDING SERVICES","Purok 6 , Barangay Lawa, Calamba City, Laguna, 4027","","","https://www.freightnet.com/profile/185415.htm","No"
"CABAY CARGO CUSTOMS BROKERAGE INC.","1313 San Antonio St., Brgy., 680 Zone 74 Dist. V, Paco Manila,, City of Manila, PHILIPPINES, 1007","","","https://www.freightnet.com/profile/171951.htm","No"
"BICM GENESIS INTERNATIONAL INC","BRGY ST. NINO  , PARANAQUE, PHILIPPINES, 1704","","","https://www.freightnet.com/profile/174068.htm","No"
"ShipX Customs Brokerage","One E-Com Centre, Ocean Drive , Pasay City, Metro Manila, 1300","","","https://www.freightnet.com/profile/147926.htm","No"
"Rizzalyn Dela Cruz Customs Brokerage","182 Nava St., Balut, Tondo, Manila , manila, philippines, 1012","","","https://www.freightnet.com/profile/170764.htm","No"
"Mary Ann M. Sablon","Rm.330 Padilla delos Reyes Building, Juan , Luna Street, Binondo, Manila City, 1006","","","https://www.freightnet.com/profile/14164.htm","No"
"CNT Worldwide Transport Inc.","3333 New Panaderos Street Santa Ana Manila Philippines , Metro Manila, Philippines, 1009","","","https://www.freightnet.com/profile/166696.htm","No"
"KF Projekts","Main Drive , MBVDX, Platero, Binan City, Philippines, 4024","","","https://www.freightnet.com/profile/163361.htm","No"
"JIL Customs Brokerage","B30 L12 Cottonwood St. Rainbow Village 5 Phase 3 Brgy. 168  , Deparo, Caloocan City, 1420","","","https://www.freightnet.com/profile/140152.htm","No"
"Falcrest Logistics Serivice","4670 Blagtas St. Don galo Paranaque , paranaque City, Philippines, 1700","","","https://www.freightnet.com/profile/160979.htm","No"
"FDI CUSTOMS BROKERAGE","UNIT 2-12 NES COMMERCIAL COMPLEX BUILDING , SAN DIONISO, PARANAQUE CITY, PARANAQUE, CITY, 1007","","","https://www.freightnet.com/profile/161276.htm","No"
