"name","address","phone","website","profileUrl","isPremiumMember"
"Worldmovers Philippines Inc Cargo Express & Logistics Services","No. 3 Bloc 2 Grand Monaco Southpoint, Sta Ines St., Valley 6, Brgy. San Isidro, Paranaque City, Metro Manila, 1715","+632 9338243510, +639285101700","https://www.worldmovers.net/","https://www.freightnet.com/profile/128424.htm","Yes"
"SEAFLYING LOGISTICS SERVICES","9033 East Service Road corner Tindalo St. San Martin De Porres, Paranaque City, Manila, Philippines, 1700","+639270069500","","https://www.freightnet.com/profile/252304.htm","Yes"
"Interfreight Worldwide Cargo Logistics Inc.","San Dionisio, Paranaque Çity, Paranaque City, Philippines, 1700","0063 9171448858","https://www.interfreight.com.ph/","https://www.freightnet.com/profile/211137.htm","Yes"
"FJH GREATFREIGHT GLOBAL LOGISTICS INC","UNIT B GROUND FLOOR PAMCOR BLDG PASCOR DRIVE NINOY AQUINO AVE PARANAQUE CITY PHILIPPINES, PARANAQUE CITY, PHILIPPINES, 1704","(632) 70014336","","https://www.freightnet.com/profile/235508.htm","Yes"
"I-Port Global Logistics Inc","Suite 204 Ledesma Bldg. Gen. Luna cor Real Street, Intramuros, Manila, Philippines, 1002","+632 85367279 /  87362202 / 82555150","http://www.i-portglobal.com.ph/","https://www.freightnet.com/profile/62590.htm","Yes"
"GGP Logistics Services","38 Jasmin St. Brgy. Pasong Tamo Quezon City, Manila, Quezon City, 1107","63-2-83570497","https://sites.google.com/view/ggplogisticsservices","https://www.freightnet.com/profile/184080.htm","Yes"
"LENIUS Logistics Services OPC","L44-E B58 Ma. Asuncion Spirig St., BF Resort Village, Talon Dos, Las Piñas City, Metro Manila, Philippines, 1747","+632 8828 01756","http://www.leniuslogistics.com/","https://www.freightnet.com/profile/206794.htm","Yes"
"ECRA SEA & AIR FREIGHT FORWARDER SERVICES","7595, J DE LEON ST, PARAÑAQUE CITY, PHILIPPINES, 1700","+639275963912","","https://www.freightnet.com/profile/255537.htm","Yes"
"BICM GENESIS FREIGHT INTERNATIONAL INC","RM 121 SKYFREIGHT BLDG B, SKYFREIGHT CENTER, NINOY AQUINO AVE BRGY STO NINO, PARANAQUE CITY, PHILIPPINES, 1704","8802-4529/4536/9954/3139","http://www.bicmgenesis.com/","https://www.freightnet.com/profile/134064.htm","Yes"
"EX-WORKS CARGO SERVICES INC.","First United Building, Escolta Street, Manila, Philippines, 1006","+63 2 53107099; 77980503","https://www.ex-workscargo.com/","https://www.freightnet.com/profile/229041.htm","Yes"
"Jexsan Logistics Philippines Inc","3rd Flr. Raha Sulayman Bldg., 108 Benavidez St. Legaspi Village, Makati City, Philippines, 1229","09328636392","http://www.jlpi.com.ph/","https://www.freightnet.com/profile/240294.htm","Yes"
"G4 Movers Inc.","Imus, Cavite, Philippines, 4102","09171242545","https://www.g4movers.com/","https://www.freightnet.com/profile/254641.htm","Yes"
"AJ & J Cargo Movers, Inc.","1949 San Marcelino St. Malate, Manila, Metro Manila, Philippines, 1004","+632 525-4855","","https://www.freightnet.com/profile/162286.htm","Yes"
"Klydes International Logistics, Inc.","#29 3rd Floor BF Resort Drive BF Resort  Talon Dos , LAS PINAS CITY, PHILIPPINES, 1740","","","https://www.freightnet.com/profile/144249.htm","No"
"JTG EXPRESS CARGO HANDLING SERVICES","2500 Esmeralda St. San Andres Manila , Manila, Philippines, 1017","","","https://www.freightnet.com/profile/133861.htm","No"
"Toplis Logistics Inc.","Bldg 1-B, Sunblest Compound, Km 23 West Service Road, Cupang , Muntinlupa, NCR, 1771","","","https://www.freightnet.com/profile/250036.htm","No"
"Keen Cargo Logistics Inc","Warehouse #4 Las Pinas Cargo Complex ( Old Francisco Motors) , J. Aguilar Ave, Las Piñas, Metro Manila, 1700","","","https://www.freightnet.com/profile/239761.htm","No"
"H. R. VILLA CUSTOMS BROKERAGE","Rm. 488, Champ Bldg., Bonifacio Drive, Anda Circle , Port Area, Manila, Manila, Philippines, 1002","","","https://www.freightnet.com/profile/246069.htm","No"
"FREORITY LOGISTICS PHILIPPINES INC.","ESCOLTA , BINONDO, METRO MANILA, PHILIPPINES, 1006","","","https://www.freightnet.com/profile/262640.htm","No"
"FREORITY LOGISTICS PHILIPPINES INC.","ESCOLTA , BINONDO, METRO MANILA, PHILIPPINES, 1006","","","https://www.freightnet.com/profile/258002.htm","No"
"Agile Global Forwarding Inc","S304 PACIFIC CENTRE BLDG., 460 QUINTIN PAREDES ST. BINONDO , MANILA, PHILIPPINES, 1002","","","https://www.freightnet.com/profile/140148.htm","No"
"ASIA CARGO CONTAINER LINE, INC","No. 215, Unit 3107 World Trade Exchange Bldg, Juan Luna St., Binondo , Manila, Metro Manila, 1008","","","https://www.freightnet.com/profile/261019.htm","No"
"PHILIPPINE ELITE INTERNATIONAL CARGO SERVICES INC","Unit 2214 22/F Cityland Pasong Tamo Tower, 2210 Don Chino Roces Avenue,  Brgy. Pio Del Pilar , Makati City, Philippines, 1230","","","https://www.freightnet.com/profile/257914.htm","No"
"Counterflow movers inc","2291 Marconi Street , makati, metro manila, 1234","","","https://www.freightnet.com/profile/259165.htm","No"
"MAJESTIC GROUP GLOBAL LOGISTICS INC","Rm 406 Femii(Main) Building A. Soriano Jr. Avenue, Intramuros, Manila, Philippines 1002 , Intramuros, Manila, Philippines, 1002","","","https://www.freightnet.com/profile/96930.htm","No"
"Capital Worldwide Express Cargo Corporation","World Trade Center Condominium , Unit 2506, Bininondo Manila, Philippuines, 1006","","","https://www.freightnet.com/profile/258801.htm","No"
"PROLINE LOGISTIC PHILIPPINES INC","302 & 302A THE CENTENNIAL BLDG.ESCOLTA BINONDO MLA , BINONDO MANILA, MANILA, PH, 1006","","","https://www.freightnet.com/profile/242323.htm","No"
"Primarius  Cargo Logistics OPC","Pascor Drive, Sto Niño , Parañaque, Philippines, 0000","","","https://www.freightnet.com/profile/250754.htm","No"
"EMC Freight Forwarding Corp","JNS Building, 164 Mother Ignacia Avenue , Brgy. South Triangle, Quezon City, Metro Manila, 1103","","","https://www.freightnet.com/profile/256828.htm","No"
"TCS CARGO HANDLING FREIGHT FORWARDING SERVICES","9001 ANTERO SORIANO HIWAY NAIC CAVITE , NAIC, PHILIPPINES, 4110","","","https://www.freightnet.com/profile/258123.htm","No"
"Haulx Philippines","Unit 2C- Lutz Mansion , 9028 San Nicolas St. Guadalupe Nuevo., Makati City, Philippines, 1212","","","https://www.freightnet.com/profile/257947.htm","No"
"215 Logistics Solutions","215 E. Fernandez st , Brgy. Batis, San Juan, Metro Manila, 1500","","","https://www.freightnet.com/profile/160161.htm","No"
"Seaflying Logistics Services","9033 east service road corner tindalo st. San Martin de porres  , City of Parañaque, Paranaque City, Metro Manila, 1700","","","https://www.freightnet.com/profile/255452.htm","No"
"JPM TRANSLIFT CORPORATION","3rd Floor RV Marzan Bldg., 1633 Craig St., Sampaloc, Manila, Philippines, 1015","","","https://www.freightnet.com/profile/248848.htm","No"
"ECRA SEA & AIR FREIGHT FORWARDER SERVICES","7595 , J DE LEON ST, PARAÑAQUE CITY, PHILIPPINES, 1700","","","https://www.freightnet.com/profile/255536.htm","No"
"SENDIVA Logistics Corporation","Warehouse #11 2nd Ave, Corner Teresita Drive TBCAI Compound  , Brgy. Bagumbayan Taguig City, Taguig, Philippines, 1770","","","https://www.freightnet.com/profile/151041.htm","No"
"Greatfreight Global Logistics Inc.","Unit B, G/F Pamcor Bldg, Pascor Drive, Sto. Niño, Parañaque City, Philippines 1704 , PARANAQUE, METRO MANILA, 1704","","","https://www.freightnet.com/profile/250589.htm","No"
"Box Track Cargo, Inc.","1582B ,  Antonio Rivera Street Tondo, Manila, Philippines, 1012","","","https://www.freightnet.com/profile/245122.htm","No"
"RISEUP CARGO FOWARDING","DOOR 4 HARRIS BLDG. LOWER RAPNAGA BRGY BAGO APLAYA DAVAO CITY PHILIPPINES , DAVAO CITY, PHILIPPINES, 8000","","","https://www.freightnet.com/profile/245410.htm","No"
"Cadano Carg Services Inc o Transport","Blk 27lot 27 Phse 2 South Ville 5 A Lang kiwa Bina Laguna  , Binan Laguna, Laguna, 4024","","","https://www.freightnet.com/profile/224993.htm","No"
