"name","address","phone","website","profileUrl","isPremiumMember"
"Marko Service ltd","Wirażowa 35/317, Warsaw, MAZOWIECKIE, 02-158","+48 22 4567 410","http://www.marko-service.com.pl/","https://www.freightnet.com/profile/1439.htm","Yes"
"Cartrag Sp. z o.o.","Żeromskiego, 32, Gdynia, Pomorskie, 81-369","586617004","","https://www.freightnet.com/profile/151378.htm","Yes"
"OMEGAir Cargo Ltd","Wirazowa 35, Warsaw, Mazowieckie, 02-158","227574555","http://www.ocg.com/","https://www.freightnet.com/profile/18600.htm","Yes"
"FlexLine Logistics","Narcyzowa 7/50, Gdynia, Poland, 81-653","+48535948995","","https://www.freightnet.com/profile/253570.htm","Yes"
"MKY Global Forwarding","krzywda 19 A , Krakow, poland, 30-720","","","https://www.freightnet.com/profile/261874.htm","No"
"INF Shipping Solutions Sp. z o.o.","Lubelska 7 , Zawidów, Poland, 59-970","","","https://www.freightnet.com/profile/249749.htm","No"
"AT shipping Sp. z o.o.","Sw. Piotra 21/14 , Gdynia, Poland, 81-347","","","https://www.freightnet.com/profile/263030.htm","No"
"TRK Cargo Sp. z o.o.","T. Bairda 56 / 4 , Grodzisk Mazowiecki, Poland, 05-825","","","https://www.freightnet.com/profile/263976.htm","No"
"ROMEX CARGO SERVICE","27, CZARNIECKIEGO STR. , PRUSZCZ GDANSKI, POLAND, 83-000","","","https://www.freightnet.com/profile/173753.htm","No"
"NTQ Intermodal Sp. z o.o.","Eugeniusza Kwiatkowskiego street 60 , Gdynia, Poland, 81-156","","","https://www.freightnet.com/profile/245316.htm","No"
"MART","ul. Lesna 4 , Lutomiersk, Poland, 95-083","","","https://www.freightnet.com/profile/146053.htm","No"
"ADAR Sp. z o.o.","ŚWIĘTEGO FLORIANA 7B , Elbląg, WARMIŃSKO-MAZURSKIE, 82-300","","","https://www.freightnet.com/profile/244270.htm","No"
"Maxton Shipping Sp z o.o.","15C Postępu , Warszawa, Warsaw, 02-676","","","https://www.freightnet.com/profile/250492.htm","No"
"Onelogistics Polska sp. z o.o.","Sikorskiego 2-8 , Wroclaw, Poland, 53659","","","https://www.freightnet.com/profile/157587.htm","No"
"Aseq Logistics","Lopuszanska 37 , Warsaw, Województwo mazowieckie, 02220","","","https://www.freightnet.com/profile/260552.htm","No"
"DP World Freight Poland sp. z o.o.","Ul. Leborska 3B / room 4.22.1 , Gdansk, pomorskie, 80-386","","","https://www.freightnet.com/profile/257387.htm","No"
"Freight Agency Poland Sp. z o.o.","ul. Pplk. Ignacego Szpunara , 6D/10, Gdynia, Poland, 81-185","","","https://www.freightnet.com/profile/106641.htm","No"
"WiseLog Group Sp. z o.o.","Żytomierska 5 , Warszawa, Mazowieckie, 03-360","","","https://www.freightnet.com/profile/257342.htm","No"
"TSL Silesia","Rycerska 9 , Bytom, Poland, 41-902","","","https://www.freightnet.com/profile/257815.htm","No"
"BOXON Logistics Sp. z o.o","Kadlubowcow 2 , Gdynia, Poland, 81-336","","","https://www.freightnet.com/profile/147579.htm","No"
"Seal Cargo","Slaska 53 , Gdynia, Poland, 81304","","","https://www.freightnet.com/profile/233747.htm","No"
"M&M Global Logistics","Al. Jerozolimskie 132 , Warsaw, Poland, 01-245","","","https://www.freightnet.com/profile/187331.htm","No"
"MARZENA BLANK CENTRALTEX HURTOWNIA ODZIEŻY UŻYWANEJ","18 Pułku Ułanów 8 , Chojnice, POLAND, 89-600","","","https://www.freightnet.com/profile/229935.htm","No"
"ANNOVATIVE GROUP SP Z O O","Plac Solidarności  , 1/3/5, Wrocław, Poland, 53-661","","","https://www.freightnet.com/profile/168852.htm","No"
"AB Logis Shipping Sp. z o.o. Sp. K.","Sw. Piotra 21/14 , Gdynia, Pomorskie, 81347","","","https://www.freightnet.com/profile/96611.htm","No"
"Intercordia","Puławska 182 , Warsaw, Mazowieckie, 02-670","","","https://www.freightnet.com/profile/228317.htm","No"
"Wide Bridge Forwarding Sp. z o.o.","Taneczna 23/29 , Warsaw, Poland, 02-829","","","https://www.freightnet.com/profile/109120.htm","No"
"GEPA Logistics","ul. Szczesliwa 11 , Szczytniki, Wielkopolskie, 62-023","","","https://www.freightnet.com/profile/131621.htm","No"
"NAVALIS MARITIME AGENCY","Mickiewicza, 38/58 , WARSZAWA, POLAND, 02-625","","","https://www.freightnet.com/profile/205774.htm","No"
"Vesta Polska","Kopytów , 44A, Błonie, Polska, 05-870","","","https://www.freightnet.com/profile/156966.htm","No"
"SKAT Transport Sp z o.o","ul. Twarda 12 , Gdansk, 80 871","","","https://www.freightnet.com/profile/18820.htm","No"
"KARAM GROUP SP Z.O.O.","ul. Puławska 12/3 , warszawa, waeszawa, 02566","","","https://www.freightnet.com/profile/195074.htm","No"
"Alfa Forwarding Ltd","Indyjska 13 , Gdynia, 81-336","","","https://www.freightnet.com/profile/15623.htm","No"
"RGW Express","1, ZWIRKI I WIGURY STREET , WARSAW, POLAND, 00-906","","","https://www.freightnet.com/profile/52893.htm","No"
"Euro Shipping Sp. z o.o.","Hutnicza 5 Str. , Gdynia, Pomorskie, 81-603","","","https://www.freightnet.com/profile/18985.htm","No"
"alex puh","19.Kosciuszki 31 , Zyrardow, Poland, 96-300","","","https://www.freightnet.com/profile/168987.htm","No"
"Karol Wlodarczyk Uslugi Transportowe i Handel","Rakowska , 16, Lagow, Poland, 26-025","","","https://www.freightnet.com/profile/182411.htm","No"
"AirTrans","Wolnosci 90/107 , Pyrzowice, Wojewodztwo Slaskie, 42-625","","","https://www.freightnet.com/profile/121118.htm","No"
"ASL LOGISTYKA","KOCHANOWSKIEGO 113 , KOCHANOWSKIEGO 113, ŁÓDZ, POLAND, 97-505","","","https://www.freightnet.com/profile/91894.htm","No"
"DTW logistics","Zagórska 54 , Bedzin, Poland, 42-500","","","https://www.freightnet.com/profile/163100.htm","No"
"Yes Cargo Sp. zo.o.","Mickiewicza 15 , Gdansk, pomorskie, 80-425","","","https://www.freightnet.com/profile/139602.htm","No"
"Antrans Group Sp. z o.o.","Strzemieszycka 20 , Sławk?w, Silesian Region, 41-260","","","https://www.freightnet.com/profile/155271.htm","No"
"Unity Logistics Sp. z o.o.","ul.Karlowicza 13/3 , Katowice, Poland, 40-145","","","https://www.freightnet.com/profile/150974.htm","No"
"Polish Forwarding Company Sp. z o.o.","Pulaskiego 8 , Gdynia, Pom., 81-368","","","https://www.freightnet.com/profile/63766.htm","No"
