"name","address","phone","website","profileUrl","isPremiumMember"
"Vilar Sp.z o.o.","LITEWSKA 27 , Chełm, lubelskie, 22-100","","","https://www.freightnet.com/profile/265831.htm","No"
"Dimensional Transport","Walecznych , 63, Szczecin, Poland, 70-774","","","https://www.freightnet.com/profile/264016.htm","No"
"EXPORTSY sp. z o.o.","Świętokrzyska 61 , Kęty, Małopolska, 32-650","","","https://www.freightnet.com/profile/263527.htm","No"
"Loginex","Skierniewicka 10a/4 piętro , Warsawa, Warsaw, 01-230","","","https://www.freightnet.com/profile/257590.htm","No"
"SLA Company","Ogrodowa 56 , Głogów Małopolski, Poland, 36-060","","","https://www.freightnet.com/profile/252225.htm","No"
"Exim Trans Sp. z o.o.","Mełgiewska 74-4 , Lublin, Polska, 20-234","","","https://www.freightnet.com/profile/248213.htm","No"
"Bart","Warszawska 148 , 1, Radom, Mazowieckie, 26-617","","","https://www.freightnet.com/profile/226426.htm","No"
"Intercordia Logistics Warsaw","Ulica Puławska 182 , Warsaw, Mazowieckie, 02-670","","","https://www.freightnet.com/profile/221430.htm","No"
"Lucjan Hojda","Wolica 12 , Hrubieszów, Lubelski, 22-500","","","https://www.freightnet.com/profile/183054.htm","No"
"APH TRANSPORT PIOTR KOWALCZYK","rozana 10 , górzyca, Poland, 69-100","","","https://www.freightnet.com/profile/197589.htm","No"
"DLT","Sienkiewicza 76/128 , Kielce, Swietokrzyskie, 25-501","","","https://www.freightnet.com/profile/134693.htm","No"
"Krystiansen","Ogrodowa 15 , PSZCZÓŁKI, Polska, 83-032","","","https://www.freightnet.com/profile/133682.htm","No"
"Zastal Transport Sp.z o.o.","Zielonogorska 138 , Sulechowska 4a, Nowa Sól / Zielona Góra, Poland, 65-119","","","https://www.freightnet.com/profile/106692.htm","No"
"SCHOLZ TRANSPORT JANUSZ BAŁAGA","T.SZEWCZENKI 29C , WROCŁAW, POLAND, 51-162","","","https://www.freightnet.com/profile/95700.htm","No"
"Kingu-Trans","ul.Czwartakow 3/26 , Gliwice, śląskie, 44-100","","","https://www.freightnet.com/profile/114819.htm","No"
