"name","address","phone","website","profileUrl","isPremiumMember"
"Deslow Forwarder, Lda","Av. Santos e Castro , Terminal de Carga Aérea, Lisboa, Portugal, 1750-364","+351 210 507 896","https://www.deslowforwarder.com/","https://www.freightnet.com/profile/262330.htm","Yes"
"SHIP4LINK, TRANSITÁRIOS, UNIP. LDA","TRAVESSA DAS CRUZES DO MONTE, 46 R/C, MAIA, MAIA, 4470-169","+351960175610","http://www.ship4link.pt/","https://www.freightnet.com/profile/135176.htm","Yes"
"Vigonorte Cargo Lda","Rua Gonçalves Zarco 1129B Sala 415, Leca da Palmeira, PORTUGAL, 4450-685","+351221103870","http://www.vigonorte.pt/","https://www.freightnet.com/profile/162382.htm","Yes"
"Abreu Logistics","Rua Vasconcelos Costa, 236 , Av. Santa Iria, 1, Porto, Lisboa, 4470-640","","","https://www.freightnet.com/profile/259208.htm","No"
"JB CONSULTING - JOSE MANUEL BASTOS - CONSLT.CARGA UNIP.LDA","Rua  Barao Forrester  811 - box 09 , porto, porto, 4050-273","","","https://www.freightnet.com/profile/244818.htm","No"
"NVOXPRESS","VIA JOSÉ RÉGIO , 292, VILAR DO PINHEIRO, PORTO, 4485-860","","","https://www.freightnet.com/profile/106611.htm","No"
"Oceanlink Logistica,Lda","Rua Augusto Simões, nº 627 R/C , Maia, Porto, 4470-147","","","https://www.freightnet.com/profile/87118.htm","No"
"Bekker Logistica Lda","Rua do Olival - Centro Comercial Olival Parque Lj7 , Forte da Casa, Setubal, 2625-448","","","https://www.freightnet.com/profile/11582.htm","No"
"Oceanlog - Logistica & Navegação, Lda","Av.ª d. Afonso Henriques, n.º 1196  , 8.º, Sala 804, Matosinhos, Porto, 4450-012","","","https://www.freightnet.com/profile/21414.htm","No"
"HIPOGROUP - TRANSPORTS & LOGISTICS","Rua do Monte Grande, 865 , Armazém 5, Vila do Conde, Porto, 4485-255 Guilhabreu","","","https://www.freightnet.com/profile/221874.htm","No"
"Justlog - Ag Transitarios, Lda","Prct D Nuno Alvares Pereira, 20 2º BH , Matosinhos, Portugal, 4450 218","","","https://www.freightnet.com/profile/1975.htm","No"
"TSC, Lda","Avenida D. Afonso Henriques, 1196, sala 101 , Matosinhos, Portugal, 4450-012","","","https://www.freightnet.com/profile/146454.htm","No"
"AEROCARGA-TRANSITARIOS, LTD","RUA CIDADE DE BOLAMA, 18 A, ESC. , 39.1, Lisbon, Portugal, 1800-079","","","https://www.freightnet.com/profile/189794.htm","No"
"Seatime Transitarios","Avenida do Brasil, Nr.43-A, Lj.28 , Lisboa, Lisboa, 1700-062","","","https://www.freightnet.com/profile/175009.htm","No"
"Novairmov, SA","Rua Dom Marcos da Cruz  2029, 2º Esq. Sul , Matosinhos, Portugal, 4455-482","","","https://www.freightnet.com/profile/104127.htm","No"
"TP - Transitário Portugal","Rua São Roque da Lameira, 841 , Porto, Portugal, 4350-312","","","https://www.freightnet.com/profile/215999.htm","No"
"Exclusive Distance, Lda","Rua Carlos Alberto Morais, 122 , Ent. C - 15o Esquerdo, Matosinhos, Porto, 4450-349","","","https://www.freightnet.com/profile/205207.htm","No"
"Eurolis-Agentes transitários, Ldª","Rua Diogo do couto nº 1-9ºDtº , Lisbon, Lisbon, 1100-194","","","https://www.freightnet.com/profile/180667.htm","No"
"Olicargo Transitario, Lda","Apartado 4 • EC Santo Tirso ,  4784-909 • Santo Tirso • Portugal, Santo Tirso, portugal, 4784-909","","","https://www.freightnet.com/profile/21703.htm","No"
"AMF Transitarios,Lda","Estrada da Arrogela, fracção K , Quinta do Pinheiro, Alverca do Ribatejo, Vila Franca de Xira, 2615-000","","","https://www.freightnet.com/profile/45932.htm","No"
"MSCTRANS","Rua das Minhoteiras nº 119 , Maia, Porto, 4470-623","","","https://www.freightnet.com/profile/159021.htm","No"
"Grupo Transmad","Rua Alfredo Cunha 133, 2º andar , Matosinhos, Matosinhos, 4450-023","","","https://www.freightnet.com/profile/134321.htm","No"
"RANGEL Logistics South Africa","The Refinery Business Park , Cnr North Reef and George Allen Roads, Wilbart - Germiston, Gauteng, 1401","","","https://www.freightnet.com/profile/175032.htm","No"
"JTM-JOIN THE MOMENT TRANSITARIOS,S.A","Rua Antero Quental,nrº221 - 2nd floor , Edifício Hermes, Oporto, Oporto, 4455-586","","","https://www.freightnet.com/profile/133881.htm","No"
"Braga Alves, Lda","Tirtife - Terminal Tir, EN 109/07, Lg. Moinhos , Edf. Administrativo, 1.Andar, Aveiro, Portugal, 3810-150","","","https://www.freightnet.com/profile/163567.htm","No"
"Joaquim Ribeiro","Travessa de Avilhó,nº 87 , Matosinhos, Custóias, Porto, Portugal, 4000","","","https://www.freightnet.com/profile/161692.htm","No"
"ABC Cargo Transitários","Rua do Covão,  8 , Meirinhas, Leiria, 3105-236 Meirinhas","","","https://www.freightnet.com/profile/96897.htm","No"
"SGTANDITRANS TRANSPORT AND LOGISTICS","Rua Diogo do Couto, n? 1 - 4? dto , Lisboa, Lisboa, 1100-194 Lisboa","","","https://www.freightnet.com/profile/154908.htm","No"
"Oceanlog - Logistica & Navegação, Lda","Rua Central das Barrosas, n.º 858 - R/C , Z.I. Terronhas, Valongo, Porto, 4585-902","","","https://www.freightnet.com/profile/23037.htm","No"
"TTI - Tait Transportes Iberica, Lda","Rua C, Edificio 124, Piso 3, Gab. 2 e 3 , Lisboa, Lisboa, 1700-008","","","https://www.freightnet.com/profile/151697.htm","No"
