"name","address","phone","website","profileUrl","isPremiumMember"
"Logy Global","Ave C Lote # 5 , Mercado Central, Puerto Nuevo, PR / United States, 00920","","","https://www.freightnet.com/profile/200996.htm","No"
"San Juan Ports Logistics","San Juan Ports , San Juan, Puerto Rico, 00920","","","https://www.freightnet.com/profile/17571.htm","No"
"BLUE EXPRESS GLOBAL SHIPPING COMPANY","Oceanic General Agency Inc. Lote 11, Metro Office Park, Street 3 PO Box 9024171 PR - 00902 SAN JUAN Puerto Rico , SAN JUAN, SAN JUAN, 10001","","","https://www.freightnet.com/profile/194830.htm","No"
"Complete Cargo Solution","John Albert street  Bldg. Global Plaza , Suite 214(B), Puerto Nuevo, Puerto Rico, 00902","","","https://www.freightnet.com/profile/137034.htm","No"
"ETH Cargo Services, Inc","P.O. Box 79207 , Carolina, Carolina, 00984","","","https://www.freightnet.com/profile/17297.htm","No"
"CDC Caribe, Inc","2000 Kennedy Ave , Suite 207, San Juan, 00920","","","https://www.freightnet.com/profile/21975.htm","No"
"Econocaribe Consolidators, Inc","Plaza Hato Tejas Bldg 6 , Bayamon, 00959","","","https://www.freightnet.com/profile/9206.htm","No"
"Business Mail & Cargo","Carretera #2, Km 17.0, Bo. Candelaria Toa Baja. , Toa Baja, 00951-1735","","","https://www.freightnet.com/profile/23202.htm","No"
"Flexitank Inc","Road 870  , Km 2.6 Palo Seco, Toa Baja, 00949","","","https://www.freightnet.com/profile/23949.htm","No"
"American Logistics","Carr 150 Sector Central Edificio KAF 103  , Carolina, Puerto Rico, 00981","","","https://www.freightnet.com/profile/142767.htm","No"
