"name","address","phone","website","profileUrl","isPremiumMember"
"HBN SHIPPING AND LOGISTICS","Namco Building , Al rawabi street _Mumtaza, Doha, Qatar, 840","+97451473330","http://www.hbnlogistics.com/","https://www.freightnet.com/profile/259850.htm","Yes"
"Blitz Global Logistics","P O BOX 55985, UBL Bldg 1, Doha, Qatar, 55985","+974 77466420","","https://www.freightnet.com/profile/57978.htm","Yes"
"Experts Shipping Services","1st Floor, Office No. 15, Mamora Plaza, Bldg 200, Doha, Qatar, 23305","44580536","","https://www.freightnet.com/profile/217153.htm","Yes"
"QL WLL","Building no 144, zone 57, Industrial area- Doha, QATAR, 28100","+97433955916","","https://www.freightnet.com/profile/252454.htm","Yes"
"SHEPHERD LOGISTICS CO W.L.L., DOHA QATAR,","P.O BOX 2756 ZONE 90  AL WAKRA DODA QATAR , WAKRA, Doha- Qatar, +974","","","https://www.freightnet.com/profile/113356.htm","No"
"ATL LOGISTICS","Building Number 59, Street 576, Doha, Qatar, 00000","","","https://www.freightnet.com/profile/260870.htm","No"
"Arts Logistics (Al Rawnaq Transport Shipping)","Ziyad Bin Eyad St, Doha, Qatar , DOHA, Qatar, 55502","","","https://www.freightnet.com/profile/201765.htm","No"
"Aero Freight and Logistics WLL","PO Box 8681  , C ring Road, Doha City, Qatar, 8681","","","https://www.freightnet.com/profile/188908.htm","No"
"RED JET LOGISTICS","Building 94 ZONE 25 STREET 850 , 1ST FLOOR ROOM 3, AL MANSOURA, QATAR, 11582","","","https://www.freightnet.com/profile/258426.htm","No"
"FAST DELIVERY CARGOSERVICES","Ezdan P.E.O Camp, Office no.13  Industrial area, street no.1, Ar rayyan Doha, Qatar,  PO BOX:14430, Doha, Qatar, 14430","","","https://www.freightnet.com/profile/188304.htm","No"
"Sealine cargo & Transportation","Zone 55,Street 340 ,Building no 330 , Unit 5 ,Door 6 Salwa road alwaab, Doha, Qatar, 47615","","","https://www.freightnet.com/profile/158184.htm","No"
"Al Amal Logistics and Transport","Doha Qatar , Al Saad, Doha, Qatar, 11953","","","https://www.freightnet.com/profile/49814.htm","No"
"FREIGHTIT SERVICES & LOGISTICS W.L.L","AL HILAL ZONE 42 , C RING ROAD, DOHA, QATAR, 72","","","https://www.freightnet.com/profile/170682.htm","No"
"Privilege Logistics Services","Old Salata , Corniche, Doha, Doha, 00974","","","https://www.freightnet.com/profile/231281.htm","No"
"Super Express Cargo,Trading & Contracting WLL","Building 61 ; Zone 90 ; Street 740 , Al Wakra, Doha, Qatar, 207297","","","https://www.freightnet.com/profile/89829.htm","No"
"PANTONE FREIGHT","C RING ROAD , P O BOX 16926, DOHA, QATAR, 16926","","","https://www.freightnet.com/profile/257302.htm","No"
"Red Jet Logistics","Al - Garafa , Doha, Doha, Qatar, 11582","","","https://www.freightnet.com/profile/129252.htm","No"
"Al Amal Logistics And Transport","Doha - Qatar  , Doha, Qatar, 0000","","","https://www.freightnet.com/profile/223478.htm","No"
"CARGOTRANS GLOBAL FORWARDING","Regency Business Center  ,  Building # 40, DOHA, QATAT, 55063","","","https://www.freightnet.com/profile/256123.htm","No"
"SOLAR LINE TRADING & LOGSTICS","DOHA -QATAR , DOHA, QATAR, 9806","","","https://www.freightnet.com/profile/107852.htm","No"
"Manna Movers For Moving Furniture and Goods Shipping Distributing","Office no.8, 2nd floor, Bldg 54, Al Ruffa Bldg , St: 830, Zone:17, Doha, Qatar, 32367","","","https://www.freightnet.com/profile/253413.htm","No"
"TRAVELITE COURIER & CARGO","RETAJ BUILDING NO.56 STREET NO.342, AREA NO. 22,  AL JAZEERA STREET BIN MAHMOUD, DOHA, Qatar, 9012","","","https://www.freightnet.com/profile/219601.htm","No"
