"name","address","phone","website","profileUrl","isPremiumMember"
"AirGroup Cargo","Moscow airport Vnukovo , Moscow, Russia, 119007","","","https://www.freightnet.com/profile/147517.htm","No"
"Ocean Trans","125373, MOSCOW, Pokhodniy passage, 4, building 1, attic floor, room 8 , Moscow, Russia, 125373","","","https://www.freightnet.com/profile/173406.htm","No"
"KITA SHIPPING","630102, Novosibirsk Region, Novosibirsk City District, City of Novosibirsk, Nizhnegorodskaya Street, 6A, Office 609. , Novosibirsk, Novosibirsk Region, 630102","","","https://www.freightnet.com/profile/256152.htm","No"
"AirGroup Cargo","aeroport Vnukovo , Moscow, Russia, 103009, Central str. bld.23","","","https://www.freightnet.com/profile/100820.htm","No"
"ESL","Basseynaya St., 65 letter A, office. 71 , Saint-Petersburg, Saint-Petersburg, 196211","","","https://www.freightnet.com/profile/210161.htm","No"
"Sky Cargo Service","ul. Nizhegorodskaya, 6A, office 608 , Novosibirsk, Russia, 630102","","","https://www.freightnet.com/profile/241718.htm","No"
"Sky Cargo Service","6a, Nizhegorodskaya street, Novosibirsk, Russia , Novosibirsk, Russia, 630102","","","https://www.freightnet.com/profile/222994.htm","No"
"Top Delivery Logistics","Russia, Moscow, Kievskoe shosse , Moscow, Russia, 108811","","","https://www.freightnet.com/profile/188476.htm","No"
"LIS-GROUP LLC","Gorohovskiy per. 5/11, fl.4, office 12 , Moscow, Russia, 105064","","","https://www.freightnet.com/profile/149931.htm","No"
"Aviastar-TU Ltd","4, Grishenko street , Zhukovsky, Russia, 140180","","","https://www.freightnet.com/profile/142943.htm","No"
"AIR CARGO","117105, Russia,  Moscow, Novodanilovskaya naberezhnaya, 4А , 117105, Russia,  Moscow, Novodanilovskaya naberezhnaya, 4А, Moscow, Russia Federation, 117105","","","https://www.freightnet.com/profile/148945.htm","No"
"CHARTER GREEN LIGHT MOSCOW","NAUCHNIY PROEZD , 19, Moscow, Moscow, 119415","","","https://www.freightnet.com/profile/140266.htm","No"
"STS Logistics","5a, 1st Magistralniy blind alley, 123290,Moscow, Russia , MOW, RUSSIA, 123290","","","https://www.freightnet.com/profile/103171.htm","No"
"Polet Cargo Airlines","123 Prospekt Truda , Voronezh, Voronezh, 394019","","","https://www.freightnet.com/profile/9118.htm","No"
"BEL Aviation Group","Sevastopolskii prospect, 56/40 , 8 floor, Moscow City, 117342","","","https://www.freightnet.com/profile/20241.htm","No"
