"name","address","phone","website","profileUrl","isPremiumMember"
"Parus LLC.","Gogolia str., 52, 3rd floor, Vladivostok, Russia, 690014","+7 985 359 38 59","https://tpp.ru/","https://www.freightnet.com/profile/251673.htm","Yes"
"Trader Sea Gate Ltd","St. Pobeda 23/104 Lomonosov , , St. Petersburg, 189512","","","https://www.freightnet.com/profile/17727.htm","No"
"ha.broker","Лескова , Москва, Москва, 108811","","","https://www.freightnet.com/profile/250536.htm","No"
"Liliental Jet","Moscow , Moscow, Moscow, 100001","","","https://www.freightnet.com/profile/201403.htm","No"
"Таможенный представитель ""СК-Альянс""","Москва, Пресненская набережная, дом 6, строение 2, башня «Империя» , Москва, Москва, 123317","","","https://www.freightnet.com/profile/162544.htm","No"
"Ordos Ltd.","Gorky 64, Blagoveschensk, Russia , Blagoveschensk, Russia, 675000","","","https://www.freightnet.com/profile/98484.htm","No"
"Taiget L.S.","Elochnaia str. 5/12 , Odessa, Ukraine, 65016","","","https://www.freightnet.com/profile/112858.htm","No"
"Logari Express","Спартаковская площадь 14, стр. 3 , Москва, Российская Федерация, 105082","","","https://www.freightnet.com/profile/100830.htm","No"
"CTM-traffic","Professor Popov Str. 23 , St.Petersburg, Russian Federation, 197022","","","https://www.freightnet.com/profile/91477.htm","No"
"VNESHTERMINAL-2000 LTD.","Dvinskaya str. 12 lit. A , Saint-Petersburg, Saint-Petersburg, 198035","","","https://www.freightnet.com/profile/131087.htm","No"
