"name","address","phone","website","profileUrl","isPremiumMember"
"Phoenix Logistics","Russia, Moscow, Sheremetyevo International Airport, Moscow, Russia, 141426","+79852223184","https://p-log.ru/about-company/","https://www.freightnet.com/profile/188431.htm","Yes"
"Imexpartner","Moscow region, Odintsovo, Zapadnaya str., bld. 13, Odintsovo, Moscow region, 143002","+7(499)391-14-98","https://www.imexpartner.ru/","https://www.freightnet.com/profile/149802.htm","Yes"
"Spetra","Russia , Moscow, Moscow region, 141000","","","https://www.freightnet.com/profile/247921.htm","No"
"MORANSEA","Gorpishchenko Street, 20 , Novorossiysk, Krasnodarskiy krai, 353915.","","","https://www.freightnet.com/profile/263353.htm","No"
"YugRusPort","Pervomayskaya str. 5, premises 2, rooms 9,10 , Novorossiysk, Russia, 353901","","","https://www.freightnet.com/profile/244016.htm","No"
"SIMPLE LOGISTICS SERVICE LIMITED LIABILITY COMPANY","TOPOLINAYA STR., POSS. 24A-206 ROOM 9 , TOLYATTI, Samara Region, 445030","","","https://www.freightnet.com/profile/204994.htm","No"
"Estiw Co. Ltd","office 50, 9, Strelnikova str. , Vladivostok, Russia, 690065","","","https://www.freightnet.com/profile/178397.htm","No"
"VAIYANAM","Office 530, No. 25 Berezovaya ul., Vladivostok City,, Office 530, No. 25 Berezovaya ul., Vladivostok City, Russia, Office 530, No. 25 Berezovaya ul., Vladivostok City,","","","https://www.freightnet.com/profile/194098.htm","No"
"Flash Logistics","XLEBOZAVODSKY PROEZD, BLOCK 7 , Moscow, Russia, 115230","","","https://www.freightnet.com/profile/224674.htm","No"
"H&S COMPANY LIMITED","Proyezd 607-Y, 3 строение 2 , MOSCOW, MOSCOW, 123458","","","https://www.freightnet.com/profile/260508.htm","No"
"TC Sovtransavto-M Ltd.","121108, Moscow, Ivana Franko str, h4, bld 2 , room 1/ 2 , 690106, prospect Krasnogo Znameni 37, Vladivostok, Russia, Vladivostok, Russia, 690106","","","https://www.freightnet.com/profile/254245.htm","No"
"LLC Importo","pr-kt Maly P.S., 5, litera B, room 305 , St.Petersburg, Russia, 197198","","","https://www.freightnet.com/profile/259612.htm","No"
"B&B Logistics LLC","Russia, Moscow, st. Podol’skih Kursantov, 7, building 3 , Moscow, Moscow, 117545","","","https://www.freightnet.com/profile/249716.htm","No"
"INTER FREIGHT LLC","Russia, Saint-Petersbirg, Ligovskyi prospect, 92 lit.G, 3 floor , Saint-Petersbirg, RUSSIA, 191119","","","https://www.freightnet.com/profile/254791.htm","No"
"Mobius Line SIA","Gertrudes 135 -45 , Riga, Latvia, LV1009","","","https://www.freightnet.com/profile/170771.htm","No"
"MA FREEGATE","192029, St. Petersburg, Obukhovskoy Oborony avenue, 70, corp. 3, Liter А, office 47-Н , ST.PETERSBURG, RUSSIA, 192029","","","https://www.freightnet.com/profile/256249.htm","No"
"DoorToDoor","Kosmonavta Volkova, 6 , Moscow, Russia, 143441","","","https://www.freightnet.com/profile/146118.htm","No"
"Crocus logistic","Moscow mkad  , Moscow, Russia, 690000","","","https://www.freightnet.com/profile/254636.htm","No"
"Ardifo","Moscow , Moscow, Russian Federation, 125635","","","https://www.freightnet.com/profile/253778.htm","No"
"EWF East West Forwarding","Bumazhnaya Street 15 , , St. Petersburg, 190020","","","https://www.freightnet.com/profile/18435.htm","No"
"GK BARS LTD","Rm 3/1, 93A Obvodny kanal, St.Petersburg Russia , St.Petersburg, Russia, 191119","","","https://www.freightnet.com/profile/231063.htm","No"
"Freight Time LLC","Saint-Petersburg , Saint-Petersburg, Russia, 192007","","","https://www.freightnet.com/profile/220063.htm","No"
"ZAO «Transport, Tamozhnia, Turizm»","188800, Vyborg, Kuibisheva st., 21, Russian Federation , Vyborg, Vyborg, Russian Federation, 188800","","","https://www.freightnet.com/profile/241158.htm","No"
"ESTIW CO., LTD","9 Strelnikova street , Vladivostok, Russia, 690065","","","https://www.freightnet.com/profile/160698.htm","No"
"Aldetrans","Ulitsa Dem'yana Bednogo, 24, корп. 1, оф. 229, Moscow , Ulitsa Dem'yana Bednogo, Moscow, 123308","","","https://www.freightnet.com/profile/234673.htm","No"
"Global Forwarding","Prospect Chulman, office 104 , Naberezhnye Chelny, Republic of Tatarstan, 423800","","","https://www.freightnet.com/profile/145302.htm","No"
"BKS-Freight","Mezhevoy kanal 5, LIT AX , Saint Petersburg, RUSSIA, 198035","","","https://www.freightnet.com/profile/174694.htm","No"
"Cargo Craft Group Co. Ltd.","Grishina 10-3, Moscow , Saint-Petersburg, Russia, 121354","","","https://www.freightnet.com/profile/216536.htm","No"
"Aviaservice","420124 Kazan , Anirkhana str., 12a office 8, Kazan, Russia, 420126","","","https://www.freightnet.com/profile/149574.htm","No"
"Alyans Trans Torg","Shevchenko , Novosibirsk, Russia, 630102","","","https://www.freightnet.com/profile/213196.htm","No"
"FCE","rus , Dubai, Novo, 60881","","","https://www.freightnet.com/profile/213701.htm","No"
"Prime Forwarding Ltd.","15, Volkovka River Emb.,, St. Petersburg, Russia, 192102","","","https://www.freightnet.com/profile/162803.htm","No"
"LLC Ocean Trans","Pokhodniy passage, 4, building 1, attic floor , Moscow, Moscow, 125373","","","https://www.freightnet.com/profile/168953.htm","No"
"Credo Trans","bldg. 2, BC ""Leader Tower"" , 3 Konstitutsii Square, Saint Petersburg, Russian Federation, 196247","","","https://www.freightnet.com/profile/203385.htm","No"
"SOUTH FORWARDING COMPANY","st.Konnoy Armii 4-D , Rostov-on-Don, Rostov region, 344025","","","https://www.freightnet.com/profile/170884.htm","No"
"IBLS OOO","Begovaya, 3/1 , Moscow, Russia, 125319","","","https://www.freightnet.com/profile/181713.htm","No"
"INTEGRATED CONTRACT LOGISTICS","st. Eltonskaya, 21A , Nizhny Novgorod, Russia, 603146","","","https://www.freightnet.com/profile/196316.htm","No"
"SOLS LLC","а/я 69 для ООО ""СОЛС"" , Saint-Petersburg, Russia, 188650","","","https://www.freightnet.com/profile/188300.htm","No"
"""Sea Express"" Ltd.","Head office: St. Petersburg, Bumazhnaya st., 16, korp. 1,lit. A, office 411;  , Branch: Novorossiysk, Svobody street, 16/7, office 11, business centre ""Europe"", St. Petersburg, Russia, 190020","","","https://www.freightnet.com/profile/187156.htm","No"
"YTF ltd.","11, 5-ya Promishlennaya st. , Novorossiysk, Russia, 353991","","","https://www.freightnet.com/profile/157683.htm","No"
"IBLS Freight Forwarding","PIlota Nesterova 7-84 , , Moscow City, 125167","","","https://www.freightnet.com/profile/21893.htm","No"
"ООО ""Дикке Карго""","350090, Краснодарский кр, город Краснодар, проезд Им. Репина, дом 22, ПОМЕЩЕНИЕ 71 , Краснодар, Краснодарский край, 350051","","","https://www.freightnet.com/profile/175574.htm","No"
"Eastern union LLC","off. 516, 9 Strelnikova str. , Vladivostok, Primorsky krai, 690065","","","https://www.freightnet.com/profile/174301.htm","No"
"LLC Sky Cargo Service","Novosibirsk, Russia, Nizhegorodskaya street, 6a, office 607 , Novosibirsk, Russia, 630102","","","https://www.freightnet.com/profile/115395.htm","No"
"Altamar","St Petersburg Russia , St Petersburg, Russia, 158196","","","https://www.freightnet.com/profile/173695.htm","No"
"Best Deals, LLC","23A Laboratorny prospect , Saint-Petersburg, Saint-Petersburg, 195197","","","https://www.freightnet.com/profile/143291.htm","No"
"GlobalTransConsult","19, Leninskaya sloboda , Moscow, Moscow, 115230","","","https://www.freightnet.com/profile/156876.htm","No"
"BRIDGE LOGISTICS LLC","9 Tverskaya street , Moscow, Russia, 125009","","","https://www.freightnet.com/profile/23422.htm","No"
"M-Logistik","Azovskaya street, 15a , Moscow, Russia, 117452","","","https://www.freightnet.com/profile/60714.htm","No"
"Expeditor","Posyetskaya 10, office 6 , Vladivostok, Russia, 690003","","","https://www.freightnet.com/profile/159280.htm","No"
"Gerrus Trans","141426, Russia, Moscow region, Sheremetyevo airport, bld.5, office 507 , Moscow, Russia, 141426","","","https://www.freightnet.com/profile/156722.htm","No"
"ALL TRANS GLOBAL LTD","Nelidovskaya Str. 10/3 , , Moscow, 125363","","","https://www.freightnet.com/profile/148125.htm","No"
"GFK Logistics Ltd","Kirovogradskaya str. 32 office 4C1 , Moscow, Russian Federation, 117519","","","https://www.freightnet.com/profile/91802.htm","No"
"ENE","29 lit A Marshala Govorova avenue , office 347, Saint-Petersburg, 198097","","","https://www.freightnet.com/profile/18557.htm","No"
"Ctig","Пресненская наб. 6, стр.2 Башня “Империя” 16 этаж, & , Москва, Москва, 123317","","","https://www.freightnet.com/profile/153207.htm","No"
"MERERS Ltd.","www.merers.com , St.Petersburg, Russia, 195273","","","https://www.freightnet.com/profile/152097.htm","No"
