"name","address","phone","website","profileUrl","isPremiumMember"
"FreightcargoLtd","Kigali , Gasabo, Kigali, Rwanda, 00000","","","https://www.freightnet.com/profile/254689.htm","No"
"Kasulu Logistics","P.O. Box 990 , 2nd Floor, Eden Tower, Kigali, Rwanda, 0100","","","https://www.freightnet.com/profile/21980.htm","No"
"Transcentury express ltd","Gikondo magerwa , Masaka DPW, Kigali, Rwanda, 1802 kigali","","","https://www.freightnet.com/profile/186359.htm","No"
"Frameg Cargo tour and travel service K","KN5 RD , Airport RD, Remera, Rwanda, Rwa","","","https://www.freightnet.com/profile/215652.htm","No"
"Zest Logistics Ltd.","KK 55 RD, KIGALI, RWANDA , KIGALI, KICUKIRO, 250","","","https://www.freightnet.com/profile/245503.htm","No"
"Nour shipping and trading CO.LTD","KN 08 AVE 105 Eden Garden ,Cacuriro , Kigali, Rwanda, KN 8","","","https://www.freightnet.com/profile/227070.htm","No"
"Fracht Rwanda Ltd","PO Box 3322 , KN 14 AV #37, Kigali, Kigali, 1000","","","https://www.freightnet.com/profile/12528.htm","No"
"Zest Logistics LTD.","KN 3 Discentre Rwandex Gikondo African Union Road , Kigali, Kigali, 250","","","https://www.freightnet.com/profile/197259.htm","No"
"TRANSGLOBAL LOGISTICS - AFRICA","Opp. Kigali International Airport, Kigali , transglobalogisticsltd@gmail.com, Kigali, Rwanda, +250","","","https://www.freightnet.com/profile/240288.htm","No"
"G5 Logistics Group Ltd","Rwanda , Burundi, Kenya, Kenya, 254","","","https://www.freightnet.com/profile/221490.htm","No"
"FRAMEG CARGO TOUR AND TRAVEL SERVICE LTD","KN5 AIRPORT ROAD , REMERA, GIPOROSO, RWANDA, RW","","","https://www.freightnet.com/profile/209326.htm","No"
"Haraka Freight International Ltd","ITUZE HOUSE , Remera, Kigali city, 7357","","","https://www.freightnet.com/profile/198966.htm","No"
"Umoja Worldwide Logistics ( Rwanda) Ltd","MIC building, 1st floor, Office F1-21 , Downtown, Nyarugenge, Kigali, Rwanda, 7357","","","https://www.freightnet.com/profile/159820.htm","No"
"Globalink Movers and Logistics","Kigali , Kigali, Kicukiro, +250","","","https://www.freightnet.com/profile/115049.htm","No"
"EUROMAX  LTD","Transport, Customs clearing & Forwarding Agent  , , Rusumo,","","","https://www.freightnet.com/profile/90308.htm","No"
"Swift Freight International (Rwanda) S.A.R.L","BP 1003 , 10, Avenue de la Paix, Kigali Ngali,","","","https://www.freightnet.com/profile/14527.htm","No"
"Star Express Cargo","1205 , , Kigali Ngali, 250","","","https://www.freightnet.com/profile/21609.htm","No"
