"name","address","phone","website","profileUrl","isPremiumMember"
"Shita Air Cargo Company","Bani Malik St. , jeddah, Jeddah, 57412","966567505578","http://www.tatylogisitcs.com/","https://www.freightnet.com/profile/264977.htm","Yes"
"ALWASEL CARGO","KSA JEDA PALSTIN ST GULF PLAZA CENTR , SHARAFIYAH DIST, JEDDAH, SAUDI, SHARAFIYAH DIST","","","https://www.freightnet.com/profile/265406.htm","No"
"AL SUHAIMI CARGO SERVICE","KING SAUD STREET  , ST - 1, DAMMAM, KINGDOM OF SAUDI ARABIA, 9060","","","https://www.freightnet.com/profile/211212.htm","No"
"Altawil","3349 Alnassim , Makkah, Saudi Arabia, 24242","","","https://www.freightnet.com/profile/196849.htm","No"
"Naqel Co.","Riyadh , riyadh, riyadh, 21546","","","https://www.freightnet.com/profile/178354.htm","No"
"FOUAD CARGO AGENCY","1st Industrail city, dammam, KSA , dammam, Saudi Arabia, 31411","","","https://www.freightnet.com/profile/173808.htm","No"
"Alfaris Cargo Service","Rayan st , Taif, western Province, 26311","","","https://www.freightnet.com/profile/172553.htm","No"
"AVIATION AIR CARGO COMPANY","KING FAISAL STREET, MURABBA, RIYADH, SAUDI ARABIA, 4330","","","https://www.freightnet.com/profile/160107.htm","No"
"ExShipment Est.","Alwaziriah Street , High Tech Center, Jeddah, West, 33828","","","https://www.freightnet.com/profile/134613.htm","No"
"Fog Technology Est.","Opposite Prince Sultan University, Hai- waha, Riyadh, Riyadh, 11543","","","https://www.freightnet.com/profile/106143.htm","No"
