"name","address","phone","website","profileUrl","isPremiumMember"
"Dubai Gulf Transportation & Customs Clearance","King Faisal Ibn Abd Al Aziz, الدمام, Saudi Arabia, 32221","0530925607","https://dubaigulf.com.sa/","https://www.freightnet.com/profile/256531.htm","Yes"
"ALJUMAH Logistics","Al-Malaz District, Salah AlDin Street 11477, Riyadh, Saudi Arabia , Riyadh, Saudi Arabia, 11477","","","https://www.freightnet.com/profile/258911.htm","No"
"AldossaryCustom Clearance Est","King Abdulaziz Seaport  , Eastern Provinces, Saudi Arabia, 32212","","","https://www.freightnet.com/profile/258866.htm","No"
"hotline cargo services for custom clearance","alryadh , alryadh, wsta, 12646","","","https://www.freightnet.com/profile/255582.htm","No"
"EXCELLENCE LOGISTICS SVS","HAIL STREET- WBUGHDADIAH .NO.#7 ,  nughba Buiding .no.#3 off.no.#302, JEDDAH, SAUDI ARABIA, 4030","","","https://www.freightnet.com/profile/143834.htm","No"
"MYFREIGHT","Saudi / Oman / Bahrain , Dammam, eastern province, 31952","","","https://www.freightnet.com/profile/139579.htm","No"
"Alrajhi Logistics","King Khalid Road, Al Sharafiya,Jeddah , Jeddah, Makkah, 22234","","","https://www.freightnet.com/profile/214421.htm","No"
"AYA Shipping Company","King Abdullah Street , 27th Cross, Al Khobar, EP, 34426","","","https://www.freightnet.com/profile/182591.htm","No"
"First Line Customs Clearance Est","Dammam, Eastern Province, KSA , Dammam, Saudi Arabia, 31492","","","https://www.freightnet.com/profile/177029.htm","No"
"BSC for custom clearance and transportaction","2362 Al Katani-Al Malaz , Riadah, Saudi Arabia, 11741","","","https://www.freightnet.com/profile/161215.htm","No"
"mfarh custom clearance&shipping","Riyadh- Kingdom of Saudi Arabia ,Al-Sulay / Al-Sa'ada District / In front of Aisha Bent Abe Baker Mosque, Exit 16  , Riyadh, saudi arabia, 13221","","","https://www.freightnet.com/profile/148722.htm","No"
"Khaled Munaisher Cargo & Customs Clearance.","Al Alaam Commercial Center. , Jeddah / Riyadh / Dammam, Saudi Arabia, 22235","","","https://www.freightnet.com/profile/148521.htm","No"
"mfarh custom clearance&shipping","alsolay , alsaada, Alriyadh, Saudi Arabia, 3014","","","https://www.freightnet.com/profile/149168.htm","No"
"Mark Value Logistics","Office 5, 1st Floor, Bldg no 7203 , Exit 10, Al Hamra Dist., Riyadh, 12223","","","https://www.freightnet.com/profile/137791.htm","No"
"White Tram Transport Services Co., Ltd.","P.O.Box-104204, Office No. 603, Al Burj Al Alami Centre, Al-Baghdadiya, Jeddah, Saudi Arabia, 21331","","","https://www.freightnet.com/profile/137430.htm","No"
"almussallam","readh , Dry Port, Riyadh, Central Region, 11511","","","https://www.freightnet.com/profile/134656.htm","No"
"Mars Freights","24th cross prince nayef street al khobar , khobar, saudi arabia, 31952","","","https://www.freightnet.com/profile/131663.htm","No"
"MMC TRADING-SOURCING-LOGISTICS","MALAZ , DIOMOMD 'D' BUILDING, RIYADH, SAUDI ARABIA, 11496","","","https://www.freightnet.com/profile/120474.htm","No"
"Mohamed Moudayfer & bro. for custom clearance","riyadh- farazdaq st. , riyadh, saudi arabia, 1378 RIYADH 11431","","","https://www.freightnet.com/profile/98227.htm","No"
