"name","address","phone","website","profileUrl","isPremiumMember"
"ATLAS CARGO LIMITED","Jamjoom Commercial Center , Al Hamra, Jeddah, Saudi Arabia, 21455","+966 55 386 4816","http://www.atlas-cargo.com/","https://www.freightnet.com/profile/254979.htm","Yes"
"HLS LOGISTICS SOLUTIONS CO","BUILDING# 6960, ISMAIL IBN KATHEER STREET, AL BASATIN DIST, 7915, KING ABDULAZIZ ROAD, 2337 AN NAHDAH DISTRICT, JEDDAH, SAUDI ARABIA, 23523","00966539644611","http://www.hlslogistics.com.sa/","https://www.freightnet.com/profile/260611.htm","Yes"
"PACIFIC STARS TRADING COMPANY","Prince Mohammed bin Fahad Street, Alshati Alsharqi, Dammam, EASTREN, 32413","+966546546620","https://www.pcstrd.com/","https://www.freightnet.com/profile/246114.htm","Yes"
"GLOBAL BRIDGE CO LTD","JEDDAH , SAUDI ARABIA, JEDDAH, SAUDI ARABIA, 21421","00966126531190","https://www.globalbridgegrp.com/","https://www.freightnet.com/profile/168107.htm","Yes"
"Al Banna Al Mutamyz Co.","Building no.7046, Ali Bin Abi Talib Street, Ash Sharafiyah District, Jeddah, Saudi Arabia, 23216","+966126516980","http://www.albanna.com.sa/","https://www.freightnet.com/profile/260396.htm","Yes"
"Gulf Corp Logistics Company","PRINCE MOHAMMED BIN SAUD DISTRICT, Dammam, Saudi Arabia, 32241","+966500288675","http://www.gulfcorp-sa.com/","https://www.freightnet.com/profile/263477.htm","Yes"
"MASUM LOGISTICS SERVICES CO","AL-ETQAN SQUARE, MADINAH AL- MUNAWARAH RD, AR RUWAIS DISTRICT, JEDDAH , JEDDAH, SAUDI ARABIA, 23215","","","https://www.freightnet.com/profile/264496.htm","No"
"Pacific Logistics Solutions Company","Al Hogail Tower, Mazruiyah Street , Dammam, Ksa, 32415","","","https://www.freightnet.com/profile/244589.htm","No"
"SOHO Shipping and Logistics LLC","Al Jubail  , KAK Commercial Complex, Al Jubail, Saudi Arabia, 31962","","","https://www.freightnet.com/profile/250666.htm","No"
"Green Source Logistics","Riyadh , Riyadh, Riyadh, Saudi Arabia, 22701","","","https://www.freightnet.com/profile/253962.htm","No"
"Sole propriter","Dammam , Al-rukmaniya, Dammam-saudi arabia, 31411","","","https://www.freightnet.com/profile/114704.htm","No"
"PSAL ARABIA","AL-ANDULS , JEDDAH, SAUDI ARABIA, 20911","","","https://www.freightnet.com/profile/262949.htm","No"
"Buzyb","Jeddah , Khumrah, Saudi Arabia, 2221","","","https://www.freightnet.com/profile/216869.htm","No"
"ALLIANCE LINES LOGISTICS SERVICES - ALS LINE","KING ABDULAZIZ STREET , AL BADI DIST, DAMMAM, DAMMAM, 32415","","","https://www.freightnet.com/profile/259618.htm","No"
"Bader International Shipping BIS","Omar Bn Alkhatab ST , EXIT 16, Riyadh, المملكة العربية السعودية, 22272","","","https://www.freightnet.com/profile/158503.htm","No"
"Advanced Power Logistics Services","8150, Al Madinah Al Munawwarah Road , 4855, Al Ruwais District, Jeddah, Saudi Arabia, 23215","","","https://www.freightnet.com/profile/260096.htm","No"
"Airwai Logistics","Ibn Al Abyad , Jarir Street  , Riyadh, Kingdom of Saudi Arabia, 12837","","","https://www.freightnet.com/profile/242633.htm","No"
"Costa Logistics Company KSA","7625 Shaikh Abdulaziz Ibn Abdulrahman Ibn Bishr، حي الخليج، RFKB2587، 2587, Riyadh 13223, Saudi Arabia , AL KHALIJ, SAUDI ARABIA, 13223","","","https://www.freightnet.com/profile/258922.htm","No"
"Globelink West Star Saudi","Malaz , Jarir Street, Malaz, Riyadh, 12831","","","https://www.freightnet.com/profile/257641.htm","No"
"Zoom Shipping LLC - Ksa Branch","4139 Fatimah Al Zahraa, Jarir, 7478, Riyadh 12837 , office 9 , 2nd floor Durra Building, Ridadh, Saudi Arabia, 12837","","","https://www.freightnet.com/profile/251919.htm","No"
"Global Time Lostics Services","8332 , Al Amir Muhammed Bin Fahd Rd, DAMMAM, Saudi Arabia, 32241","","","https://www.freightnet.com/profile/193769.htm","No"
"Capital Logistics Trading","Office 712, 7th Floor, Andalus Business Center, Ruwais, Andalus St, Ruwais, SAUDI ARABIA, 254000","","","https://www.freightnet.com/profile/251363.htm","No"
"Worldzone Logistics services LLC","Jeddah , Jeddah, KSA, na","","","https://www.freightnet.com/profile/254279.htm","No"
"Sraa Manahi Al Gathami CO. Logistics & Transportation","Office No. 403 ,Al Amal Plaza Hail Street, Jeddah , Office No. 403 ,Al Amal Plaza Hail Street, Jeddah, JEDDAH, SAUDI ARABIA, 22346","","","https://www.freightnet.com/profile/238590.htm","No"
"Afaq El Emdad Logistics Services Est","Exit 14 Al-Rayan District , Eastern Ring Road Office 41 Sea Price Building, Al Riyadh, Saudi Arabia, 42137","","","https://www.freightnet.com/profile/224625.htm","No"
"Creative For Shipping and Logistics (CSL)","Khaled ebn Alwaleed St. Office No. 10, 1st floor, Technology Building Al-Sharafiyah district- Jeddah , Jeddah, SAUDI ARABIA, 4252","","","https://www.freightnet.com/profile/251527.htm","No"
"AESTON FREIGHTWAYS","AL MAKKA COMMERCIAL CENTER, BUILDING NO.1, DAMMAM, SAUDI ARABIA, 322415","","","https://www.freightnet.com/profile/243205.htm","No"
"DATCO LOGISTICS","Hamza st. Bughdadiyah, P.O.Box No : 11625 , Jeddah, Saudi Arabia, 21463","","","https://www.freightnet.com/profile/250318.htm","No"
"Threelines Logistics","al tubaishi, saudi arabia, dammam, Saudi Arabia, 32233","","","https://www.freightnet.com/profile/249443.htm","No"
"Apex Compass - Bousla Quma","8884 S4 Building, Airport Rd , Sedra district, Riyadh, Ar Riyadh, 13413","","","https://www.freightnet.com/profile/246253.htm","No"
"Marina Gulf shipping company","Al salah building Jeddah  , Jeddah, Saudi Arabia, 22230","","","https://www.freightnet.com/profile/221629.htm","No"
"Ocean Link International","Hail Commercial Tower C , 3rd. floor Room No. 04, Jeddah, Saudi Arabia, 22231","","","https://www.freightnet.com/profile/244918.htm","No"
"Gayawa enterprise","Kano , Kano galadima, Gayawa ungoggo, Nigeria, 700105","","","https://www.freightnet.com/profile/223159.htm","No"
"MFS ARABIA LOGISTICS","MFS Arabia For Logistics Services Al Waleed Center-Office # 209 Khalid Ibn Al Walid Street Ash sharafiya District- Jeddah Kingdom of Saudi Arabia , 3205 Omar Bin Al Khattab Road Al Sinaiyah Dist. Unit # :504 Building #3205 Riyadh 12844 - 784, Saudi Arabia, KSA, 32253","","","https://www.freightnet.com/profile/242815.htm","No"
"MASS INTERNATIONAL LOGISTICS SERVICES EST","NO.20-2ND FLOOR,AI-NAJIM BUILDING P.O.BOX 6961 AI MAZRUIYAH,KING SAUD STREET , DAMMAM, Saudi Arabia, 32414","","","https://www.freightnet.com/profile/217675.htm","No"
"Jitex Logistics Solution","Saudi Arabia , KSA, Riyadh, Saudi Arabia, 223344","","","https://www.freightnet.com/profile/219933.htm","No"
"WAREDAT for logistic services company","Bayadah st. Albalad dist. , Jeddah, Makkah, 22233","","","https://www.freightnet.com/profile/218457.htm","No"
"Elite Freight Forwarding","ALQUDS AREA , SAEED IBN ALAAS ST, RIYADH, SAUDI ARABIA, 13214","","","https://www.freightnet.com/profile/202518.htm","No"
"Munawla Cargo Co lTd","jeddah  , Hindawia, saudi arabia, 21583","","","https://www.freightnet.com/profile/146506.htm","No"
"LOGISTI","Al hamra Jeddah , Jeddah, Saudi Arabia, 12113","","","https://www.freightnet.com/profile/233522.htm","No"
"Waredat for Logistic Services Co.","Al Balad , Al Bayadha Street, Jeddah, Makkah, 22233","","","https://www.freightnet.com/profile/211544.htm","No"
"Abdul Latif Jameel Transportation ltd.","Private Offices Entrance A 5th Floor , Prince Sultan Street, Jeddah, Makkah, 20180","","","https://www.freightnet.com/profile/190626.htm","No"
"Digtal Track Logistics Co","Riyadh , Riyadh, Riyadh, 12271","","","https://www.freightnet.com/profile/192540.htm","No"
"High Access Logistics - SAUDI ARABIA","33 Bassam Business Center , Baghdadiyah West, Jeddah, Jeddah, 22234","","","https://www.freightnet.com/profile/179732.htm","No"
"Hoopoe Cargo & Logistics ( HCL )","ALMALQA AREA , RIYADH, SAUDIA ARABI, 13521","","","https://www.freightnet.com/profile/191138.htm","No"
"Ifltradex","Sitteen Street, Andalus Plaza, Jeddah, Saudi Arabia, 21442","","","https://www.freightnet.com/profile/213420.htm","No"
"APEX FREIGHT SOLUTIONS","AS SULAI , RIYADH, RIYADH, 11441","","","https://www.freightnet.com/profile/133294.htm","No"
"ALSUHAIMI CARGO SERVICES","First Street Corner King Saud Street , Dammam, Eastern Province Kingdom Of Saudi Arabia, P.O.Box 9060 Dammam 31413","","","https://www.freightnet.com/profile/100561.htm","No"
"Power Solutions Trading Est.","Dammam , Dammam, Saudi Arabia, 22334","","","https://www.freightnet.com/profile/193633.htm","No"
"FIRST GULF SHIPPING ESTABLISHMENT","PO BOX 3971, PRINCE MUSA BIN NASSER STREET , PRINCE MUHAMMED IBN SAUD AREA, DAMMAM, SAUDI ARABIA, 32241","","","https://www.freightnet.com/profile/181814.htm","No"
"GLOBE MARINE SERVICES COMPANY","PO.BOX 24410 , JEDDAH, 21446","","","https://www.freightnet.com/profile/178315.htm","No"
"Muyid Logistics services LLC.","Al Muhammadiyah plaza, 4th Floor, Office No:45  , JEDDAH, JEDDAH, 12347","","","https://www.freightnet.com/profile/157491.htm","No"
"MUNAWLA CARGO COMPANY LTD","GULF CENTER - ROOM NO. 116 , MADEENA ROAD, JEDDAH, MAKKAH/SAUDI ARABIA, 21583","","","https://www.freightnet.com/profile/147573.htm","No"
"FREIGHT SOLUTIONS","P.O. Box 275141 , Riyadh, Saudi Arabia, 11314","","","https://www.freightnet.com/profile/58725.htm","No"
"Nimble Logistics","AL SHARFIYAH MADINAH ROAD SALMA COMMERCIAL CENTER , 3RD FLOOR OFFICE NO: 339, Jeddah, Saudi Arabia, 21451","","","https://www.freightnet.com/profile/117947.htm","No"
"oceans international logistics","Jeddah  , 5th flr offce 502  Binzert St , Jeddah, Jeddah, 21453","","","https://www.freightnet.com/profile/196298.htm","No"
"Hizam Shipping","2nd Floor, D # 12 , King Khaled Street, Tubaishi, Dammam, Eastern Province, 31442","","","https://www.freightnet.com/profile/142967.htm","No"
"Shahen","Imam Malik Road , Riyadh, Saudi Arabia, 13321","","","https://www.freightnet.com/profile/195111.htm","No"
"REZAYAT SHIPPING AGENCY","King Abdul Aziz Dammam  , 31952, Dammam, Saudi Arabia, PO Box 1232","","","https://www.freightnet.com/profile/194708.htm","No"
"Asaheeb Logistics","Baghdadiya , 7th floor Azhar hotel building, Jeddah, Makkah, 21334","","","https://www.freightnet.com/profile/191871.htm","No"
"Sealink Logistics","Al Nazar Center, Hail Street , Opp PIA Building, Bagdadiya Al Garbiya, Jeddah, Saudi Arabia, 22234","","","https://www.freightnet.com/profile/186367.htm","No"
"Ship and Secure Log","Elite Center , 1st Floor, Riyadh, Saudi Aabia, 11314","","","https://www.freightnet.com/profile/182907.htm","No"
"Global Bridge Co Ltd (Previous Al Fadul Freight Solutions)","Madina Road, Al Hayat Commercial Center , Behind Radisson Blu Hoted, Jeddah, Saudi Arabia, 21421","","","https://www.freightnet.com/profile/167292.htm","No"
"LogicMena","Sulaimania  , Riyadh, Riyadh, Saudi Arabia, 11434","","","https://www.freightnet.com/profile/151124.htm","No"
"Alpha Cargo Services","Building 3691 Dar Ul Ulum Street , Al Thaghr District, Jeddah, Jeddah, 12499","","","https://www.freightnet.com/profile/170416.htm","No"
"MFS International Freight Forwarders","Ameera Building, King Khalid Road, PO Box 162 , Al Sharfiyah, Near NCB Bank, Jeddah, Saudi Arabia, 23216-2344","","","https://www.freightnet.com/profile/170691.htm","No"
"Unisevn Freight and Logistics","4th Floor, Arab Maritime Center, Seaport Road, Jeddah, Saudi Arabia, 22323","","","https://www.freightnet.com/profile/148254.htm","No"
"Logistics Worlds Shipping","King Khalid Road, Guriyat Disst , jeddah, Makkah, 21445","","","https://www.freightnet.com/profile/136533.htm","No"
"Hidabh khalej company","Omar ibnkhatab road alnozha dist , Buraydah, Buraydah qasem, Saudi Arabia, 51415","","","https://www.freightnet.com/profile/161846.htm","No"
"SEA PIONEERS SHIPPING COMPANY","Al Malaz Dist 12831- Al Huwari Street  , Postal Code 7755 kingdom of Saudi Arabia., Al Malaz Dist, Riyadh, 2195","","","https://www.freightnet.com/profile/169122.htm","No"
"ISRA Freight & Logistics","Saudi Business Center , Office# 118, Madinah Road, Jeddah, Saudi Arabia, 21442","","","https://www.freightnet.com/profile/112214.htm","No"
"PL Logistix Intl Est","Ibrahim Shaker, Street Baghdadiyah West  , 3rd floor, Office No: 301 Ashore Building, Jeddah, Makkah, 22234","","","https://www.freightnet.com/profile/170211.htm","No"
"SAT Logistics & Marine Services","Al Balad Dist , Jeddah, Saudi Arabia, 21312","","","https://www.freightnet.com/profile/65443.htm","No"
"Kerry Logistics Saudi Company Limited","PRINCE FAISAL BIN TURKI BIN ABDUL AZIZ ROAD , DABBAB STREET, MURABBA., RIYADH, RIYADH, 12613","","","https://www.freightnet.com/profile/163104.htm","No"
"SMART WAY LOGISTICS","Prince Mansour Street , Mohammed Ibn Saud, Dammam, Eastern Province Saudi Arabia, 12808","","","https://www.freightnet.com/profile/162974.htm","No"
