"name","address","phone","website","profileUrl","isPremiumMember"
"OBK LOGISTICS","Grand yoff, sicap foire, lot 42, DAKAR, dakar, 11500","772042682","https://obklogistics.com/","https://www.freightnet.com/profile/259312.htm","Yes"
"TRANSLOG SARL","SUD FOIRE CITE DES MAGISTRATS 102M VDN Dakar Senegal, DAKAR, SENEGAL, 99","+221771787680","http://www.translogsarl.com/","https://www.freightnet.com/profile/130067.htm","Yes"
"Comatrans","Point E , Dakar, dakar, 11241","","","https://www.freightnet.com/profile/266116.htm","No"
"HTL COMPANY LOGISTICS","dakar senegal , cices foire, dakar, dakar, 27148","","","https://www.freightnet.com/profile/167230.htm","No"
"3 TLS","Cité SHS villa 294 Golf Nord Guédiawaye , DAKAR, Sénégal, 00221","","","https://www.freightnet.com/profile/158359.htm","No"
"Genius Afrika Logistics","Est-Foire Route de l'aeroport , Dakar, Senegal, 15000","","","https://www.freightnet.com/profile/227354.htm","No"
"Quintal Group Co.LTD","2F/ Block B 2nd Building Tao Wan Industrial Zone Cha jiao Road Li Wan District  City , Guangzhou, China, 510010","","","https://www.freightnet.com/profile/234536.htm","No"
"senegal","sacre coeur 3 , dakar, senegal, 99000","","","https://www.freightnet.com/profile/202644.htm","No"
"AFRISIL GLOBAL FORWARDING LTD","Boulevard Fahd Ben Abdoul Aziz X, Autoroute Exchangeur Hann, Dakar, Senegal , Dakar, Dakar, Senegal, 10200","","","https://www.freightnet.com/profile/193840.htm","No"
"OLOGTRA","CITE DES MAGISTRATS VILLA 102M FOIRE VDN , DAKAR, SENEGAL, 0000","","","https://www.freightnet.com/profile/158912.htm","No"
"MATLOGS","Sicap Mbao villa N182 , Centre commercial 4C, Dakar, Senegal, 17000","","","https://www.freightnet.com/profile/158819.htm","No"
"Oma Logistics Senegal","Avenue Abdoulaye Fadiga, Immeuble Lahad M'backé, Mezzanine Block A , Dakar, Dakar, 14215","","","https://www.freightnet.com/profile/156156.htm","No"
"TRANSLOG SARL","LOT 32 OUEST FOIRE VDN DAKAR SENEGAL , DAKAR, SENEGAL, 0000","","","https://www.freightnet.com/profile/154914.htm","No"
"CSTT-AO / AFRILOG GROUP","Km 3,5 - BCCD - Dakar  , Senegal, Dakar, Senegal, 887","","","https://www.freightnet.com/profile/152748.htm","No"
"WORLD TRANS & LOGISTICS SENEGAL","RUE DU LIBAN X BRAZZA , DAKAR, SENEGAL, 00000","","","https://www.freightnet.com/profile/140303.htm","No"
"Aaroco Global Trans & Logistics Services Ltd","67, avenue Hassan II  BP 233   , Dakar, Senegal, 1200","","","https://www.freightnet.com/profile/144290.htm","No"
"BERKSHIRELOGISTICS","liberte 6 rond poinT JVC , DAKAR, DAKAR, 129","","","https://www.freightnet.com/profile/108358.htm","No"
"Africa 2000 Inc","Immeuble Fhad Ben Abdel Aziz , 3 Boulevard Djily Mbaye Suite 8 Lot 2, Dakar, Senegal,","","","https://www.freightnet.com/profile/6496.htm","No"
"sunmoon.forwardfreight","Ru 6 dakar , dakar, Senegal, 00221","","","https://www.freightnet.com/profile/115949.htm","No"
"TRANSLOG SENEGAL","translog2009@hotmail.fr , translogsenegal@hotmail.fr, DAKAR, DAKAR, 99","","","https://www.freightnet.com/profile/58652.htm","No"
"S T T M","42 av Faidherbe X Felex Eboué , Dakar, 28433","","","https://www.freightnet.com/profile/9327.htm","No"
"Air Trans International","38, Avenue El Hadj Malick Sy , Dakar,","","","https://www.freightnet.com/profile/5385.htm","No"
