"name","address","phone","website","profileUrl","isPremiumMember"
"DELAWARE SPEDITION","Sarajevska 59 , Bačko Dobro Polje, Vrbas, 21465","","","https://www.freightnet.com/profile/262766.htm","No"
"Rajmex doo","ZMAJA OD NOCAJA 2 DUVANISTE/LIPOLIST , Duvaniste, Sabac Serbia, 15305","","","https://www.freightnet.com/profile/249984.htm","No"
"General Transport doo","Janka Halkozovica 13 , Novi Sad, Serbia, 21000","","","https://www.freightnet.com/profile/181201.htm","No"
"DTL","Bul. Mihaila Pupina 10a , Belgrade, Serbia, 11000","","","https://www.freightnet.com/profile/152075.htm","No"
"IK Speditor","Augusta Cesarca 18 , Novi Sad, Serbia, 381","","","https://www.freightnet.com/profile/46256.htm","No"
"Across Company","Airport Belgrade, Cargo Warehouse 12 , Belgrade, Serbia, 11000","","","https://www.freightnet.com/profile/87436.htm","No"
"INTERTIR","Dusanova 26 , Smed. Palanka, Srbija,","","","https://www.freightnet.com/profile/8814.htm","No"
"Skuter","Kolovrat bb , skuterkargo@beotel.net, Prijepolje, Serbia, 31300","","","https://www.freightnet.com/profile/96282.htm","No"
"Land Trans","Obilicev Venac 78/52 , Nis, 18000","","","https://www.freightnet.com/profile/10329.htm","No"
"BECKO","Kraljice Marije 61 , Beograd, Serbia, 381","","","https://www.freightnet.com/profile/51322.htm","No"
"California Trade","Brane Cosica 5 , Belgrade, 11000","","","https://www.freightnet.com/profile/11532.htm","No"
"ASV d.o.o.","Kablarska 10 , Belgrade, 11000","","","https://www.freightnet.com/profile/982.htm","No"
"MILŠPED","Savski nasip 7 , Belgrade,","","","https://www.freightnet.com/profile/8377.htm","No"
"Elite Cargo Club","Kralja Petra 8 , Air-Cargo terminal, Aerodorm Beograd, Belgrade,","","","https://www.freightnet.com/profile/8637.htm","No"
"Ragaji Transport doo","Kralja Petra I 109 , Djurdjevo, 21239","","","https://www.freightnet.com/profile/9819.htm","No"
"Doo AS-Trans","Tatojevica 3 , Pozega, 31210","","","https://www.freightnet.com/profile/10302.htm","No"
"IK Speditor DOO","Zmaj Jovina 28, PC Lupus , Novi Sad, 21000","","","https://www.freightnet.com/profile/10690.htm","No"
"Balkan Cargo doo","131/10, Vojislava Ilica str , Belgrade, 11050","","","https://www.freightnet.com/profile/10736.htm","No"
"Mobil-PR","Bogiceviceva , 7/10, CaCak, Serbia, 32000","","","https://www.freightnet.com/profile/15059.htm","No"
