"name","address","phone","website","profileUrl","isPremiumMember"
"SELENITY TRADING AND LOGISTICS","166 Yengema Road, Koidu City , Koidu Office, Kono, Eastern Province of Sierra Leone, 00232","","","https://www.freightnet.com/profile/255636.htm","No"
"Eco Global Investment and Logistics company","Ibrahim D Antar Drive off Spur Road Freetown  , Freetown, Sierra Leone, 00232","","","https://www.freightnet.com/profile/260839.htm","No"
"Thorax Logistics (SL) Limited","65 Kissy Road, East Urban, Freetown  , Freetown, Sierra Leone, 00232","","","https://www.freightnet.com/profile/233026.htm","No"
"Hangama logistics (SL) Limited","26 Allen Town, Kissy Road, East Urban  , Kissy, Freetown, 00232","","","https://www.freightnet.com/profile/234228.htm","No"
"TransGlobal Travel & Logistics Ltd","110 Hospital Road , Kissy Dockyard, FREETOWN, WESTERN AREA, PO Box 90","","","https://www.freightnet.com/profile/160447.htm","No"
"RAJ SERVICES (SL) LTD","104 Mountain Cut Hillside Bypass , Freetown, Western Area (Freetown), 2202","","","https://www.freightnet.com/profile/227737.htm","No"
"Aaroco Global Trans & Logistics Services Ltd.","Deep Water Quay,  Cline Town,  Freetown , Freetown, Sierra Leone, 6300","","","https://www.freightnet.com/profile/144318.htm","No"
"Unimax SL LTD","31 Bathurst Street , Freetown, Sierra Leone, 232","","","https://www.freightnet.com/profile/111509.htm","No"
"Peninsular Innovative Group( shipping,freight forwarding, customs clearance)","40 Jenner Wright Road , Cline Town, Freetown, Freetown, 232","","","https://www.freightnet.com/profile/98745.htm","No"
"Swift integrated Services-sl","freetown , freetown, freetown, 232","","","https://www.freightnet.com/profile/57136.htm","No"
"PACIFIC FREIGHT COMPANY LIMITED SL","99 Mbana Road , Makeni Lunsar HWay, Makeni, Sierra Leone, 232","","","https://www.freightnet.com/profile/115147.htm","No"
