"name","address","phone","website","profileUrl","isPremiumMember"
"ACME Global Logistics (S) PTE","No. 9 Airlines Road, Cargo Agent Building D  , Singapore 819827, Singapore, Singapore, 819827","","","https://www.freightnet.com/profile/263408.htm","No"
"Shippit","30 Prinsep Street , Singapore, Singapore, 188647","","","https://www.freightnet.com/profile/243535.htm","No"
"Freight Forwarder Service","5 Upper Aljunied Link, #08-03 Quartz Industrial Building, Singapore 367903 , Singapore, Singapore, 367903","","","https://www.freightnet.com/profile/247766.htm","No"
"NISHAD LOGISTICS PTE. LTD.","66 TANNERY LANE , #01-04D SINDO BUILDING, SINGAPORE, SINGAPORE, 347805","","","https://www.freightnet.com/profile/231851.htm","No"
"AIRFRIGO","Unit 306, 45 Airport Cargo Road , Changi Airfreight Centre, Singapore, Singapore, 819478","","","https://www.freightnet.com/profile/145716.htm","No"
"Shipfly Shipping Services (S) Pte Ltd","19 Pandan Ave 01-08 , Sengkee Logistics Hub, singapore, singapore, 609388","","","https://www.freightnet.com/profile/182265.htm","No"
"Yatlye Airfreight Pte. Ltd","7 Airline Road #02-22 Cargo Agents Building E , Changi, Singapore, 819834","","","https://www.freightnet.com/profile/153745.htm","No"
"Saat Global","4008 Ang Mo Kio Ave 10 #01-18 , Singapore, Singapore, 569625","","","https://www.freightnet.com/profile/150831.htm","No"
"Sprint Logistics","10 Ubi Crescent , #03-55 ( Lobby C) Ubi Techpark, singapore, Singapore, 408564","","","https://www.freightnet.com/profile/117163.htm","No"
"Mac Cargo Pte Ltd","115 Airport Cargo Road , #02-30 Cargo Agent Building C, Singapore, Singapore, 819466","","","https://www.freightnet.com/profile/114187.htm","No"
"Global Express Logistics(S) Pte Ltd","87A frankel Avenue , Singapore, Singapore, 458215","","","https://www.freightnet.com/profile/105780.htm","No"
"Al-Barrak Singapore Intl Pte Ltd","14-03B Southpoint , 200 Cantonment Road, Singapore, Singapore, 089763","","","https://www.freightnet.com/profile/51391.htm","No"
"AKAL UPMA SINGAPORE PTE. LTD.","30-17 ANSOON ROAD iNTERNATIONAL PLAZA , SINGAPORE, SINGAPORE, 0000000","","","https://www.freightnet.com/profile/86218.htm","No"
"1ANY Logistics","bldg C , Unit 01 - 30 , Cargo agents bldg, Singapore, Singapore, 819466","","","https://www.freightnet.com/profile/58669.htm","No"
