"name","address","phone","website","profileUrl","isPremiumMember"
"JT International Freight Pte Ltd","9003 Tampines Street 93,  #02-180, Singapore, Singapore, 528837","97950941","https://jti.sg/","https://www.freightnet.com/profile/260453.htm","Yes"
"Gross Cargo Pte Ltd","9 Airline Road, #02-15 Cargo Agent Building D, Changi Airfreight Centre , Singapore, Singapore, 819827","65-65421056","","https://www.freightnet.com/profile/163635.htm","Yes"
"The Shipping Guys Pte Ltd","Singapore, Singapore, Singapore, 408564","+6584933606","http://www.shipping-guys.com/","https://www.freightnet.com/profile/259095.htm","Yes"
"Leading International Singapore Pte Ltd","2, Jurong East Street 21, #02-184 IMM Building, Singapore, Singapore, 609601","65-65383326","http://www.leadinginto.com/","https://www.freightnet.com/profile/163239.htm","Yes"
"Charter link pte ltd","10 Jalan Besar, #09-03, Sim Lim Tower, SINGAPORE, SINGAPORE, 208787","+65 91055177","http://www.charterlink.sg/","https://www.freightnet.com/profile/263179.htm","Yes"
"TIAN PAO SHIPPING PTE LTD","10, JALAN BERSAR , 10-03, SIM LIM TOWER, SINGAPORE, SINGAPORE, 208787","(65) 62976268","","https://www.freightnet.com/profile/85142.htm","Yes"
"Projects Cargoes Services (Pte.) Ltd","140 Paya Lebar Road, #05-24 AZ@Paya Lebar, Singapore, Singapore, 409015","+65-9648 1112","http://www.projectscargoes.com/","https://www.freightnet.com/profile/130776.htm","Yes"
"Alps Global Logistics Pte Ltd","21 Woodlands Close #04-46 Primz Bizhub, Singapore, Singapore, 737854","6710 4851","https://www.alps-global.com.sg/","https://www.freightnet.com/profile/134305.htm","Yes"
"AIRROWES GLOBAL PTE.LTD.","24 Sin Ming Lane #05-96, Midview City, Singapore, Singapore, 573970","+65 00000000","","https://www.freightnet.com/profile/254721.htm","Yes"
"MATRIX FREIGHT FORWARDERS PTE LTD","Block C Changi Airfreight centre , #02-32, singapore, singapore, 819466","+6592353670","https://matrixfreight.asia/","https://www.freightnet.com/profile/225242.htm","Yes"
"Rainbow Marlin Translogix Pte Ltd","35 SELEGIE ROAD, PARKLANE SHOPPING MALL, #10-01, Selegie, Singapore, 188307","+65 92479775","","https://www.freightnet.com/profile/260814.htm","Yes"
"ENTRUST FREIGHT AGENCIES PTE LTD","151 CHIN SWEE ROAD #12-01 MANHANTTAN HOUSE SINGAPORE 169876, SINGAPORE, SINGAPORE, 169874","+65 6748 2232","http://www.entrustfreight.com.sg/","https://www.freightnet.com/profile/116795.htm","Yes"
"PORTGLOBAL CARGO PTE LTD","02-95 Lucky Plaza 304 Orchard Rd.  , SINGAPORE, SINGAPORE, 238896","","","https://www.freightnet.com/profile/264074.htm","No"
"EZY Shipping Pte Ltd","55 Normanton Park #06-47 , Singapore, Singapore, 117283","","","https://www.freightnet.com/profile/252120.htm","No"
"CE GLOBAL NETWORK LLP","27 TREVOSE CRESCENT , SINGAPORE, SINGAPORE, 298042","","","https://www.freightnet.com/profile/202946.htm","No"
"CFI","1 Irving Place, The Commerze @ Irving #08-01 , Singapore, Singapore, 369546","","","https://www.freightnet.com/profile/135200.htm","No"
"SHARVAA SHIPPING LINES PTE LTD","10 ANSON ROAD , # 26-17 INTERNATIONAL PLAZA , SINGAPORE, SINGAPORE, SINGAPORE, 079903","","","https://www.freightnet.com/profile/259632.htm","No"
"Gateway Freight & Trade Pte Ltd","9 KAKI BUKIT RD 2 , #02-19 GORDON WAREHOUSE, singapore, SINGAPORE, 417842","","","https://www.freightnet.com/profile/262419.htm","No"
"Nishad Freight Forwarders Pte Ltd","56 Loyang Way, #3-15  , Singapore, Singapore, Singapore, 508775","","","https://www.freightnet.com/profile/243291.htm","No"
"Clarion shipping singapore","Clarion Logistics Holding Singapore Ltd. 101 Cecil Street, #13-08, Tong Eng Building, Singapore 069533 , -, -, -","","","https://www.freightnet.com/profile/264360.htm","No"
"UNITY COURIER SERVICES PTE LTD","UPPER DICKSON ROAD , SINGAPORE, SINGAPOERE, 207499","","","https://www.freightnet.com/profile/230436.htm","No"
"DJY Logistics (S) Pte Ltd","2 Venture Drive #17-01 Vision Exchange , Singapore, Singapore, 608526","","","https://www.freightnet.com/profile/246689.htm","No"
"Blu Era Pte Ltd","102E Pasir Panjang Road , #02-08, Singapore, Singapore, 118529","","","https://www.freightnet.com/profile/244213.htm","No"
"J&J FORWARDING PTE LTD","150 SOUTH BRIDGE ROAD #06-04A , FOOK HAI BUILDING, singapore, 058727","","","https://www.freightnet.com/profile/235831.htm","No"
"REVO LOGISTICS PTE LTD","59  Ubi Av 1 #07-04  , BIZLINK CENTER, SINGAPORE, SINGAPORE, 415979","","","https://www.freightnet.com/profile/237758.htm","No"
"CBG Logistics (S) Pte Ltd","10 Ubi Crescent , #03-48 Ubi Techpark (Lobby C), Singapore, Singapore, 408564","","","https://www.freightnet.com/profile/22146.htm","No"
"Rapha Shipping PTE LTD","10 Anson Road #10-11 International Plaza , Singapore, Singapore, 079903","","","https://www.freightnet.com/profile/86325.htm","No"
"Asia Logitrans Pte Ltd","110A Jalan Besar , Singapore, Singapore, 208830","","","https://www.freightnet.com/profile/242395.htm","No"
"Tri-Global  Logistics Pte  Ltd","111 North Bridge Road   , 21-01, Singapore, Singapore, 178098","","","https://www.freightnet.com/profile/156738.htm","No"
"SANCO LINE PTE LTD","NO 9  LITTLE ROAD , # 03-02 C, Singapore, singapore, 536985","","","https://www.freightnet.com/profile/22623.htm","No"
"Cargo NOVO Express Pte Ltd","Operations / Free Trade Zone Warehouse: CAB C #01-36  , Changi Airfreight Centre, Singapore, Singapore, 816466","","","https://www.freightnet.com/profile/158553.htm","No"
"NS international Pte Ltd","3 shenton way , Singapore, Singapore, 068805","","","https://www.freightnet.com/profile/243774.htm","No"
"AMG+ Services Pte Ltd","1093 Lower Delta Road #03-14 , Singapore, Singapore, 169204","","","https://www.freightnet.com/profile/193626.htm","No"
"RELIABLE INTERNATIONAL FREIGHTS PTE.LTD.","48 TOH GUAN ROAD EAST , #06-129 ENTERPRISE HUB, SINGAPORE, Singapore, 608586","","","https://www.freightnet.com/profile/148112.htm","No"
"Yat Lye Airfreight Pte Ltd","7 Airline Road  , #02-22 Cargo Agent Building E, Changi, Singapore, 819478","","","https://www.freightnet.com/profile/231787.htm","No"
"GenLogix Pte Ltd","11 Collyer Quay, #11-06 The Arcade , Singapore, Singapore, 541311","","","https://www.freightnet.com/profile/258214.htm","No"
"Faith Logistics Pte Ltd","No. 1 Bukit Batok Crescent , #03-36 Wcega Plaza, Singapore, Singapore, 658064","","","https://www.freightnet.com/profile/115260.htm","No"
"Ace Shines Logistics Pte Ltd","151 Chin Swee Road #07-15 , Manhattan House, Singapore, Singapore, 169876","","","https://www.freightnet.com/profile/81683.htm","No"
"Kings Global Services Pte Ltd","1 North Bridge Road #14-08 , High Street Centre, SINGAPORE, SINGAPORE, 179094","","","https://www.freightnet.com/profile/239080.htm","No"
"Clarion Logistics Holding Singapore PTE Ltd","#101, Cecil Street , Tong Eng Building, Singapore, Singapore, 069533","","","https://www.freightnet.com/profile/254640.htm","No"
"OneGlobe Consolidators (S) Pte Ltd","Cargo Agent Building C , 115 Airport Road, Singapore, Singapore, 819466","","","https://www.freightnet.com/profile/150495.htm","No"
"Hasten International Freight Pte Ltd","55 Serangoon North Avenue 4 S9 Building , #09-02A, Singapore, Singapore, 555859","","","https://www.freightnet.com/profile/161842.htm","No"
"Reliance Freight Agency","120 Lower Delta Road, #05-12 Cendex Centre , Singapore, Singapore, 169208","","","https://www.freightnet.com/profile/197903.htm","No"
"WYNSEA","Blk 405 Jurong West Street 42 , jesmond""at""wynsea.net, Singapore, Singapore, 640405","","","https://www.freightnet.com/profile/238110.htm","No"
"ZGIOBG","HENGYANG , HENYANG, HUNAN, 421200","","","https://www.freightnet.com/profile/252578.htm","No"
"Arian Worldwide Logistics Pte Ltd","No 2 Soon Wing Road,#04-09 Soon Wing Industrial Building , Singapore: 347893, Singapore, Singapore, 347893","","","https://www.freightnet.com/profile/98939.htm","No"
"N N GLOBAL LOGISTICS PTE LTD","NO 9  LITTLE ROAD , # 03-02 C, SINGAPORE, SINGAPORE, 536985","","","https://www.freightnet.com/profile/118620.htm","No"
"REAL TIME FORWARDING PTE LTD","#03-43/44 7 Keppel Road , Singapore, Singapore, 089053","","","https://www.freightnet.com/profile/251663.htm","No"
"WATERMAN FREIGHT LOGISTICS PTE LTD","18 BOON LAY WAY , TRADEHUB 21, SINGAPORE, REPUBLIC OF SINGAPORE, 609966","","","https://www.freightnet.com/profile/137576.htm","No"
