"name","address","phone","website","profileUrl","isPremiumMember"
"Yahway Line s.r.o.","Vysoka 12, Bratislava, Slovakia, 81106","+421 915 361 171","http://www.yahwayline.com/","https://www.freightnet.com/profile/157062.htm","Yes"
"ABONEX s.r.o.","Markusovska Cesta 1 , Spisska Nova Ves, Slovakia, 05201","","","https://www.freightnet.com/profile/6088.htm","No"
"Erfolg s.r.o.","Tovarenska 6 , Michalovce, Slovakia, 07101","","","https://www.freightnet.com/profile/140305.htm","No"
"TWE s.r.o.","Zahradna 960/2 , Most pri Bratislave, Slovakia, 90046","","","https://www.freightnet.com/profile/202542.htm","No"
"Unico Logistics Sk s.r.o.","Z.Kodálya 779/9 , Galanta, Slovakia, 92401","","","https://www.freightnet.com/profile/167199.htm","No"
"QCS-Quick Cargo Service, s.r.o.","Vajnorska 100/B , Bratislava, Slovakia, 83104","","","https://www.freightnet.com/profile/209408.htm","No"
"Stanislav Urík","Považská Teplá 292 , Považská Bystrica, Slovakia, 01705","","","https://www.freightnet.com/profile/150335.htm","No"
"US Trade CARGO, s. r. o.","Stred 69/64 , Považská Bystrica, Slovakia, 01701","","","https://www.freightnet.com/profile/146169.htm","No"
"FML Europe spol. s r.o.","844 , Moravský Svätý Ján, Slovakia, 90871","","","https://www.freightnet.com/profile/119630.htm","No"
"Maurice Ward & Co. s.r.o.","Stara Prievozska 2 , Bratislava, 821 09","","","https://www.freightnet.com/profile/19590.htm","No"
"Tirex","Nobelova 34 , P.O.BOX 46, Bratislava, SK-83003","","","https://www.freightnet.com/profile/1806.htm","No"
"DeutschMann s.r.o.","M.R.Stefanika 2329 , Trebisov, 07501","","","https://www.freightnet.com/profile/1297.htm","No"
"Cargo Trnava s.r.o.","Spartakovska 40 , Trnava, Slovakia, 91700","","","https://www.freightnet.com/profile/82115.htm","No"
"Eluma s.r.o.","Hurbanova 20 , Bardejov, 08501","","","https://www.freightnet.com/profile/900.htm","No"
"Hermes Sro","Priemyselna 248 , Ziar Nad Hronom, 96503","","","https://www.freightnet.com/profile/3319.htm","No"
"Ing.Marian Uhrin-MARIN","Liskova 1226 , Liskova, 03481","","","https://www.freightnet.com/profile/10406.htm","No"
"AWR spol. s r.o.","Bratislavska 56 , Galanta, 92400","","","https://www.freightnet.com/profile/10792.htm","No"
"Job Logistic","Letna 1905 , Hencovce, 09302","","","https://www.freightnet.com/profile/10899.htm","No"
"SETTO Slovakia","Jegorovova 35 , Banska Bystrica, 97401","","","https://www.freightnet.com/profile/12904.htm","No"
"TPF Forwarding Network (Slovakia)","Sabinovska 8 , Bratislava, Slovakia, 821 08","","","https://www.freightnet.com/profile/108538.htm","No"
