"name","address","phone","website","profileUrl","isPremiumMember"
"E-Logis international s.r.o. Branch Slovenia","Sermin 75f, Koper, Slovenia, 6000","0038641422415","https://www.linkedin.com/company/e-logis-international-s-r-o-slovenian-branch-office/","https://www.freightnet.com/profile/247057.htm","Yes"
"Mediašped d.o.o","Ferarska ulica , 30, Koper, Slovenia, 6000","","","https://www.freightnet.com/profile/266112.htm","No"
"CT DL s.p.","dol. Suhadol 42 , Dolenjska, NM,","","","https://www.freightnet.com/profile/7571.htm","No"
"Base d.o.o.","Ankaranska cesta 5 , Koper, Slovenia, 6000","","","https://www.freightnet.com/profile/154327.htm","No"
"Imperial Cargo, d.o.o.","Kolodvorska cesta 7 , Koper, Slovenia, 6000","","","https://www.freightnet.com/profile/263859.htm","No"
"MS-MS LOG d.o.o.","Pristaniška ulica 8,, Koper, Koper, 6000","","","https://www.freightnet.com/profile/212792.htm","No"
"JCP Europe Pvt. Ltd.","10 Anson Road , Singapore, Singapore, 1000","","","https://www.freightnet.com/profile/196958.htm","No"
"Aring plus d.o.o.","Ulica 15.Maja 16 , Koper, Slovenia, 6000","","","https://www.freightnet.com/profile/118525.htm","No"
"SLOVEN INTER d.o.o.","Kidriceva 38 , Celje, slovenia, 3000","","","https://www.freightnet.com/profile/196178.htm","No"
"Interlogis d.o.o.","Letališka cesta 16 , Ljubljana, Slovenia, SI-1000","","","https://www.freightnet.com/profile/23068.htm","No"
"ILG Adriatik d.o.o.","Ankaranska cesta 7B , Ankaranska cesta 7B, Koper, Slovenia, 6000","","","https://www.freightnet.com/profile/186238.htm","No"
"Combitrans Logistika d.o.o.","Zgornji Brnik 130E , Ljubljana airport, Slovenija, 4210","","","https://www.freightnet.com/profile/169423.htm","No"
"KUEHNE+NAGEL d.o.o.","Zgornji Brnik 130F , Brnik Aerodrom, Slovenia, 4210","","","https://www.freightnet.com/profile/54974.htm","No"
"Europacific d.o.o.","Ankaranska cesta 5 , Koper, Slovenia, 6000","","","https://www.freightnet.com/profile/48858.htm","No"
"Europacific d.o.o.","Ankarnska Cesta 5 , Koper, 6000","","","https://www.freightnet.com/profile/15155.htm","No"
"BLG CarShipping Koper d.o.o.","Ankaranska 5b , Koper, Slovenia, 6000","","","https://www.freightnet.com/profile/905.htm","No"
"ABC Logistika d.o.o.","Ankaranska cesta 7b , Koper, Slovenia, 6000","","","https://www.freightnet.com/profile/104384.htm","No"
"Trade Logistics","Ferrarska 30 , Koper, Slovenia, 6000 Koper","","","https://www.freightnet.com/profile/57813.htm","No"
"gamasol d.o.o.","lucan 10a , lucija, slovenija, 6320","","","https://www.freightnet.com/profile/117463.htm","No"
"INTERSERVICE D.O.O. KOPER","VOJKOVO NABREŽJE 38 , KOPER,, 6000","","","https://www.freightnet.com/profile/90744.htm","No"
"INTERSERVICE D.O.O. KOPER","AIRPORT LJUBLJANA , ZGORNJI BRNIK 130 D, BRNIK,, 4210","","","https://www.freightnet.com/profile/90766.htm","No"
"Maurice Ward Logistika","Poslovna Cona A12 , Šenčur, Slovenia, SI-4208","","","https://www.freightnet.com/profile/116224.htm","No"
"MAPOLOG D.O.O.","Markova ul. 65 , KOPER, slovenia, 6000","","","https://www.freightnet.com/profile/104342.htm","No"
"Pacorini Ltd d.o.o. Koper","Vojkovo nabrezje 32 , Koper, Slovenia, 6000","","","https://www.freightnet.com/profile/108479.htm","No"
"Transcar d.o.o.","Kandisjska cesta 60 , Novo mesto, Slovenia, 8000","","","https://www.freightnet.com/profile/2323.htm","No"
"Gebruder Weiss d.o.o.","Celovska 492 , Ljubljana, Slovenia, 1000","","","https://www.freightnet.com/profile/96182.htm","No"
"ALFA SP d.o.o.","Letališka cesta 16 , Ljubljana, -, 1000","","","https://www.freightnet.com/profile/49499.htm","No"
"BTC D.D.","Vojkovo Nabrezje 30A , P.O.Box 175, Koper, Slovenia, 6000","","","https://www.freightnet.com/profile/903.htm","No"
"Transfruit Forwarding, Transport & Shipping Agency Ltd","Vojkovo Nabrezje 38, Koper, 6000","","","https://www.freightnet.com/profile/908.htm","No"
"Transmar International Forwarders and Shipping Agency Ltd.","Vojkovo Nabrezje 30/a,, Koper, Slovenia, SI-6000","","","https://www.freightnet.com/profile/909.htm","No"
"Vektor D.D.","Motnica 11 Trzin, Branch Office Koper, Vojkovo Nabrezje 34, Ljubljana, Slovenia, 6000","","","https://www.freightnet.com/profile/911.htm","No"
"Pirš Trans d.o.o.","Borštnikova ul. 95 , Maribor, 2000","","","https://www.freightnet.com/profile/10112.htm","No"
"Feniksšped, d.o.o.","Zgornji Brnik 130e , Brnik-Aerodrom, 4210","","","https://www.freightnet.com/profile/21394.htm","No"
"VIT LOGISTIKA D.O.O., WIT Ltd.","LETALIŠKA CESTA 16 , LJUBLJANA, SLOVENIA, 1000","","","https://www.freightnet.com/profile/87190.htm","No"
