"name","address","phone","website","profileUrl","isPremiumMember"
"Soomal Shipping Agnecy","Sky one building street No 1, SOBBO BERBERA, Sky one building street No 1, SOBBO BERBERA, Berbera, Saahil, 00252BBO","+252638880262","https://soomalshippingagency.com/","https://www.freightnet.com/profile/260307.htm","Yes"
"Himalaya Logistics","Egal RD|near berbera gues house, berbera somaliland , Aj blaza building, near Ali jirde hotel, Hargeisa Somaliland, Berbera, Somaliland, WQ0001","00252634145695","","https://www.freightnet.com/profile/259860.htm","Yes"
"FGI SOLUTIONS","MIA, MOGADISHU, MOGADISHU, 22182","+252 61 6832953","http://www.fgi-africa.com/","https://www.freightnet.com/profile/221255.htm","Yes"
"SOMGLOBAL LOGISTICS","H35C+XHC, Road No 1, Hargeisa , Hargeisa, SOMALIA, 0000","","","https://www.freightnet.com/profile/264984.htm","No"
"saba shipping","Mansoor Building 1, Area Indha Deero Group, Berbera, Somaliland , Barbara, somalia, 00252","","","https://www.freightnet.com/profile/194797.htm","No"
"Akhsheed logistics","Via Liberia st  , Jeddah, Saudi Arabia, 11000","","","https://www.freightnet.com/profile/173235.htm","No"
"Top shipping and logistic Agencies","Makka Road kilo4 , Mogadishu Somalia, Mogadishu, somalia, 2561","","","https://www.freightnet.com/profile/150090.htm","No"
"Sahal Post & Logistics","Soofe Building, Galkacyo Somalia , Mataan Building, Hargaisa Somaliland, Bosaso, Puntland/Somalia, 25390","","","https://www.freightnet.com/profile/200125.htm","No"
"HOGOL CARGO","OMAR HASHI BUILDING, ROAD NO 1, 26 JUNE DISTRICT,, HARGEISA, HARGEISA, 00000","","","https://www.freightnet.com/profile/254091.htm","No"
"Soohan Group of Logistics and Procurement","Jigjiga yar-Hargeisa-Obsiiye Building-Room 106 , Hargeisa, Somalia, +2522","","","https://www.freightnet.com/profile/253990.htm","No"
"Global Gateway Shipping, Clearance and Logistics","Berbera Port, Area Yahye Hotel , Berbera, Berbera, Somaliland, 252","","","https://www.freightnet.com/profile/246075.htm","No"
"DELTA EXPRESS AFRICA","OPPOSITE OF EX- SHANEMA SOMALIA, MOGDISHU  , MOGDISHU, BANADIR, 400-00610","","","https://www.freightnet.com/profile/195552.htm","No"
"SAFEWAY SERVICE INTERNATIONAL GROUP","AIRPORT ROAD KM4 , MOGADISHU, SOMALIA, 001","","","https://www.freightnet.com/profile/243880.htm","No"
"Airsel Cargo","Main town. Hargeisa, Somaliland , Hargeisa, Somalia., Hargeisa, Somalia, 00252","","","https://www.freightnet.com/profile/233000.htm","No"
"KAAYKAAY LOGISTICS LTD","Mogadishu Somalia  , ADDAN ABDULLE INTERNATIONAL AIRPORT RAMP WAREHOUSE CARGO SITE (AAIA MGQ), Mogadishu Somalia, Banadir Somali, 252","","","https://www.freightnet.com/profile/204209.htm","No"
"Afrosomaliland integrated logistics","Hrg,Ik,Jigjiga yar Mansoor , Hargeisa, Somalia, +252","","","https://www.freightnet.com/profile/206757.htm","No"
"KAAYKAAY LOGISTICS","AAIA MGQ , ADDAN ABDULLE INTERNATIONAL AIRPORT RAMP WAREHOUSE CARGO SITE, Mogadishu, Banaadir Somalia, N/A","","","https://www.freightnet.com/profile/198277.htm","No"
"AMAANO SHIPPING INC","Oriental hotel - 26 june  , Hargeisa, 26 JUNE, 4442","","","https://www.freightnet.com/profile/171041.htm","No"
"AMAANO POST SERVICES","Oriental hotel - 26 june  , Hargeisa, somalia, 4442","","","https://www.freightnet.com/profile/170586.htm","No"
"Halheys","Madina , wadajir, Mogadishu, benadir, 252","","","https://www.freightnet.com/profile/170954.htm","No"
"Diamond Freight Forwarding","KM4, Maka AL mukarama Street Hodan District , Mogadishu, Somalia, 252","","","https://www.freightnet.com/profile/170583.htm","No"
"DYNAMIX LOGISTICS SERVICE","MOGADISHU , MOGADISHU, MOGADISHU, SOMALIA, 000100","","","https://www.freightnet.com/profile/170568.htm","No"
"Osoble Logistic Agency","Makkah Almukarramah Ave , Mogadishu, Somalia, +252","","","https://www.freightnet.com/profile/169013.htm","No"
"MAM Forwarding and Logistics Agency","Hargeisa, Somalia  , Hargeisa, Somalia, 00252","","","https://www.freightnet.com/profile/144454.htm","No"
"Easy transporters","sope road kilometer 5 , MUQDISHU, HODAN DISTRICT, P.O. BOX 97342","","","https://www.freightnet.com/profile/59101.htm","No"
