"name","address","phone","website","profileUrl","isPremiumMember"
"Ex-Aero Air Freight","60 Blackmore street , Eastdene, Middleburg, Mpumalanga, 1050","","","https://www.freightnet.com/profile/251782.htm","No"
"Customs Clearing","1002 Cargo Agents Building OR Tambo International Airport , Johannesburg, South Africa, 1604","","","https://www.freightnet.com/profile/203171.htm","No"
"DR Freight Agent","14 Doringboom street. Kempton park Johannesburg, South Africa. , Johannesburg, South Africa, 2000","","","https://www.freightnet.com/profile/252703.htm","No"
"All Gators Intelligent Logistics","15 Richard Drive Midrand  , Midrand, South Africa, 1682","","","https://www.freightnet.com/profile/249099.htm","No"
"www.hmff.co.za","52  Long street kempton park , 52 long street, kempton park, kempton park, Gauteng, south africa, 1620","","","https://www.freightnet.com/profile/174887.htm","No"
"Lucid freight Legacy","15 posh Manner  , Kempton park, South Africa, 1619","","","https://www.freightnet.com/profile/246255.htm","No"
"MANTAC IMPORT AND EXPORT","1019 10TH FLOOR NEW AGENT BUIDING OR TAMBO AIRPORT , KEMPTON PARK, SOUTH AFRICA, 1619","","","https://www.freightnet.com/profile/132009.htm","No"
"Mega Storage","PO Box 2416 , Florida, Roodepoort, South Africa, 1709","","","https://www.freightnet.com/profile/243552.htm","No"
"Yussuf And Sons","51 Saint avenue , City Of Johannesburg Metropolitan Municipality, South africa, 2092","","","https://www.freightnet.com/profile/241725.htm","No"
"SACO CFR (Pty) LTD","Unit A2 - CTX BUSINESS PARK  , CAPE TOWN AIRPORT, CAPE TOWN, SOUTH AFRICA, 7490","","","https://www.freightnet.com/profile/225853.htm","No"
"Metrix Freight","34 Heather Road , Leondale, GERMISTON, SOUTH AFRICA, 1424","","","https://www.freightnet.com/profile/151849.htm","No"
"JB Lois freight & logistics","1013 Agents Building,O R Tambo , O R Tambo international airport Johannesburg, Gauteng, Johannesburg, 1920","","","https://www.freightnet.com/profile/172724.htm","No"
"Charisfreightworld","11monument kempton park gauteng , N/a, Kempton park, Johannesburg, 1619","","","https://www.freightnet.com/profile/169817.htm","No"
"Watlec CC","34 Brickworks Way, Unit J, Nandi Park , Briardene, Durban, South Africa, 4051","","","https://www.freightnet.com/profile/149134.htm","No"
"Ntombenhle AIR FREIGHT (PTY) LTD","45 MUTARE CRESCENT ESANGWENI TEMBISA , JOHANNESBURG, SOUTH AFRICA, 1632","","","https://www.freightnet.com/profile/135916.htm","No"
"Smartdel Import and Export","Central house,Pretorius Street.Pretoria , Pretoria, South Africa, 0001","","","https://www.freightnet.com/profile/92106.htm","No"
"kpr clearing and fowarding (pty) Ltd","Office No. 1020 , New Agent Building Airport Cargo section, Johanneaburg, South Africa, 1619","","","https://www.freightnet.com/profile/127437.htm","No"
"ALPRIC AIR FREIGHT","66 The Vineyard , O Harris Road, Johannesburg, South Africa, 1619","","","https://www.freightnet.com/profile/83817.htm","No"
"Diamond Freight","Physical Address 2nd Floor Makem / Sanlam Building, 21 Margret Avenue Opposite McDonalds, Kempton Park, 1619 , Kempton Park, Gauteng, 1619","","","https://www.freightnet.com/profile/119469.htm","No"
"Emanto Airfreight and Projects","Suite207B Agent Building Cargo O.R Tambo International Kempton Park, Johannesburg South Africa , Kempton Aprk, South Africa, 2000","","","https://www.freightnet.com/profile/88638.htm","No"
"chabas logistic and project","NEW AGENTS BUILDING , OR TAMBO INTERNATIONAL AIRPORT, KEMPTON PARK, SOUTH AFRICA, 1632","","","https://www.freightnet.com/profile/118369.htm","No"
"Air Business >ogistics","Unit 32 , Sunnyrock Business Park, Germiston, Gauteng, 1600","","","https://www.freightnet.com/profile/117480.htm","No"
"Rand Airfreight Services(Pty)Ltd","62 Sable Street , Esther Park, Kempton Park, South Africa, 1619","","","https://www.freightnet.com/profile/81812.htm","No"
"Breakthrough Solutions","Unit 18 , Foreign Airlines Cargo Section, Johannesburg, South Africa, 1627","","","https://www.freightnet.com/profile/89978.htm","No"
"AVOTIEX","133 LYNDHURST ROAD LYNDHURST 2192 , JOHANNESBURG, RSA, 2192","","","https://www.freightnet.com/profile/51001.htm","No"
"chilos freight cc","office 1017 10th Floor new agents building O.R Tambo International Airport , kempton park, South Africa, n/a","","","https://www.freightnet.com/profile/110376.htm","No"
"Global Aviation and Management Services","Unit 24 Jan Smut Park , Jones Road, Kempton Park, Gauteng, 1645","","","https://www.freightnet.com/profile/93205.htm","No"
"Freight Masters","1015, Newagents building, OR Tambo Airport, Kempton park 1619, Johannesburg, South Africa. , Kempton Park, Gauteng, 1619","","","https://www.freightnet.com/profile/64037.htm","No"
