"name","address","phone","website","profileUrl","isPremiumMember"
"NGI4 Xpress","57 Umhlambezo Crl , Ntuzuma, Durban, Kwamashu, KwaZulu-Natal, 4359","","","https://www.freightnet.com/profile/258270.htm","No"
"Finalmile-Solution","96 Maple road , Pomona, Kempton Park, South Africa, 1619","","","https://www.freightnet.com/profile/245385.htm","No"
"Courier 600 SA PTY LTD","736 Dragon Street , Buhle Park, Germiston, South Africa, 1428","","","https://www.freightnet.com/profile/138998.htm","No"
"ELI-AIR FREIGHT AND LOGISTICS","503B AGENTS BUILDING,O.R TAMBO INTERNATIONAL AIRPORT , 2380 HLISO STREET,ORLANDO EAST,SOWETO, JOHANNESBURG, SOUTH AFRICA, ZAR","","","https://www.freightnet.com/profile/89909.htm","No"
"Falcon Express","17 Platina Drive , Kuleka, Empangeni, South Africa, 3910","","","https://www.freightnet.com/profile/187459.htm","No"
"LACE COURIERS SA PTY LTD","unite 10 burry koen street judd industrial park , unit 25, jet park, gauteng, 1469","","","https://www.freightnet.com/profile/172076.htm","No"
"tarmak","59 Chester road bryanston , South Africa, Select Home County, 2194","","","https://www.freightnet.com/profile/169985.htm","No"
"Runway Distributor","Thohoyandou,Unit E , Block G, Sibasa, South Africa, 0970","","","https://www.freightnet.com/profile/166951.htm","No"
"JB-Lois Freight & Logistics (pty) ltd","1010 Agent Building, OR Tambo Int Airport , Kempton Park, South Africa, 1619","","","https://www.freightnet.com/profile/147555.htm","No"
"millennium hardware","unit 2 Landsowne Junction , Corner Blomvlei & Jan Smuts Drive, Cape Town, South Africa, 7764","","","https://www.freightnet.com/profile/84065.htm","No"
"JB Express","06 Krone street, Worcester Industrial , Worcester, Western Cape, 6850","","","https://www.freightnet.com/profile/148346.htm","No"
"YZJ AFRICA","84 LAINGSBERG EASTVALE SPRINGS  , 84 LAINGSBERG EASTVALE SPRINGS, BENONI, South AFRICA, 1559","","","https://www.freightnet.com/profile/143267.htm","No"
"Fitlha Kgakala Transport","126 Rabotapi street Evaton North , 126 Rabotapi street Evaton North, Vereeniging, South Africa, +27","","","https://www.freightnet.com/profile/136441.htm","No"
"Mbandela Group (PTY) Ltd.","249 Belmont Road, Unit 12, Effingham Height, Durban North, KwaZulu-Natal , N/A, Durban, KwaZulu-Natal, 4051","","","https://www.freightnet.com/profile/127837.htm","No"
"Gantana Transport & Trading (PTY) Ltd","41 Schipol Road , The Hague, Cape Town, South Africa, 7100","","","https://www.freightnet.com/profile/119988.htm","No"
"PostMart","15 Tom Jones Street, Benoni, Johannesburg , Benoni, Johannesburg, 1501","","","https://www.freightnet.com/profile/109750.htm","No"
"Papajoe logistics cc","1 Du Toitspan Road (Corner House Building) , c/o Du Toitspan & Stockdale Road(2nd floor,Room 13), kimberley, south africa, 8301","","","https://www.freightnet.com/profile/53786.htm","No"
"Right Side Up Distribution","3 Stella Rd , Montegue Gardens, Cape Town, South Africa, 7441","","","https://www.freightnet.com/profile/93927.htm","No"
