"name","address","phone","website","profileUrl","isPremiumMember"
"Kevovo Logistics","Dubanville, Cape Town, Western Cape, 7550","0833912028","https://kevovo.com/","https://www.freightnet.com/profile/255349.htm","Yes"
"OKM PROJECTS PTY LTD","New Agents Building , O.R Tambo international, Johannesburg, South Africa, 1619","0671210318","http://www.okmprojects.co.za/","https://www.freightnet.com/profile/247872.htm","Yes"
"Daigon Best Clearing and Forwarding Agent","5A Main Road Eastleigh, Johannesburg, Gauteng, 1609","+27119721111","http://bestclearingandforwardingagent.com/","https://www.freightnet.com/profile/144317.htm","Yes"
"Boundless Link","100017 President Street, Zeerust, Zeerust, South Africa, za","+27790853810","http://message%20boundless%20link%20borderbuddy!%20on%20whatsapp.%20https//wa.me/27790853810","https://www.freightnet.com/profile/171425.htm","Yes"
"Mhlanga logistics","26,000 Thabiso ⚽️ Crescent , 26,000 Thabiso ⚽️ Crescent, Johannesburg, South Africa, 1519","","","https://www.freightnet.com/profile/260289.htm","No"
"V Tech Global Logistics","12 Daeraad Bonaero Park  , Kempton Park, South Africa, 1622","","","https://www.freightnet.com/profile/259155.htm","No"
"Spectrum Freight","Floor –3, 18 The Boulevard , Westway Office Park Westville, Durban, Kwazulu Natal, 3630","","","https://www.freightnet.com/profile/182187.htm","No"
"Harbour Freight Logistics","204 Chatsworth Main Road , Chatsworth, Durban, KwaZulu-Natal, 4092","","","https://www.freightnet.com/profile/222235.htm","No"
"Falcon Freight Pty Ltd","104 Mahatma Gandhi Road  , Falcon House, DURBAN, SOUTH AFRICA, 4001","","","https://www.freightnet.com/profile/149639.htm","No"
"insika-6CO PTY LTD","886 mike str , wattville, benoni, GAUTENG, 1516","","","https://www.freightnet.com/profile/211131.htm","No"
"In - Time Logistics","4 Angus Crescent , Longmeadow Business Park, Edenvale, Gauteng,SouthAfrica, 1609","","","https://www.freightnet.com/profile/117674.htm","No"
"Crosstrade Shipping","New Agents Building  , O.R Tambo, Johannesburg, South Africa, 1619","","","https://www.freightnet.com/profile/157270.htm","No"
"Customs Clearing Agents.","International Trade Management.  , 285/3 West Street, Kempton Park, South Africa, 1619","","","https://www.freightnet.com/profile/100971.htm","No"
"ARS Logistics PTY LTD","Parkiet Ave , Birch Acres Ext 3, Gauteng, 1619","","","https://www.freightnet.com/profile/134680.htm","No"
"Global Net Cargo","Office 3A Hermia Hof  , Long Street, Johannesburg, South Africa, 1620","","","https://www.freightnet.com/profile/146334.htm","No"
"mantac import and export","Office No1019  10th floor New Agent building OR Tambo Airport , Johannesburg, South Africa, 1619","","","https://www.freightnet.com/profile/98291.htm","No"
"Anamar Freight Service","57 Monty Naicker St , Durban, Kwazulu Natal / South Africa, 4001","","","https://www.freightnet.com/profile/117934.htm","No"
"ProClear Customs Brokers & Consultants","Highgate , Sunny Road, Benoni, South Africa, 1501","","","https://www.freightnet.com/profile/113264.htm","No"
"international clearances","639 ansary st , actonville, jhb, gauteng, 1506","","","https://www.freightnet.com/profile/106411.htm","No"
"DRA Customs Clearing & Forwarding","Section AA, Golf Air Park , Modderdam Road, Cape Town, Western Cape, 7460","","","https://www.freightnet.com/profile/13992.htm","No"
"Virgo Storage","27 Klipkop AH , Pretoria, Gauteng,","","","https://www.freightnet.com/profile/22523.htm","No"
