"name","address","phone","website","profileUrl","isPremiumMember"
"GETSHI LOGISTICS (PTY) LTD","40 Elm Road, Moseley Park, 40 Elm road, Moseley Park, Moseley Park, PINETOWN, SOUTH AFRICA, 3610","0310230745","https://www.getshi.com/","https://www.freightnet.com/profile/223308.htm","Yes"
"Afrimed Shipping Pty (Ltd)","156 Gray Park road, Bluff, Brighton Beach, Durban, Kwa-zulu Natal/South Africa, 4052","0713453421","http://www.afrimedshipping.co.za/","https://www.freightnet.com/profile/187033.htm","Yes"
"Emaris Freight","145 6th road montana, Pretoria, Gauteng/South Africa, 0182","0739204715","","https://www.freightnet.com/profile/231276.htm","Yes"
"Bonacia Holdings Pty Ltd","8 Oak Avenue, Kempton Park, South Africa, 1619","T: +27106342629 M:+27790289940","https://www.bonaciaholdings.co.za/","https://www.freightnet.com/profile/223065.htm","Yes"
"Cargo Shippers Pty Ltd","BRONS Street , Gauteng Business Park, Olifansfontein, South Africa, 1666","+27691930064","http://www.cargoshippers.co.za/","https://www.freightnet.com/profile/252497.htm","Yes"
"Multi Freight Services","Freight Park, Cape Town, South Africa, 8000","0027(0)825549395","http://www.multifreight.co.za/","https://www.freightnet.com/profile/48846.htm","Yes"
"Sterdts","Willow Wood, 220 3rd Street, Chartwell, South Africa, Johannesburg, Gauteng, 2055","+27 87 057 2777","https://www.sterdts.co.za/","https://www.freightnet.com/profile/264223.htm","Yes"
"Logistics 4 Africa","Suite 2B, 2 Rydallvale Park, Rydallvale Crescent, La Lucia Ridge, UMHLANGA, KwaZulu-Natal, 4001","0764130277","http://www.l4a.co.za/","https://www.freightnet.com/profile/257396.htm","Yes"
"SNK Consulting & Logistics","Johannesburg; Durban; Cape Town, East London; Port Elizabeth, Bloemfontein, South Africa, 1525","+27119745434","http://www.snkconsulting.co.za/","https://www.freightnet.com/profile/113211.htm","Yes"
"Nexlog pty ltd","90 Harfield road, Cape Town, Western Cape, 7708","+27 21 7614508","http://nexlog.co.za/","https://www.freightnet.com/profile/236976.htm","Yes"
"Zonke Shipping & Logistics Pty Ltd","Terrace , Edenvale, South Africa, 1610","0615583291","http://www.zonkelogistics.co.za/","https://www.freightnet.com/profile/205836.htm","Yes"
"Fleetpost Express International","14 BUREAU LANE PRETORIA CENTRAL, Rentbel Towers, Pretoria, Gauteng, 0002","+27 12 306 8028","http://www.fleetpostexpress.com/","https://www.freightnet.com/profile/195750.htm","Yes"
"Cargo Forwarding Solutions (Pty) Ltd","Unit 52, Pomona Junction, Boncreation Street, Kempton Park, Johannesburg, 1619","0103126759","http://www.cargoforwarding.co.za/","https://www.freightnet.com/profile/182373.htm","Yes"
"EKKLESIA SHIPPING (PTY) LTD","8 Greenwich Crescent, Malvern, Durban, Kwazulu-Natal, 4093","+27837858094","http://www.ekklesiashipping.co.za/","https://www.freightnet.com/profile/158090.htm","Yes"
"FIRST AFRICA LOGISTIC","23 , KELLY ROAD, BOKSBURG, SOUTH AFRICA, 1415","+27615057275","http://www.firstafricalogistic.co.za/","https://www.freightnet.com/profile/246027.htm","Yes"
"SIYA Forwarding and Clearing (PTY) LTD","98 Perel street, Rayton, Gauteng, 1001","+27 79 799 3486","http://www.siyafc.co.za/","https://www.freightnet.com/profile/180864.htm","Yes"
"RSA Global Fowarding","81 Pomona Road, Pomona, Kempton Park, South Africa, 1619","+27 (0) 10 312 5148","http://www.rsaglobalforwarding.co.za/","https://www.freightnet.com/profile/141349.htm","Yes"
"MEKLUC FREIGHT","15 SABLE STREET, ESTHER PARK, JOHANNESBURG, SOUTH AFRICA, 1619","0119761837 / 0837456483","https://www.mekluc.co.za/","https://www.freightnet.com/profile/134716.htm","Yes"
"Dare Freight Services","38 Commercial Road, 38 Commercial Road, Durban, South Africa, 4001","+27 65 075 1595","http://www.darefreightservices.co.za/","https://www.freightnet.com/profile/140216.htm","Yes"
"OnWard GTS","601 Doctor Van Der Merwe Road, 1414 Parkland Estate, 1414 Parkland Estate, Pretoria, Gauteng, 0151","0607516245","https://www.onwarddelivary.my.canva.site/onward","https://www.freightnet.com/profile/252979.htm","Yes"
"RST Logistics PTY Ltd","130 Garmouth Avenue , Ocean view, Durban, 4052","0027612230661","","https://www.freightnet.com/profile/180536.htm","Yes"
"Point Mokone Logistics Services","Kempton park , Kempton Park, South Africa, 1619","+27782613763","","https://www.freightnet.com/profile/249607.htm","Yes"
