"name","address","phone","website","profileUrl","isPremiumMember"
"SAF Customs Consultants","52 Roy Road , Lansdowne, Cape Town, South Africa, 7780","","","https://www.freightnet.com/profile/150994.htm","No"
"Mekluc Freight","52 Loper Avenue , Spartan, Gauteng, South Africa, 1619","","","https://www.freightnet.com/profile/172444.htm","No"
"MAZINO CONCEPT (PTY) LTD LOGISTICS","Suite 1000B, 10th Floor, New Agent Building , OR Tambo International Airport, Johannesburg, Gauteng, 1619","","","https://www.freightnet.com/profile/155248.htm","No"
"Manlo Freight (PTY) LTD","23 Tulleken Street , Berea Park, Pretoria, South Africa, 0002","","","https://www.freightnet.com/profile/151233.htm","No"
"Hazardous Goods Logistics","Pillair Business Park , Manhattan Road, Cape Town, South Africa, 7429","","","https://www.freightnet.com/profile/140719.htm","No"
"Olado Global Cargo","New Agent Building kempton park,5th floor, No 516 . , Cargo, Johannesburg, Gauteng / South Africa, 2398","","","https://www.freightnet.com/profile/148442.htm","No"
"HM Investment Holdings PTY  Ltd","377Rivonia Boulevard , Sandton, South Africa, 2196","","","https://www.freightnet.com/profile/114247.htm","No"
"new horizon freight solutions","office no 3, point bastille, Durban, Kwazulu-Natal/South Africa, 4001","","","https://www.freightnet.com/profile/140265.htm","No"
"I W CARGO AND FREIGHT SERVICES","511 NEW AGENTS BUILDING , OR TAMBO INTERNATIONAL AIRPORT, JOHANNESBURG, SOUTH AFRICA, 1619","","","https://www.freightnet.com/profile/131994.htm","No"
"BAC","4 Neserton Drive  , Isandovale, Johannesburg, Gauteng, 1619","","","https://www.freightnet.com/profile/21102.htm","No"
"Aviation GSA International Pty Ltd","20A Albatross Str , Rhodesfield, Kempton Park, Gauteng,","","","https://www.freightnet.com/profile/19072.htm","No"
