"name","address","phone","website","profileUrl","isPremiumMember"
"Veraux","17 , Toledo Road, Cape Town, South Africa, 7490","","","https://www.freightnet.com/profile/262143.htm","No"
"Lope Transport","copper lane , Clayville, Olifantsfontein, Midrand, Gauteng, 1666","","","https://www.freightnet.com/profile/265878.htm","No"
"Aron Transport Services","41 Boxer Street , 41 Boxer Street, Randburg, Johannesburg South Africa, 2172","","","https://www.freightnet.com/profile/262933.htm","No"
"BKM PROJECTS","69 Ganymede street , Mashemong section, Tembisa, South Africa, 1632","","","https://www.freightnet.com/profile/262553.htm","No"
"Geofit Pty Ltd","49 Road 715 Montford Chatsworth Durban , Durban, South Africa, 4001","","","https://www.freightnet.com/profile/259848.htm","No"
"Freight Solutions","19 Chevrolet Street , Port Elizabeth, South Africa, 6008","","","https://www.freightnet.com/profile/259442.htm","No"
"Supernova Logistics","203 Ouklip road helderkruin Roodepoort  , 203 Ouklip road helderkruin Roodepoort, Johannesburg, South Africa, 1709","","","https://www.freightnet.com/profile/258955.htm","No"
"Supernova Logistics","203 Ouklip road helderkruin Roodepoort  , 203 Ouklip road helderkruin Roodepoort, Gauteng, South Africa, 1709","","","https://www.freightnet.com/profile/258956.htm","No"
"Concorde logistics cc","Concorde House , 3 viking way airport office park, germiston, gauteng, 1400","","","https://www.freightnet.com/profile/140162.htm","No"
"VS Logistics And Freight","06 Loopwest ,Newlands West , Hillgrove, Durban, South Africa, 4037","","","https://www.freightnet.com/profile/106819.htm","No"
"R G LUCAS PTY LTD","58/1 Jochem Street , Moreleta Park, Pretoria, South Africa, 0186","","","https://www.freightnet.com/profile/225224.htm","No"
"AM2PM Logistics","29 Range Road , Wimbledon Estate, CapeTown, South Africa, 8000","","","https://www.freightnet.com/profile/248765.htm","No"
"Concargo Global Logistics (Pty) Ltd","6 Tierberg Road , Parow, Cape Town, Johannesburg, 7500","","","https://www.freightnet.com/profile/60389.htm","No"
"Z and L logistics","602 tshabangu street  , Thokoza , alberton, Alberton, South Africa, 1426","","","https://www.freightnet.com/profile/243908.htm","No"
"SDS AFRICA SOLUTIONS","215 WATSONIA ROAD. BLUFF.  , DURBAN, KWAZULU NATAL, 4052","","","https://www.freightnet.com/profile/242794.htm","No"
"Runway Trading Logistics","26 Manchester Road  , Benoni, South Africa, 1501","","","https://www.freightnet.com/profile/242802.htm","No"
"Aviel Africa","28 Gladstone avenue  , De beers, Kimberley, South Africa, 8301","","","https://www.freightnet.com/profile/231605.htm","No"
"BA-Lulu 9 Transport","71 , School road, Amanzimtoti, South Africa, 4126","","","https://www.freightnet.com/profile/229282.htm","No"
"Talitha Koum Comminications and Logistics","Unit 12` , Santavo Estate, kempton park, South Africa, 1619","","","https://www.freightnet.com/profile/205719.htm","No"
"Axeman transport","150 Greenstone Gate Cnr Modderfontein and Hereford Road  , Johanesburg, Gauteng, 1609","","","https://www.freightnet.com/profile/192832.htm","No"
"Advie Logistics","175 Queen Street, Kensington, Johannesburg, South Africa — Gauteng, 2094","","","https://www.freightnet.com/profile/156699.htm","No"
"Wright logistics","60 main road Malvern , Durban, South Africa, 4093","","","https://www.freightnet.com/profile/182600.htm","No"
"GB Freight Solutions (Pty) Ltd","Brackenfell , Po Box 1746, Brackenfell, Brackenfell, South Africa, 7560","","","https://www.freightnet.com/profile/182486.htm","No"
"ITMNP Logistics","13 C Luke  Heights / 1 Beaufort er Street,  Rhodesfield, Kempton Park  , 13 c Luke Heights / 1 Beaufort er Street, Rhodesfield,  Kempton Park, Kempton Park, Gauteng  /South Africa, 1619","","","https://www.freightnet.com/profile/173103.htm","No"
"Container Movers","Sunninghill , Johannesburg, South Africa, Johannesburg, Gauteng, South Africa, 2157","","","https://www.freightnet.com/profile/155982.htm","No"
"Leeton Trans CC","407 Andrew Zondo Road , Amanzimtoti, Durban, Kwazulu Natal, 4126","","","https://www.freightnet.com/profile/140898.htm","No"
"AWESOME LOGISTICS","123 COLLIN PAUL , 11 VILLA ROSA, Kempton Park, GAUTENG, 1619","","","https://www.freightnet.com/profile/154857.htm","No"
"Calytrix (Pty) Ltd","126 14th Road , Noordwyk, Midrand, Gauteng, 1685","","","https://www.freightnet.com/profile/160624.htm","No"
"Freight Split","Modderfontein Industrail Complex , Letahbong, Johannesburg, South Africa, 2000","","","https://www.freightnet.com/profile/153748.htm","No"
"African Transport Operations Agency","Unit 410 MSK House , Cnr Buitengracht and Riebeek Streets, Cape Town, Western cape, 8001","","","https://www.freightnet.com/profile/153655.htm","No"
"Alert Logistics","42 Charrow Saratoga Ave , New Doornfontein, Johannesburg, South Africa, 2094","","","https://www.freightnet.com/profile/152336.htm","No"
"Paradigm logistics services","22 abdol street laingville st helena bay , 22 abdol street laingville st helena bay, Kuilsriver, Western cape, 7100","","","https://www.freightnet.com/profile/152144.htm","No"
"AIR MARINE AFRICA GLOBAL LOGISTICS PTY LTD","225 Musgrave Road ,Durban ,South Africa  , Zambia, Durban, South Africa, 4001","","","https://www.freightnet.com/profile/145480.htm","No"
"Wort Logistics (Pty) Ltd","No 1 Bridgeway Road , Century City, Cape Town, South Africa, 7550","","","https://www.freightnet.com/profile/144632.htm","No"
"Riskfree Logistics pty ltd.","37 Furness Avenue , Berea, Durban, Kwazulu Natal, 4001","","","https://www.freightnet.com/profile/142087.htm","No"
"Forbay Transport and Logisitics","7 Inwabi Village , 81 Inwabi road, Durban, South Africa, 4133","","","https://www.freightnet.com/profile/138026.htm","No"
"Mtolo ka Qheke Trading cc","B206 CLERMONT RD, PINETOWN 3610  , 14 Goodhope close, Westrich Newlands West, Durban, South Africa, 4000","","","https://www.freightnet.com/profile/134325.htm","No"
"CZTM Logistics","6 Behanjo , Neethling Street, Klerksdorp, North-West, 2571","","","https://www.freightnet.com/profile/132938.htm","No"
"GRINDROD INTERMODAL","201 EDWIN SWALES DRIVE , BLUFF, DURBAN, SOUTH AFRICA, 4001","","","https://www.freightnet.com/profile/118773.htm","No"
"EBRA-Link Logistics (PTY) LTD","12 Granville Road , Lea Glen, Johannesburg, South Africa, 1709","","","https://www.freightnet.com/profile/112207.htm","No"
"Karoo Transport","114 church street kempton Park , KEMPTON pARK, SOUTH AFRICA, 0027","","","https://www.freightnet.com/profile/102520.htm","No"
"JVC FREIGHT CARRIERS","73 RIDGEFONDE , UMHLANGA, SOUTH AFRICA, 4001","","","https://www.freightnet.com/profile/106341.htm","No"
"NJL Trinity (Pty) Ltd","okapi 8 , Bloemfontein, South Africa, 9301","","","https://www.freightnet.com/profile/102574.htm","No"
"Icedlogistics","Gauteng RSA Eastrand , Westerncape RSA, Westerncape, RSA, 7357","","","https://www.freightnet.com/profile/92242.htm","No"
"Concargo Global Logistics (Pty) Ltd","Airport City , Cape Town, South Africa, 7550","","","https://www.freightnet.com/profile/60363.htm","No"
"Perkins Logistics","Pettit & Milner Rd , Germiston, Germiston, Gauteng, 1402","","","https://www.freightnet.com/profile/49730.htm","No"
"Freightsolve Pty Ltd","1001 Electron Place, 52 Electron Avenue , Isando, Johannesburg, Gauteng, 1600","","","https://www.freightnet.com/profile/22212.htm","No"
"BISH LOGISTIX","9 SINDEN AVENUE, RANDPARK RIDGE., JOHANNESBURG, GAUTENG, 2169","","","https://www.freightnet.com/profile/107739.htm","No"
"JNtransport","N63 10th avenue orange groove , N42 eden road bramley, Johannesburg, south africa, 2194","","","https://www.freightnet.com/profile/132037.htm","No"
