"name","address","phone","website","profileUrl","isPremiumMember"
"Sunbrite Logistics","3 carter street , delporton, krugersdorp, 1739","","","https://www.freightnet.com/profile/252702.htm","No"
"Stor-Age Century City","10 Edison Way, Century City , Cape Town, Western Cape, 7441","","","https://www.freightnet.com/profile/245130.htm","No"
"Any removals","2 Judith St , Johannesburg, South africa, 2198","","","https://www.freightnet.com/profile/193809.htm","No"
"Atlanta Removals & Logistics","67 Dartnell Road , 67, Pietermaritzburg, Kwazulu-Natal, 3200","","","https://www.freightnet.com/profile/147158.htm","No"
"OAKES LOGISTICS (Pty) Ltd","P O Box 220 , Roodepoort, SOUTH AFRICA, 1709","","","https://www.freightnet.com/profile/139990.htm","No"
"Crown Relocations","11 Power Drive , Durban, KwaZulu-Natal, 4115","","","https://www.freightnet.com/profile/119689.htm","No"
"SD TRANS FREIGHT International Removals and Freight Forwarding","659 van der Hoff Road , Pretoria, SOUTH AFRICA 2010 Ready !, Imbound Outbond Covering Angola Botswana Lesotho Malawi Mozambique Namibia Swaziland Zambia Zimbabwe","","","https://www.freightnet.com/profile/23802.htm","No"
"Rekwele Removals Pty Ltd","200, Thompson and Church Street , Colbyn, Pretoria, South Africa, 0001","","","https://www.freightnet.com/profile/49839.htm","No"
"Crown Relocations","No 1 Drakensberger Drive , Longmeadow Business Estate, Johannesburg, Johannesburg, n/a","","","https://www.freightnet.com/profile/113923.htm","No"
"Crown Relocations","31 Nourse Avenue , Epping 2 Goodwood, Cape Town, Western Cape, 7460","","","https://www.freightnet.com/profile/117556.htm","No"
