"name","address","phone","website","profileUrl","isPremiumMember"
"GELUS VECTOR CICA SLU","Av jose de garate 9, C, Coslada, Madrid, 28823","34629851179","https://www.cicacorp.com/","https://www.freightnet.com/profile/257460.htm","Yes"
"BUTRANSA, S.A.","PI ZONA FRANCA, SECTOR E CALLE L N2, BARCELONA, SPAIN, 08040","+34 932 237 790","http://www.butransa.es/","https://www.freightnet.com/profile/196249.htm","Yes"
"ATranslog Overseas","Translog Overseas Building, Avda. Aragon, 336, Madrid, Barcelona, Valencia, Bilbao, Algeciras,","34-902-104-116","http://www.translogoverseas.es/","https://www.freightnet.com/profile/100409.htm","Yes"
"Levante World Cargo, S.L.","Fusters, 9, Alaquas, Valencia, 46970","0034961228878 / 0034609492788","http://www.levantecargo.com/","https://www.freightnet.com/profile/133815.htm","Yes"
"PACK2SEND SA","Carretera Nacional VI, Bergondo, Spain,","+34673549349","","https://www.freightnet.com/profile/203705.htm","Yes"
"Kaido Logistics","Calle Rafael Calvo 31, Madrid, Madrid, 28010","+346768604536","http://kaido-logistics.com/","https://www.freightnet.com/profile/260726.htm","Yes"
"Almar Iberia SL","C/Aribau, 58 , PR 3, Barcelona, Spain, 08011","","","https://www.freightnet.com/profile/141742.htm","No"
"Global Trading & Forwarding Company","Alcazaba Beach , Estepona, Malaga, 29680","","","https://www.freightnet.com/profile/9403.htm","No"
"ACIRFA SHIPPING INTERNATIONAL","Moll de Sant Bertran 3, 1ª Planta , Terminal Trasmed, Barcelona, Barcelona, 08002","","","https://www.freightnet.com/profile/97530.htm","No"
"WillMove Worldwide SL","P.I. Neinor Henares , Neinor Henares Nave 2, Edificio 11, Meco, Madrid, 19174","","","https://www.freightnet.com/profile/13078.htm","No"
"EnvioxEnvio","Torre Mapfre, Carrer de la Marina, 16-18, Planta 27, Sant Martí, 08005 Barcelona , barcelona, spain, 08005 Barcelona","","","https://www.freightnet.com/profile/255516.htm","No"
"INTEGRATED SERVICE SOLUTIONS GLOBAL FORWARDING SPAIN, S.L.","c/ Julián Camarillo, 29, Edif 5, 2º derecha , MADRID, SPAIN, 28037","","","https://www.freightnet.com/profile/224895.htm","No"
"Kind port logistics S.L.","Plaza Mayor, 15. Entresuelo E , Elda, Valencia, 03600","","","https://www.freightnet.com/profile/231203.htm","No"
"CONSIGNACIONES MARITIMAS INTERNACIONALES, S.A.","DOCTOR J.J. DOMINE, 18 , VALENCIA, SPAIN, 46011","","","https://www.freightnet.com/profile/135284.htm","No"
"GLC GLobal Logistics Cargo","Av. Enric Valor #3 suite 209B, Burjassot  , Valencia, Spain, 46100","","","https://www.freightnet.com/profile/162296.htm","No"
"Quality Forwarding SL","Calle Juan Bautista Perales , nº 23 entresuelo, Valencia, Spain, 46022","","","https://www.freightnet.com/profile/213800.htm","No"
"GTFCO (Global Trading & Forwarding Company S.L.","Costa del Sol , Estepona, Malaga, 29680","","","https://www.freightnet.com/profile/18108.htm","No"
"Intercop S.L. Shipping Agency","O.P.D.R., S/N , Las Palmas de Gran Canaria, Canary Islands, 35008","","","https://www.freightnet.com/profile/166614.htm","No"
"MINISPED, S.L.","CARRER GREMIS 12-A , P.I. L' ALTER, ALCASSER, SPAIN, 46290","","","https://www.freightnet.com/profile/113917.htm","No"
"Transhipping S.A.","Avda.Paral.Lel 21 , , Barcelona, 08004","","","https://www.freightnet.com/profile/2516.htm","No"
"Mundi Est 93, S.L.","Pg. Colom, 23, 1-2 , , Barcelona, 08002","","","https://www.freightnet.com/profile/2937.htm","No"
"Abbidec Global SL","Sagarminaga Kalea, 5 Bilbao  48004 Spain , Bilbao, Spain, 48004","","","https://www.freightnet.com/profile/203319.htm","No"
"IC MARITIME","Avenida de la Industria, 52, COSLADA MADRID , MADRID, SPAIN, 28823","","","https://www.freightnet.com/profile/199312.htm","No"
"RLC","Carrer Sant Ferran 40 , Sabadell, Barcelona, 08205","","","https://www.freightnet.com/profile/192933.htm","No"
"Butransa S.A.","C/Pedrosa A, 50 , Pol.Ind. Gran Via Sur, L, Barcelona, 08908","","","https://www.freightnet.com/profile/3477.htm","No"
"Salvat Logistica","Atlántic 102 - 110 , Barcelona, Spain, 08040","","","https://www.freightnet.com/profile/148048.htm","No"
"COSMOPARTNER, S.A.","Lo Gaiter del Llobregat, 141-143 , P.I. Estruch, El Prat de Llobregat, Barcelona, 08820","","","https://www.freightnet.com/profile/183221.htm","No"
"Transocean Transits S.L.","Fuente Podrida 15 bajo , , Valencia, 46011","","","https://www.freightnet.com/profile/940.htm","No"
"La Palma Logistik","Apartado 550 , Canary Islands Forwarder, Los Llanos de Aridane, Santa Cruz de Tenerife, 38760","","","https://www.freightnet.com/profile/1530.htm","No"
"ESHIPPIG","AVDA. PUERTO 2 -5  , CADIZ, SPAIN, 11006","","","https://www.freightnet.com/profile/171575.htm","No"
"MOLDTRANS","C/ Valencia 231, 2º 4ª , BARCELONA, CATALUÑA / SPAIN, 08007","","","https://www.freightnet.com/profile/166939.htm","No"
"AM CARGO BARCELONA","TERMINAL CARGO AEROPUERTO  , OF. A-206, el prat de llobregat , barcelona, spain, 08820","","","https://www.freightnet.com/profile/168603.htm","No"
"Bekker Logistica","Carrer de L\'Arpa 28 , Alicante, Alicante, 03699","","","https://www.freightnet.com/profile/139346.htm","No"
"MOVILPAQ FORWARDING","Edificio servicios generales ofc 310 Barajas Airport , Iska de San Martin mº 4, MADRID, SPAIN, 28660 BOADILLA DEL M","","","https://www.freightnet.com/profile/161424.htm","No"
"Air Express Cargo","Apt. Madrid Barajas - Centro de Carga Aérea   , Edificio Servicios Generales Ofi 307, Madrid, Spain, 28042","","","https://www.freightnet.com/profile/160179.htm","No"
"QUALITY FORWARDING SL","C/ Juan Bautista Perales 23 Entlo , Valencia, Spain, 46022","","","https://www.freightnet.com/profile/150783.htm","No"
