"name","address","phone","website","profileUrl","isPremiumMember"
"Cargo Boat Company Limited","66, Vivekananda Hill, Colombo, Sri Lanka, 01300","0094117422240","https://www.cargo-boat.com/","https://www.freightnet.com/profile/212105.htm","Yes"
"DH Freight & Logistics (Pvt) Ltd.","No. 22/8A, Church Road, Nagoda,, Kandana, Sri Lanka, 11320","+9411 4444 994 / +94 777 201 776","http://www.dh-fl.com/","https://www.freightnet.com/profile/252688.htm","Yes"
"DINLANKA LOGISTICS (PVT)LTD","No.320/7-1/2 , Galle Road, Colombo, Sri lanka, 10100","+94112370909","http://www.dinlanka.com/","https://www.freightnet.com/profile/129119.htm","Yes"
"Air-aqua freight services pvt ltd","2nd floor McLaren's Building , Bauddhaloka mawatha, Colombo 4, Sri lanka, 00400","0776705241","http://www.airaquafreight.com/","https://www.freightnet.com/profile/161726.htm","Yes"
"AKW Globe Link [PVT] LTD]","YMBA Building, 126/100/1 Ground Floor,, Colombo 01, Sri Lanka, 00100","","","https://www.freightnet.com/profile/264884.htm","No"
"Fiducia Shipping & Logistics Pvt Ltd","156-3/2, 3rd Floor, Walukarama Road, Colombo 03, Sri Lanka, 00200","","","https://www.freightnet.com/profile/265981.htm","No"
"A B C logistics Colombo Pvt ltd","419-3/1 Galle Road , Colombo 03, Colombo 03, Sri Lanka, 00300","","","https://www.freightnet.com/profile/264170.htm","No"
"Shipcon Logistics(Pvt)Ltd.,","110,Kotahena Street,Kotahena , Colombo, Sri Lanka, 001","","","https://www.freightnet.com/profile/258510.htm","No"
"PARCEL LANKA PRIVATE LIMITED","513 GALLE ROAD, WELLAWATTA , COLOMBO 06, sri lanka, 00600","","","https://www.freightnet.com/profile/265015.htm","No"
"Parcel Lanka PVT Limited","513 GALLE ROAD, WELLAWATTA , COLOMBO 06, Sri Lanka, 0600","","","https://www.freightnet.com/profile/264534.htm","No"
"GACIS CARGO SERVICE PVT LTD","1st Floor, No 35/1/1,        Colombo-02   SriLanka, slave island, SRI LANKAN, 002","","","https://www.freightnet.com/profile/262421.htm","No"
"GLOBAL MARITIME LANKA PVT LTD","355/1/2 High level RD , Pannipitiya, Sri Lanka, 10230","","","https://www.freightnet.com/profile/217955.htm","No"
"Network Cargo Services Ceylon Pvt Ltd","52 -3/1 , Galle Road, Colombo 03, Sri Lanka, 00300","","","https://www.freightnet.com/profile/253640.htm","No"
"ABLE CONTAINER LINE COLOMBO PVT LTD","40, 1/7, MALAY STREET., COLOMBO, SRI LANKA, 94200","","","https://www.freightnet.com/profile/250467.htm","No"
"OCEANIC INTERNATIONAL LOGISTICS & FORWARDING (PVT) LTD","12/A, ""DILUPA"", LUNUWILA, Sri Lanka, 61150","","","https://www.freightnet.com/profile/263128.htm","No"
"MERGE SHIPPING AGENCIES (PVT) LTD","#10B, 15TH LANE 1ST FLOOR , GALLE ROAD, COLOMBO 03, sri lanka, 00300","","","https://www.freightnet.com/profile/111790.htm","No"
"SHERMANS LOGISTICS (PVT)LTD","60/7,HORTON PLACE,COLOMBO 07 , COLOMBO, SRI LANKA, 007","","","https://www.freightnet.com/profile/169543.htm","No"
"Speed International Freight Systems Pvt Ltd","126/1/14, First Floor,YMBA Building , Fort, Colombo, 01","","","https://www.freightnet.com/profile/56752.htm","No"
"Redlines Shipping & Logistics Pvt Ltd","12 Lillie Street Colombo 02 , Sri Lanka  , Colombo, Sri Lanka, 00200","","","https://www.freightnet.com/profile/237660.htm","No"
"WGL LOGISTICS CO. (PVT) LTD","No. 433/2/1/1/1, Gamini Mawatha,  New Nuge Road , Peliyagoda, Kelaniya, SRI LANKA, 11600","","","https://www.freightnet.com/profile/241812.htm","No"
"ALK Shipping llc","51, 9th Floor, Burjuman business centre , Mankhool, Dubai, Sri Lanka, 000000","","","https://www.freightnet.com/profile/262268.htm","No"
"A - Shipping & Trading Lanka (Pvt)","No 18-A 2A, Upper Floor of the BOI Plaza Complex, EPZ, Katunayake, Sri Lanka. , COLOMBO, Sri Lanka, 11250","","","https://www.freightnet.com/profile/258098.htm","No"
"NTN Logistics (Pvt) Ltd","12A, 02 Lane, Ernest Place , Lakshapathiya, Moratuwa, Sri Lanka, 10400","","","https://www.freightnet.com/profile/236966.htm","No"
"Able Container Line Colombo Pvt Ltd","40 1/7, 1st Floor, Metro Homes, Malay Street, Colombo-02. Sri Lanka , Colombo, Sri Lanka, 00200","","","https://www.freightnet.com/profile/250471.htm","No"
"Colombo Freight (Pvt) Ltd","No: 29/11 Chapel Lane , Colombo 02 , COLOMBO, Colombo, 00200","","","https://www.freightnet.com/profile/256231.htm","No"
"Horizon Freight Concept (Private) Limited","""BLAKE COURT"", No. 10/1 Ruhunukala Mawatha , Cotta Road, Colombo 10, Western Province, 00120","","","https://www.freightnet.com/profile/84882.htm","No"
"Swen Container Line Lanka Pvt Ltd","NO 53/1,1st Floor, Sky Trust Building , Ramakrishna Road,  Wellawatta, colombo, Sri Lanka, 00600","","","https://www.freightnet.com/profile/254744.htm","No"
"Trails Globe","130,17A, Vijaya mawatha , Wattegeara road, maharagama, Maharagama, Sri Lanka, 10280","","","https://www.freightnet.com/profile/259288.htm","No"
"ALPHA GLOBAL LOGISTICS PVT LTD","130 5/2, GOLDEN PLAZA, MAIN STREET, COLOMBO-11, Sri Lanka, 0094","","","https://www.freightnet.com/profile/258147.htm","No"
"Emerald Shipping Line Co. (Pvt) Ltd.","259, Biyagama Road , Peliyagoda, Western Provice, 11830","","","https://www.freightnet.com/profile/188484.htm","No"
"Cargo Drive Logistics CMB","17/11, Thalawattha Road , Weheragoda, Colombo, Sri Lanka, 528","","","https://www.freightnet.com/profile/145250.htm","No"
"PORT AGENCY SERVICES CEYLON (PVT) LTD","10A  1/1, 10th Lane , Colombo, Western Province, 00300","","","https://www.freightnet.com/profile/236504.htm","No"
"XFO Express","793 Bloemendhal Rd , Colombo 13, Colombo, Sri Lanka, 01300","","","https://www.freightnet.com/profile/137365.htm","No"
