"name","address","phone","website","profileUrl","isPremiumMember"
"ONEX GLOBAL FORWARDER CO","airport street , portsudan, sudan, 1111","00256744319198","http://www.onexsd.com/","https://www.freightnet.com/profile/231462.htm","Yes"
"Sea Pride Enterprise (SPE)","P.O Box 76 , Port Sudan, Red Sea, 76","+249912310694","http://www.spesudan.com/","https://www.freightnet.com/profile/22011.htm","Yes"
"Sudafoz for cargo servces","Amarat street no. 7 , bld. no. 77, Khartoum, Sudan, 11233","","","https://www.freightnet.com/profile/264052.htm","No"
"Asfar Logistics","No 5&13 , khartoum, sudan, 11111","","","https://www.freightnet.com/profile/173564.htm","No"
"Extended for Trading & Shipping Co. Ltd","3rd Floor Mega Mart Building, Main Market , Port Sudan, Sudan, 0000","","","https://www.freightnet.com/profile/250016.htm","No"
"Five Logistics Co.Ltd","Office NO(C2) - 3rd Floor- Al Jazeera Sudanese Jordanian Bank , AlBaldia Street - Building 56, Port Sudan, Sudan, 00000","","","https://www.freightnet.com/profile/249667.htm","No"
"ONEX GLOBAL FORWARDING SERVICES","ARKAWEET EAST OF GREEN SQUARE  , AIR PORT STREET BEIN SPORT TOWER, KHARTOUM, SUDAN, 1111","","","https://www.freightnet.com/profile/151966.htm","No"
"Atlanta","Khartoum , Khartoum, Khartoum, 11111","","","https://www.freightnet.com/profile/210553.htm","No"
"United Cargo","East of Jabir Abu Alez Center , Khartoum2, khartoum, 0000","","","https://www.freightnet.com/profile/162011.htm","No"
"Millak Agencies Company Limited","Transit Area, Block 3, House 11 , First Floor, Port Sudan, Sudan, 1224","","","https://www.freightnet.com/profile/60813.htm","No"
"AFRICA LOGISTICS LTD.","KKHARTOUM-SUDAN , KHARTOUM, SUDAN, 11111","","","https://www.freightnet.com/profile/202992.htm","No"
"Transways Logistics Co.","Khartoum, Sudan , Khartoum, Sudan, 1111","","","https://www.freightnet.com/profile/174271.htm","No"
"Shimlid trade and engineering Co","Almogtarbeen. Khartoum north. Khartoum sudan , Khartoum, Khartoum,","","","https://www.freightnet.com/profile/210904.htm","No"
"Faster Track Logistics Co. Ltd","1st Floor-House #6 - Building #108 -Block #16 - , Makka Street- Reyad Area, khartoum, khartoum, 11111","","","https://www.freightnet.com/profile/200096.htm","No"
