"name","address","phone","website","profileUrl","isPremiumMember"
"IFTIIN Cargo","Arenavägen 29, 121 77 Stockholm-G, Stockholm, Globen, 12177","0700456278","","https://www.freightnet.com/profile/265781.htm","Yes"
"FTS Logistics Sweden AB","Södra Kyrkogatan 35, Borås, VG, 50334","0704291195","http://www.fts.se/","https://www.freightnet.com/profile/238555.htm","Yes"
"Nordicfreight & Logistik AB","Exportgatan 57 B, Gothenburg, Sweden, 418 23","+46 31 640300","http://www.nordicfreight.se/","https://www.freightnet.com/profile/173850.htm","Yes"
"brasped ab","Torshamnsgatan 27 , STOCKHOLM-KISTA, SWEDEN, 16440","","","https://www.freightnet.com/profile/259795.htm","No"
"Felda Logistics AB","Arenavägen 29 , Johanneshov, Stockholm, 12177","","","https://www.freightnet.com/profile/248802.htm","No"
"Molineux Spedition AB","Stockholms frihamn , Stockholm, Sweden, 11556","","","https://www.freightnet.com/profile/50697.htm","No"
"Nordic GTC","Föreningsgatan 217, Linc, Weibullsholm  , Landskrona, Skane, 26151","","","https://www.freightnet.com/profile/166774.htm","No"
"Adrian Radu Bucur    VKR Express","bossgård 22 , Veddige, halland, 432 68","","","https://www.freightnet.com/profile/217762.htm","No"
"Malee Logistics AB","Pilegården 1A , Askim, Gothenburg, 43635","","","https://www.freightnet.com/profile/161390.htm","No"
"Fraktservice i Göteborg AB (www.fraktservice.se)","Marieholmsgatan 82-84 , Gothenburg, Sweden, 41502","","","https://www.freightnet.com/profile/140076.htm","No"
"Euroglobe Shipping & Transport AB","Hus E , Frihamnen, Stockholm, 11556","","","https://www.freightnet.com/profile/13530.htm","No"
"SCANDINAVIAN LOGISTICS PARTNERS AB","Kanalvagen 7A , InfraCity, Stockholms län, 194 61","","","https://www.freightnet.com/profile/5455.htm","No"
"Sjospedition AB","Frihamnen 4 , Göteborg, Sweden, 417 70","","","https://www.freightnet.com/profile/220755.htm","No"
"Jyane Trading AB,Holding company","Flaggan 302,, Stockholm, Sweden, 11674","","","https://www.freightnet.com/profile/197504.htm","No"
"Logistimania AB Moving & Forwarding","Nymärsta Torg 6 , Märsta, Stockholm, 195 30","","","https://www.freightnet.com/profile/139598.htm","No"
"Scandinavian Shipping & Logistics","Fordonsvägen 17 , Jönköping, Sweden, 55302","","","https://www.freightnet.com/profile/187362.htm","No"
"Its Independent Transport & Shipping Ab","Lilla Torget 3 , Goteborg, Västra Gotalands län, 411 18","","","https://www.freightnet.com/profile/2423.htm","No"
"Barsan Global Logistics AB","Skanegatan 29 , 412 52 Goteborg / Sweden , Göteborg, Sweden, 412 52","","","https://www.freightnet.com/profile/182973.htm","No"
"Moudjeriam Logistics AB","Nykroppagatan 12 , Farsta, Sweden, 123 32","","","https://www.freightnet.com/profile/163162.htm","No"
"MOLINEUX SPEDITION AB","Frihamnsgatan 7 , Stockholm, Sweden, 11526","","","https://www.freightnet.com/profile/131078.htm","No"
"CM Freight & Shipping","Krokstorpsvägen 7 , Glumslöv, Helsingborg, 26162","","","https://www.freightnet.com/profile/131572.htm","No"
"Ingstad & Co AB","P O Box 284 , Hyregatan 9, Malmo, Skåne län, 201 22","","","https://www.freightnet.com/profile/2251.htm","No"
"Steveco Logistics Oy","Carlsgatan 12 21120 Malmö, Sweden , Kirkkokatu 1  48100 Kotka,   Finland, Kotka, Finland / Sweden, 48100","","","https://www.freightnet.com/profile/131043.htm","No"
"TriLog AB","P o Box 1088 , Kullagatan 50, Helsingborg, Scania, SE 251 10","","","https://www.freightnet.com/profile/63925.htm","No"
"GOTSHIP Logistics AB","Engelbrektsgatan 26 , Gothenburg, Sweden, S-400 14","","","https://www.freightnet.com/profile/119804.htm","No"
"Nordic Intralogistics AB","Frihamnen 4 , SE-417 55, Gothenburg, Sweden, 41755","","","https://www.freightnet.com/profile/53681.htm","No"
"Euro Traffic BIC AB","Sodra Kyrkogatan 7 , BOX 1257, Helsingborg, Sweden, 26033","","","https://www.freightnet.com/profile/47282.htm","No"
"AlphaGlobe Logistics AB","Box 14 , Stockholm-Arlanda, Sweden, 190 45","","","https://www.freightnet.com/profile/99231.htm","No"
"kingsern intnernational AB","steningeliden 58 , Märsta, Stockholm, 19558","","","https://www.freightnet.com/profile/82444.htm","No"
"Dacotrans Sweden AB","Hulda Mellgrens gata 1A , Gothenburg, Vastra Frolunda, 421 32","","","https://www.freightnet.com/profile/12005.htm","No"
"Effet AB","World Trade Center , P.O.Box, Goteborg, Västra Gotalands län, 43721","","","https://www.freightnet.com/profile/4504.htm","No"
"Swetrail AB","Box 604 , Brogatan 5, Värnamo, Jonkopings län,","","","https://www.freightnet.com/profile/6847.htm","No"
"European Cargo Carriers AB","Kungsgatan 56 , Gothenburg, 41108","","","https://www.freightnet.com/profile/11866.htm","No"
"Jek Forwarding AB","Djurgardsgatan9 , Gothenburg, Sweden, 414 62","","","https://www.freightnet.com/profile/49433.htm","No"
"ESSE logistics AB","Box 15029 , Malmö, Sweden, 200 31","","","https://www.freightnet.com/profile/53000.htm","No"
"Contralo Scandinavia Ab","Forsta Langgatan 20 , Goteborg, Västra Gotalands län, 413 28","","","https://www.freightnet.com/profile/1467.htm","No"
"Spedman Global Logistics AB","Box 32 , Stockholm-Arlanda, 19045","","","https://www.freightnet.com/profile/9474.htm","No"
"Spedman Global Logistics AB","Box 32 , Stockholm, 19045","","","https://www.freightnet.com/profile/10079.htm","No"
"Buyers Logistics Scandinavia AB","Lilla Torget 3 , PO  box 2319, Gothenburg, Sweden, SE-40315","","","https://www.freightnet.com/profile/87107.htm","No"
