"name","address","phone","website","profileUrl","isPremiumMember"
"Pegasus Cargo GmbH","F1 Fracht West  , Zurich-Airport, Switzerland, 8058","","","https://www.freightnet.com/profile/250047.htm","No"
"SJZ TRANSGLOBAL AG","Freiburgstrasse 251 , Bern, Switzerland, 3018","","","https://www.freightnet.com/profile/98542.htm","No"
"Logistos Ltd.","Frohbuehlstrasse 2 , Zurich, Zurich, 8052","","","https://www.freightnet.com/profile/219612.htm","No"
"Telesped AG","Rohrstrasse 44 , Glattbrugg, Schweiz, 8152","","","https://www.freightnet.com/profile/12355.htm","No"
"Magsped AG","Industriestrasse 15-17 , Liestal, Switzerland, 4410","","","https://www.freightnet.com/profile/209006.htm","No"
"SATI TRANSPORTS SA","2, RUE ANTOINE JOLIVET , GENEVA, GENEVA, 1211","","","https://www.freightnet.com/profile/162033.htm","No"
"AERO LINES GMBH","OPERATION CENTRE 4 , ZURICH AIRPORT, ZURICH, SWITZERLAND, 8058","","","https://www.freightnet.com/profile/169462.htm","No"
"TTS Transterminal Rail","Langäulistrasse 37 , Buchs SG, St. Gallen, 9470","","","https://www.freightnet.com/profile/55124.htm","No"
"Nova Traffic Ltd.","Schaffhauserstrasse 115 , Kloten, Zurich, 8302","","","https://www.freightnet.com/profile/95108.htm","No"
"RICHARD KEMPERS SA","VIA SOLDINI 10 , CHIASSO, SWITZERLAND, 6830","","","https://www.freightnet.com/profile/114073.htm","No"
"Prime Transportation","Thurgauerstrasse 40 , Zurich, Switzerland, 8050","","","https://www.freightnet.com/profile/107284.htm","No"
"Aero Lines GmbH","Operation Center-4 , Fracht Ost, Zurich Airport, Switzerland, 8058","","","https://www.freightnet.com/profile/85439.htm","No"
"Savino Del Bene S.A.","Via alla Rossa , Zona Industriale, Rancate, 6862","","","https://www.freightnet.com/profile/19598.htm","No"
"asterimar di riccardo gaetti","via ceresio 17 , lugano, switzerland, 6977","","","https://www.freightnet.com/profile/90757.htm","No"
"Schneider Transports S.A.","P.O. Box 1365 , Lausanne, Waadt - Vaud, 1001","","","https://www.freightnet.com/profile/1599.htm","No"
"M&M Militzer & Muench AG","St.Jakobstr. 222 , , Basel-Landschaft - Bale-Campagne, CH 4052","","","https://www.freightnet.com/profile/691.htm","No"
"Asstra  Associated Traffic AG","Bahnhofstr. 37 , , Zurich - Zurich,","","","https://www.freightnet.com/profile/7723.htm","No"
"Muller Gysin AG","Barcelona-Strasse 8 , , Basel-Stadt - Bale-Ville, 4023","","","https://www.freightnet.com/profile/692.htm","No"
"Belsped Ltd","Puits-Godet 10a , Neuchatel, NE 2000","","","https://www.freightnet.com/profile/688.htm","No"
"Transterminal AG","Seestrasse 6 , Beckenried, Nidwalden - Nidwald, 6375","","","https://www.freightnet.com/profile/693.htm","No"
"A+G Transporten","Durachstrasse 2 , Merishausen, Schaffhausen - Schaffhouse, CH-8232","","","https://www.freightnet.com/profile/4676.htm","No"
"Rovertrans Ltd","8058 Zurich-airport , , Zurich - Zurich, 8085","","","https://www.freightnet.com/profile/7648.htm","No"
