"name","address","phone","website","profileUrl","isPremiumMember"
"DIRECT FREIGHT","DAMASCUS CITY, MAZZEH, SYRIA, 11196","+962798911087","http://www.freight-direct.com/","https://www.freightnet.com/profile/264357.htm","Yes"
"AL-ISRAA International Freight Forwarder","E-mail alisraa@gmail.com, Web Site: www.al-israa.com , Damascus, Damascus, 963","","","https://www.freightnet.com/profile/11978.htm","No"
"Midtrans Shipping & Services","Halponi. Mousalam Al Baroudi , Khouli Building, Damascus, Syria, 35335","","","https://www.freightnet.com/profile/56451.htm","No"
"Compass Freight & Logistics","Kousbary Street , Damascus, Damascus, 00000","","","https://www.freightnet.com/profile/132723.htm","No"
"Net logistics","Fattaleh- Mezzeh , Damascus, Syria, 1","","","https://www.freightnet.com/profile/84511.htm","No"
"DAHBAR INTERNATIONAL","Tajheez Str. - Tarazi Bldg. , Damascus, Syria, 431","","","https://www.freightnet.com/profile/109951.htm","No"
"Triotrans","Al Mokambo str. , Aleppo, Syria, n.a","","","https://www.freightnet.com/profile/47384.htm","No"
"ALTAJ GROUP Shipping and Logistic Solutions,Oil Services","P.O. Box 35233  , Damascus,","","","https://www.freightnet.com/profile/23675.htm","No"
"Cargo Net","Baghdad St , Damascus,","","","https://www.freightnet.com/profile/16339.htm","No"
"Hawk Express","Murshed Khater St.  , Shahrour& Mardini Bldg., Damascus, Damascus, 11780","","","https://www.freightnet.com/profile/23464.htm","No"
"Caesar Maritime Company","Al thawra st , Tartous, Syria, 10001","","","https://www.freightnet.com/profile/11484.htm","No"
"HOUSAMI INT'L  TRANSPORT & CLEARANCE","COMMERCIAL BLDG. OF ABU SHAER TRADING. FLAT 3 , DAMASCUS - FREE ZONE, 0096311","","","https://www.freightnet.com/profile/8877.htm","No"
"Canaria Group Of Services","Aleppo , Damascus, Damascus, Syria, P.O.BOX 8882 ALEPPO","","","https://www.freightnet.com/profile/4934.htm","No"
"Succar Shipping & Logistics","Succar Farm 2 , , Damascus, 180209","","","https://www.freightnet.com/profile/52262.htm","No"
"International Cargo Center (I.C.C.)","P.O.Box 6801 , Damascus,","","","https://www.freightnet.com/profile/21537.htm","No"
"Zahhar Cargo T & T Freight Services","Damascus Tower , sixthe Floor , Rooms 14 , 15 , 16, Damascus, Syria, 0096311","","","https://www.freightnet.com/profile/47077.htm","No"
"Dawn Co for Transport & Tourism","Rushd str. Soufi bldg. 1st floor , Lattakia, Lattakia, 2133","","","https://www.freightnet.com/profile/3401.htm","No"
"global trading","damascus - midan , damascus, Syria, +963","","","https://www.freightnet.com/profile/50395.htm","No"
"Canaria Travel Tourism & Cargo","Customs Uphill Road. , Aleppo, Syria, 8882","","","https://www.freightnet.com/profile/4748.htm","No"
"AFNI TRANSPORT & TRADING CO.","por saeed str , Lattakia, syria, 61","","","https://www.freightnet.com/profile/16052.htm","No"
"Al-Nour for Trading & Transport","Arnous , Malyia, Damascus,","","","https://www.freightnet.com/profile/18037.htm","No"
"Cargo Line international","P.O.Box 4613 , Mazzraa, Damascus,","","","https://www.freightnet.com/profile/19447.htm","No"
"Yamintrans","P O Box 11336 , Victoria Area, Damascus Tower, Office 19, Floor 4, Damascus,","","","https://www.freightnet.com/profile/19936.htm","No"
"CHAM CARGO SERVICES","MEZZEH FATALEH STREET , DAMASCUS, DAMASCUS, 10508","","","https://www.freightnet.com/profile/23776.htm","No"
