"name","address","phone","website","profileUrl","isPremiumMember"
"CROWN AIR & SEA (TAIWAN) LTD","9F - 4 , NO 91 , SEC. 3 , NAN JING EAST ROAD, TAIPEI, TAIWAN, 104","+886225083533","https://www.crownans.com/","https://www.freightnet.com/profile/225737.htm","Yes"
"WORLD-TOP OVERSEAS LOGISTICS CO., LTD.","8F-10, No.188, Sec 5, Nanjin E. Rd., Taipei, Taiwan, TAIPEI, TAIWAN, 105411","+886 2 27639141","http://www.wto-mww.com/","https://www.freightnet.com/profile/177502.htm","Yes"
"Wei Daer Express Transportation Co. ltd","5F., No.30 ,Sec ,1 ,SIANGSHANG rD., wEST dIST., tAICHUNG cITY 40350, tAIWAN, TAICHUNG, TAICUNG ,TAIWAN, 40350","00886-4-23015280","http://www.wei-daer.com/","https://www.freightnet.com/profile/129698.htm","Yes"
"Airlife Freight (Taiwan) Corp","No.8 Lane 389 SEc. 5 Nanking East Road, Taipei, Taipei, 105","886-2-2764 7711","http://www.airlife-freight.com/","https://www.freightnet.com/profile/46517.htm","Yes"
"MAYDAH Logistics Co.,Ltd(Taiwan)","6F.-3, No. 9, Ln. 36, Sec. 2, Chang an E. Rd., Zhongshan Dist,, Taipei, Taipei, 104","","","https://www.freightnet.com/profile/173933.htm","No"
"TOPHUNT INTERNATIONAL CO.,LTD.","9F, No. 46, Sec. 4, Zhongxiao E. Rd., Da'an Dist., Taipei City 106070 , Taiwan (R.O.C.) , Da'an Dist., Taipei City, 106070","","","https://www.freightnet.com/profile/264800.htm","No"
"YES LOGISTICS CORP.","4,5F., NO. 243, SEC. 2, CHONGQING N. RD., DATONG DIST.,, TAIPEI CITY, TAIWAN (R.O.C.), 10359","","","https://www.freightnet.com/profile/215218.htm","No"
"SUN OCEAN & AIR LOGISTICS CO LTD  ( TAIWAN )","8F No.189 Sec 3 Nan King E Road , Taipei, TAIPEI TAIWAN, 104","","","https://www.freightnet.com/profile/22931.htm","No"
"SOBA LOGISTICS LTD.","4FL,No.81,Chang An E. , Road Sec.2,Taipei 104079 Taiwan, Taipei, Taiwan, 104","","","https://www.freightnet.com/profile/216134.htm","No"
"JSD LOGISTICS CO., LTD./TEDDY-TPE@JSDLOG.COM","2F-3, No.112, LIAONING ST., ZHONGSHAN DIST , www.jsdlog.com, TAIPEI, TAIWAN, 104106","","","https://www.freightnet.com/profile/206360.htm","No"
"Universal Logistics Co., LTD.","T5011, Farglory Cargo Terminal , 101 Hangsiang Road, Dayuan Hsiang, Taoyuan County, Taiwan, 337","","","https://www.freightnet.com/profile/138000.htm","No"
"Welltrans Logistics","Rm417-421,Block C,Liuwei , BIZ CENTER, Bantian STREET, SHENZHEN, Guangdong Province, 518172","","","https://www.freightnet.com/profile/256488.htm","No"
"Global United Transportation","8-2 NO.106, HSIN YI ROAD, SEC.3, TAIPEI , Da An, Taipei, 10658","","","https://www.freightnet.com/profile/257198.htm","No"
"Dynasty Freight Forwarding Co., Ltd.","8f-1 , No. 288 Fu Xing N. Road, Taipei, R.O.C","","","https://www.freightnet.com/profile/137107.htm","No"
"ZHEJIANG SHENGZHOU TRULY IMPORT EXPORT CO.,LTD","3202 BLD.6, 4-STAGE 3-ZONE,NO.666 XINGSHENG ROAD SANJIANG SHENGZHOU, SHAOXING,ZHEJIANG ( CHINA ) , jiangbei, Room 1811，No.1322，Renmin road，, 315040","","","https://www.freightnet.com/profile/255849.htm","No"
"Dynasty Air/Ocean Freight Co., Ltd.","6F, No. 276, Fu-Hsing N. Road , Taipei, Taiwan, 104","","","https://www.freightnet.com/profile/137106.htm","No"
"Great China Transportation Co., Ltd","6F, NO. 1, LANE 155 , TUN HWA N. ROAD, TAIPEI, 105","","","https://www.freightnet.com/profile/56522.htm","No"
"Modern Express Int. Ltd.","7F-1, No. 155, Sec. 1, Keelung Rd.,Taipei Taiwan , Taipei, Taipei, 110","","","https://www.freightnet.com/profile/223572.htm","No"
"QA Transport Co Ltd","8F, NO. 225, Sec. 5 , Nanjing East Rd, Taipei, Taipei, 105","","","https://www.freightnet.com/profile/17338.htm","No"
"Modern Express: hank-wang@modernexp.com.tw","7F-1, No. 155, Sec. 1, Keelung Rd.,Taipei Taiwan  , TAIPEI, TAIWAN, 110","","","https://www.freightnet.com/profile/135535.htm","No"
"Asia Air Freight Co., Ltd.","7F-3, No. 155,  Sec. 1, Keelung Rd., Taipei, Taiwan, 110","","","https://www.freightnet.com/profile/241743.htm","No"
"Air International Freight Co., Ltd","11F. No.46, Sec. 5 Nanjing E rd, Sungshan District , Taipei, Taiwan, 10597","","","https://www.freightnet.com/profile/217085.htm","No"
"YOURS LOGISTICS","Rm. A3, 12F, No.6, Siwei 3rd Rd, Lingya Dist. , Kaohsiung, Taiwan, 802","","","https://www.freightnet.com/profile/162699.htm","No"
"H&H EXPRESS CO., LTD.","7F, NO.164, NANJING E.RD., SEC.4, TAIPEI,TAIWAN , Taipei, Taiwan, 105407","","","https://www.freightnet.com/profile/178312.htm","No"
"Hankstar logistics co.,ltd","4f,-1, no. 147. sec2, jiangkuo n rd. , taipei, taiwan, 104","","","https://www.freightnet.com/profile/239371.htm","No"
"Eastrong intl logistics","3F nr 67 lane 76 , Ruiguang road, Taipei, Taiwan, 114665","","","https://www.freightnet.com/profile/231333.htm","No"
"Rainbow International Logistics Co.,Ltd.","5F.-1, No.176, Sec. 1, Zhongxiao E. Rd., Zhongzheng Dist., Taipei City 10050, Taiwan , Taipei, Taiwan, 10050","","","https://www.freightnet.com/profile/161536.htm","No"
"Dolphin Logistics Supply Chain Management Co., Ltd.","5F., No.308, Sec.2, Bade Rd.,, Zhongshan Dist, Taipei City, 104498","","","https://www.freightnet.com/profile/229042.htm","No"
"pacific freight ltd","4F., NO. 275, SECTION 3, NANJING EAST ROAD, TAIPEI CITY, 105405. , TAIPEI CITY, 105405., taiwan, 105405","","","https://www.freightnet.com/profile/228703.htm","No"
